N,q,cols,src,d0_us,d1_us,P_measured_pt,P_fitted_pt,residual_pt
512,2,256,formal,1426.900,1530.400,7.253,5.229,2.025
2048,2,1024,formal,4110.800,4450.700,8.268,4.259,4.009
4096,2,2048,formal,7856.000,7976.100,1.529,2.966,-1.437
512,4,128,formal,1426.600,1464.800,2.678,7.435,-4.757
2048,4,512,formal,4112.500,4407.300,7.168,6.304,0.864
4096,4,1024,formal,7856.700,8182.500,4.147,4.796,-0.649
512,8,64,formal,1426.700,1646.000,15.371,11.928,3.443
2048,8,256,formal,4111.300,4475.000,8.846,10.716,-1.870
4096,8,512,formal,7857.300,8352.000,6.296,9.101,-2.805
2048,16,128,matched,4113.632,4898.160,19.071,19.703,-0.631
8192,16,512,matched,15066.065,17552.416,16.503,14.695,1.808
