case_id,path,family,candidate,M_local,N,K,q,rep,iterations,iteration_failures,status,t_release_first_max_us_p50,t_release_first_max_us_p05,t_release_first_max_us_p95,t_release_last_max_us_p50,t_release_last_max_us_p05,t_release_last_max_us_p95,t_done_max_us_p50,t_done_max_us_p05,t_done_max_us_p95,gemm_first_start_max_us_p50,gemm_first_start_max_us_p05,gemm_first_start_max_us_p95,gemm_last_end_max_us_p50,gemm_last_end_max_us_p05,gemm_last_end_max_us_p95,gemm_interval_max_us_p50,gemm_interval_max_us_p05,gemm_interval_max_us_p95,e2e_max_us_p50,e2e_max_us_p05,e2e_max_us_p95
case001_d0_C0_DEFAULT_N4096_q32_rep1,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,4096,2048,32,1,80,0,PASS,7123.678,7011.998,7201.116,7123.678,7011.998,7201.116,7130.158,7018.398,7207.039,7142.958,7031.198,7219.679,15151.269,15006.552,15289.265,8030.471,7945.439,8096.954,15156.870,15012.151,15295.024
case002_d1_C0_DEFAULT_N4096_q32_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,4096,2048,32,1,80,0,PASS,523.120,504.960,659.200,51994.387,46077.902,63513.898,53889.027,47837.723,63998.547,528.880,510.720,665.760,52366.466,46438.547,63887.828,51853.666,45910.547,63393.430,53895.188,47840.762,64008.469
case003_d0_C0_DEFAULT_N8192_q8_rep1,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,8192,2048,8,1,80,0,PASS,7145.438,7049.117,7238.715,7145.438,7049.117,7238.715,7151.358,7055.675,7245.115,7163.197,7067.837,7257.915,18817.512,18725.436,18918.715,11664.470,11632.632,11705.597,18823.592,18731.035,18924.314
case004_d1_C0_DEFAULT_N8192_q8_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,8192,2048,8,1,80,0,PASS,904.000,902.560,939.999,17343.038,17217.277,17648.154,19101.835,18983.832,19460.801,911.039,909.759,945.760,18975.596,18847.037,19269.752,18065.433,17928.316,18362.713,19107.595,18992.953,19466.561
case005_d0_C0_DEFAULT_N8192_q16_rep1,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,8192,2048,16,1,80,0,PASS,7151.194,7043.035,7234.238,7151.194,7043.035,7234.238,7158.314,7049.275,7241.118,7170.954,7061.915,7253.114,18831.350,18716.627,18933.107,11664.153,11611.673,11714.390,18837.109,18722.387,18939.508
case006_d1_C0_DEFAULT_N8192_q16_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,8192,2048,16,1,80,0,PASS,902.880,901.759,914.559,22751.593,22679.191,23370.072,23741.754,23663.033,24953.752,909.760,908.480,922.239,23615.753,23544.473,24243.193,22710.552,22639.512,23331.834,23753.432,23669.111,24960.473
case007_d0_C0_DEFAULT_N4096_q32_rep2,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,4096,2048,32,2,80,0,PASS,7112.318,7018.879,7200.158,7112.318,7018.879,7200.158,7119.037,7025.119,7206.718,7131.438,7037.919,7218.240,15179.432,15058.226,15282.718,8048.959,7999.201,8114.554,15185.031,15063.985,15288.478
case008_d1_C0_DEFAULT_N4096_q32_rep2,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,4096,2048,32,2,80,0,PASS,518.798,498.400,678.880,52607.897,47262.855,61751.812,53521.885,49415.336,64165.543,525.359,504.000,685.440,52968.295,47620.617,62110.211,52453.168,47063.480,60694.828,53531.484,49426.215,64173.707
case009_d0_C0_DEFAULT_N8192_q8_rep2,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,8192,2048,8,2,80,0,PASS,7143.598,7043.351,7233.758,7143.598,7043.351,7233.758,7149.758,7050.076,7239.998,7162.238,7062.716,7252.478,18829.020,18723.984,18922.705,11669.433,11621.431,11713.917,18834.699,18730.385,18928.465
case010_d1_C0_DEFAULT_N8192_q8_rep2,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,8192,2048,8,2,80,0,PASS,904.479,902.080,940.160,17299.112,17218.229,17654.869,19049.508,18957.428,19399.668,911.360,908.959,946.400,18930.627,18841.588,19276.469,18021.190,17915.029,18365.270,19053.908,18964.469,19405.107
case011_d0_C0_DEFAULT_N8192_q16_rep2,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,8192,2048,16,2,80,0,PASS,7144.635,7038.078,7233.112,7144.635,7038.078,7233.112,7151.115,7044.152,7239.032,7163.597,7056.472,7251.352,18833.828,18706.713,18930.072,11670.552,11619.354,11710.874,18839.508,18712.312,18935.672
