case_id,path,family,candidate,M_local,N,K,q,rep,iterations,iteration_failures,status,t_release_first_max_us_p50,t_release_first_max_us_p05,t_release_first_max_us_p95,t_release_last_max_us_p50,t_release_last_max_us_p05,t_release_last_max_us_p95,t_done_max_us_p50,t_done_max_us_p05,t_done_max_us_p95,gemm_first_start_max_us_p50,gemm_first_start_max_us_p05,gemm_first_start_max_us_p95,gemm_last_end_max_us_p50,gemm_last_end_max_us_p05,gemm_last_end_max_us_p95,gemm_interval_max_us_p50,gemm_interval_max_us_p05,gemm_interval_max_us_p95,e2e_max_us_p50,e2e_max_us_p05,e2e_max_us_p95
case001_comm_C0_DEFAULT_N512_q2_rep1,COMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,1,80,0,PASS,270.080,267.040,3317.117,529.440,524.959,3580.797,535.761,530.719,3587.197,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,542.080,536.319,3593.437
case002_comm_C0_DEFAULT_N512_q2_rep2,COMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,2,80,0,PASS,273.121,268.000,288.159,533.120,526.240,544.159,539.521,532.160,549.919,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,545.120,537.760,555.679
case003_comm_C0_DEFAULT_N512_q2_rep3,COMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,3,80,0,PASS,270.560,267.840,277.280,528.799,525.440,538.239,534.480,531.200,543.999,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,540.080,536.640,549.919
case004_comm_C0_DEFAULT_N512_q2_rep4,COMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,4,80,0,PASS,268.320,267.039,274.560,526.800,524.799,538.079,532.640,530.559,544.159,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,538.240,536.159,550.079
case005_comm_C0_DEFAULT_N512_q2_rep5,COMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,5,80,0,PASS,272.320,268.320,276.640,532.320,528.000,539.680,538.080,533.600,545.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,543.600,539.200,551.839
case006_gemm_C0_DEFAULT_N512_q2_rep1,GEMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,1,80,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,777.279,769.600,787.999,25.760,24.480,26.560,771.279,763.840,782.239,746.719,739.040,756.319,783.119,775.200,793.599
case007_gemm_C0_DEFAULT_N512_q2_rep2,GEMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,2,80,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,780.240,773.439,795.200,25.760,24.800,27.040,774.321,767.679,788.640,750.239,742.240,762.240,786.639,779.041,801.440
case008_gemm_C0_DEFAULT_N512_q2_rep3,GEMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,3,80,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,777.679,771.520,785.280,25.760,24.320,27.038,771.759,765.760,778.878,748.320,742.079,755.360,783.360,777.120,791.520
case009_gemm_C0_DEFAULT_N512_q2_rep4,GEMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,4,80,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,777.600,768.319,788.960,24.560,23.200,25.439,771.519,762.559,782.400,747.760,740.159,762.399,783.439,773.759,795.360
case010_gemm_C0_DEFAULT_N512_q2_rep5,GEMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,5,80,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,778.881,770.400,795.680,25.279,23.360,26.718,772.639,764.800,789.120,749.120,741.759,763.200,784.880,776.160,802.080
