candidate,N,q,path,family,reps,t_done_p50_us,e2e_p50_us,release_last_p50_us,e2e_p05_us,e2e_p95_us,release_gap_us,comm_compute_overlap_us,e2e_p50_stdev_us
C0_DEFAULT,512,2,COMM_ONLY,RCCL,5,535.761,542.080,529.440,538.240,545.120,6.319,6.319,2.448
C0_DEFAULT,512,2,D0_FCOLLECT_SERIAL,DUSHMEM,5,3325.919,4011.756,3320.001,3997.602,4019.117,685.837,685.837,8.132
C0_DEFAULT,512,2,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,1910.558,1912.400,1432.719,1889.678,2905.681,1.842,1.842,400.706
C0_DEFAULT,512,2,D1_PUSHSIG_OVERLAP,DUSHMEM,5,1889.678,1891.359,1421.041,1871.600,2740.801,1.680,1.680,342.450
C0_DEFAULT,512,2,DC_PUSHSIG_ONLY,DUSHMEM,5,950.480,952.799,944.399,926.399,987.441,2.319,2.319,21.368
C0_DEFAULT,512,2,DS_PUSHSIG_SERIAL,DUSHMEM,5,1885.278,1886.720,1414.798,1870.639,1983.841,1.441,1.441,40.639
C0_DEFAULT,512,2,FC_FCOLLECT_ONLY,DUSHMEM,5,3323.118,3340.159,3334.480,3338.082,3344.402,17.041,17.041,2.079
C0_DEFAULT,512,2,GEMM_ONLY,RCCL,5,777.679,783.439,0.000,783.119,786.639,5.760,5.760,1.328
C0_DEFAULT,512,2,R0_FULL_SERIAL,RCCL,5,521.279,1206.319,514.399,1201.040,1209.760,685.039,685.039,3.289
C0_DEFAULT,512,2,R1_EVENT_OVERLAP,RCCL,5,742.081,1251.040,735.361,1248.319,1256.800,508.959,508.959,2.903
C0_DEFAULT,512,2,RS_SLICE_SERIAL,RCCL,5,928.959,1309.440,922.959,1304.879,1315.440,380.481,380.481,3.449
C0_DEFAULT,512,4,COMM_ONLY,RCCL,5,620.000,625.600,613.920,622.720,626.081,5.601,5.601,1.267
C0_DEFAULT,512,4,D0_FCOLLECT_SERIAL,DUSHMEM,5,3326.880,4014.082,3320.561,4008.077,4018.403,687.202,687.202,3.508
C0_DEFAULT,512,4,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,2126.722,2132.722,1905.678,2071.199,2154.881,6.000,6.000,27.958
C0_DEFAULT,512,4,D1_PUSHSIG_OVERLAP,DUSHMEM,5,2049.678,2051.918,1849.518,2014.319,2097.601,2.240,2.240,30.515
C0_DEFAULT,512,4,DC_PUSHSIG_ONLY,DUSHMEM,5,1187.359,1195.679,1179.759,1187.519,1267.041,8.320,8.320,29.588
C0_DEFAULT,512,4,DS_PUSHSIG_SERIAL,DUSHMEM,5,1968.558,1970.238,1776.878,1945.119,2043.841,1.680,1.680,33.527
C0_DEFAULT,512,4,FC_FCOLLECT_ONLY,DUSHMEM,5,3323.520,3340.317,3334.640,3338.882,3343.042,16.797,16.797,1.386
C0_DEFAULT,512,4,GEMM_ONLY,RCCL,5,590.159,595.760,0.000,594.399,596.320,5.600,5.600,0.676
C0_DEFAULT,512,4,R0_FULL_SERIAL,RCCL,5,522.080,1209.599,514.800,1202.401,1211.999,687.519,687.519,3.608
C0_DEFAULT,512,4,R1_EVENT_OVERLAP,RCCL,5,778.880,988.958,772.479,986.001,996.241,210.079,210.079,4.328
C0_DEFAULT,512,4,RS_SLICE_SERIAL,RCCL,5,1084.720,1232.399,1078.560,1227.841,1237.039,147.679,147.679,3.153
C0_DEFAULT,512,8,COMM_ONLY,RCCL,5,797.439,803.120,791.679,798.240,806.240,5.680,5.680,3.044
C0_DEFAULT,512,8,D0_FCOLLECT_SERIAL,DUSHMEM,5,3329.038,4013.919,3322.801,4012.957,4015.200,684.881,684.881,0.822
C0_DEFAULT,512,8,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,3427.438,3436.077,3255.680,3334.800,9283.839,8.640,8.640,2284.300
C0_DEFAULT,512,8,D1_PUSHSIG_OVERLAP,DUSHMEM,5,3222.881,3230.881,3059.601,3166.798,3472.956,8.000,8.000,112.461
C0_DEFAULT,512,8,DC_PUSHSIG_ONLY,DUSHMEM,5,1923.281,1934.401,1920.561,1888.078,1966.958,11.120,11.120,29.169
C0_DEFAULT,512,8,DS_PUSHSIG_SERIAL,DUSHMEM,5,3413.037,3419.277,3064.797,3215.521,5102.878,6.240,6.240,713.275
C0_DEFAULT,512,8,FC_FCOLLECT_ONLY,DUSHMEM,5,3322.082,3339.122,3333.362,3338.158,3341.201,17.040,17.040,1.243
C0_DEFAULT,512,8,GEMM_ONLY,RCCL,5,801.040,806.720,0.000,803.199,807.360,5.680,5.680,1.585
C0_DEFAULT,512,8,R0_FULL_SERIAL,RCCL,5,522.560,1203.919,515.519,1197.519,1209.999,681.360,681.360,4.321
C0_DEFAULT,512,8,R1_EVENT_OVERLAP,RCCL,5,996.881,1283.680,990.961,1273.920,1292.239,286.799,286.799,6.635
C0_DEFAULT,512,8,RS_SLICE_SERIAL,RCCL,5,1569.278,1672.078,1563.039,1663.999,1679.519,102.800,102.800,6.369
C0_DEFAULT,2048,2,COMM_ONLY,RCCL,5,579.520,585.520,573.601,584.000,588.160,6.000,6.000,1.564
C0_DEFAULT,2048,2,D0_FCOLLECT_SERIAL,DUSHMEM,5,3334.642,4697.602,3328.322,4695.039,4704.559,1362.961,1362.961,3.856
C0_DEFAULT,2048,2,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,2845.598,2845.997,1907.839,2829.918,2868.482,0.399,0.399,12.665
C0_DEFAULT,2048,2,D1_PUSHSIG_OVERLAP,DUSHMEM,5,2800.481,2802.637,1879.120,2790.317,2840.958,2.156,2.156,17.598
C0_DEFAULT,2048,2,DC_PUSHSIG_ONLY,DUSHMEM,5,954.079,958.879,947.360,938.959,985.519,4.800,4.800,16.952
