candidate,N,q,r1_vs_rs_gain_pct,r1_vs_r0_gain_pct,r0_vs_rs_gain_pct,d1_vs_ds_gain_pct,d1_vs_d0_gain_pct,d0_vs_ds_gain_pct,r1_vs_d1_gain_pct,d1_vs_dc_done_stretch_pct,gemm_only_vs_r0_gemm_pct
C0_DEFAULT,512,2,4.460,-3.707,7.875,-0.246,52.855,-112.631,33.855,98.813,
C0_DEFAULT,512,4,19.753,18.241,1.850,-4.146,48.882,-103.736,51.803,72.625,
C0_DEFAULT,512,8,23.228,-6.625,27.999,5.510,19.508,-17.391,60.268,67.572,
C0_DEFAULT,2048,2,1.937,-17.970,16.875,0.242,40.339,-67.208,20.095,193.527,
C0_DEFAULT,2048,4,7.095,-73.886,46.572,1.175,7.706,-7.076,23.958,243.976,
C0_DEFAULT,2048,8,9.783,-79.936,49.862,-2.932,-138.095,56.768,69.475,476.597,
C0_DEFAULT,2048,16,26.967,,,4.684,,,82.642,368.653,
C0_DEFAULT,4096,2,-1.878,-0.908,-0.962,-0.821,33.474,-51.552,8.724,391.418,
C0_DEFAULT,4096,4,2.742,6.663,-4.200,-0.265,29.705,-42.636,18.805,308.598,
C0_DEFAULT,4096,8,7.960,-39.063,33.814,0.429,-14.248,12.847,26.194,317.824,
C0_DEFAULT,4096,16,,,,,,,,,
C2_RING_SIMPLE_CH8,512,2,,,,,,,,,
C2_RING_SIMPLE_CH8,512,4,,,,,,,,,
C2_RING_SIMPLE_CH8,512,8,,,,,,,,,
C2_RING_SIMPLE_CH8,2048,2,,,,,,,,,
C2_RING_SIMPLE_CH8,2048,4,,,,,,,,,
C2_RING_SIMPLE_CH8,2048,8,,,,,,,,,
C2_RING_SIMPLE_CH8,4096,2,,,,,,,,,
C2_RING_SIMPLE_CH8,4096,4,,,,,,,,,
C2_RING_SIMPLE_CH8,4096,8,,,,,,,,,
C2_RING_SIMPLE_CH8,4096,16,,,,,,,,,
