case_id,path,family,candidate,M_local,N,K,q,rep,iterations,iteration_failures,status,t_release_first_max_us_p50,t_release_first_max_us_p05,t_release_first_max_us_p95,t_release_last_max_us_p50,t_release_last_max_us_p05,t_release_last_max_us_p95,t_done_max_us_p50,t_done_max_us_p05,t_done_max_us_p95,gemm_first_start_max_us_p50,gemm_first_start_max_us_p05,gemm_first_start_max_us_p95,gemm_last_end_max_us_p50,gemm_last_end_max_us_p05,gemm_last_end_max_us_p95,gemm_interval_max_us_p50,gemm_interval_max_us_p05,gemm_interval_max_us_p95,e2e_max_us_p50,e2e_max_us_p05,e2e_max_us_p95
case001_comm_C0_DEFAULT_N512_q2_rep1,COMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,1,80,0,PASS,566.800,562.880,574.880,1105.360,1101.600,1116.480,1111.679,1107.520,1122.880,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1118.079,1113.599,1129.120
case002_comm_C0_DEFAULT_N512_q2_rep2,COMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,2,80,0,PASS,564.639,560.320,3618.078,1103.200,1097.759,4157.598,1109.280,1104.319,4164.158,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1115.519,1110.240,4170.398
case003_comm_C0_DEFAULT_N512_q2_rep3,COMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,3,80,0,PASS,566.959,562.080,570.719,1106.160,1100.479,1112.480,1112.639,1106.881,1119.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1118.880,1113.281,1125.440
case004_comm_C0_DEFAULT_N512_q2_rep4,COMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,4,80,0,PASS,565.760,562.399,570.880,1104.400,1100.479,1111.520,1110.720,1106.400,1118.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1116.959,1112.000,1124.480
case005_comm_C0_DEFAULT_N512_q2_rep5,COMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,5,80,0,PASS,566.080,562.240,571.040,1104.720,1100.480,1110.080,1111.120,1107.040,1116.480,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1117.279,1113.439,1123.039
case006_gemm_C0_DEFAULT_N512_q2_rep1,GEMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,1,80,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,1552.399,1538.559,2561.917,51.999,51.038,52.640,1545.839,1531.999,1580.959,1495.920,1482.559,1529.279,1558.880,1544.959,5700.801
case007_gemm_C0_DEFAULT_N512_q2_rep2,GEMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,2,80,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,1554.159,1539.359,1604.158,53.120,52.480,54.238,1547.759,1532.959,1598.398,1497.199,1481.120,1527.839,1560.560,1545.919,1609.758
case008_gemm_C0_DEFAULT_N512_q2_rep3,GEMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,3,80,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,1553.360,1536.000,1566.879,52.320,51.040,53.118,1546.880,1530.238,1559.680,1496.560,1479.360,1508.160,1559.680,1542.400,1573.119
case009_gemm_C0_DEFAULT_N512_q2_rep4,GEMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,4,80,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,1554.880,1542.720,1565.600,52.478,51.040,53.440,1548.399,1536.160,1558.720,1498.320,1486.560,1509.600,1561.280,1549.120,1572.160
case010_gemm_C0_DEFAULT_N512_q2_rep5,GEMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,5,80,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,1554.639,1537.920,1571.840,52.799,51.518,54.080,1548.159,1531.360,1565.759,1498.000,1481.280,1512.800,1561.040,1544.480,1578.240
