N,q,isolated_ranking_top3,isolated_winner_label,isolated_best_us,e2e_ranking_top3,e2e_winner_label,e2e_best_us,iso_winner_family,e2e_winner_family,substrate_reversal_flag,comm_C2_vs_C0_iso_pct,r1_C2_vs_C0_e2e_pct,rccl_config_flag
512,2,comm_only_c0_default:1111 < comm_only_c2_ring_simple_ch8:1347 < dc_pushsig_only_c0_default:3874,comm_only_c0_default,1111.120,r0_full_serial_c0_default:1858 < r1_event_overlap_c0_default:2381 < r1_event_overlap_c2_ring_simple_ch8:2553,r0_full_serial_c0_default,1858.399,RCCL,RCCL,CONSISTENT,-21.240,-7.245,CONSISTENT
512,4,comm_only_c0_default:1215 < comm_only_c2_ring_simple_ch8:1483 < dc_pushsig_only_c0_default:5273,comm_only_c0_default,1215.199,r0_full_serial_c0_default:1859 < r1_event_overlap_c0_default:2359 < r1_event_overlap_c2_ring_simple_ch8:2567,r0_full_serial_c0_default,1858.961,RCCL,RCCL,CONSISTENT,-22.015,-8.792,CONSISTENT
512,8,comm_only_c0_default:1441 < comm_only_c2_ring_simple_ch8:1767 < fc_fcollect_only_c0_default:7062,comm_only_c0_default,1441.040,r0_full_serial_c0_default:1859 < r1_event_overlap_c0_default:2138 < r1_event_overlap_c2_ring_simple_ch8:2332,r0_full_serial_c0_default,1858.720,RCCL,RCCL,CONSISTENT,-22.639,-9.094,CONSISTENT
2048,2,comm_only_c0_default:1179 < comm_only_c2_ring_simple_ch8:1405 < dc_pushsig_only_c0_default:4022,comm_only_c0_default,1178.561,r0_full_serial_c0_default:4117 < r1_event_overlap_c2_ring_simple_ch8:4283 < rs_slice_serial_c0_default:4352,r0_full_serial_c0_default,4117.358,RCCL,RCCL,CONSISTENT,-19.244,2.308,RCCL_CONFIG_REVERSAL
2048,4,comm_only_c0_default:1270 < comm_only_c2_ring_simple_ch8:1535 < dc_pushsig_only_c0_default:5129,comm_only_c0_default,1269.840,r0_full_serial_c0_default:4125 < r1_event_overlap_c2_ring_simple_ch8:4293 < r1_event_overlap_c0_default:4301,r0_full_serial_c0_default,4124.800,RCCL,RCCL,CONSISTENT,-20.885,0.206,CONSISTENT
2048,8,comm_only_c0_default:1496 < comm_only_c2_ring_simple_ch8:1810 < fc_fcollect_only_c0_default:7087,comm_only_c0_default,1495.600,r0_full_serial_c0_default:4128 < r1_event_overlap_c0_default:6618 < r1_event_overlap_c2_ring_simple_ch8:6620,r0_full_serial_c0_default,4128.159,RCCL,RCCL,CONSISTENT,-20.990,-0.016,CONSISTENT
2048,16,comm_only_c0_default:1872 < dc_pushsig_only_c0_default:17303,comm_only_c0_default,1872.479,r1_event_overlap_c0_default:6820 < rs_slice_serial_c0_default:7952 < d1_pushsig_overlap_c0_default:29448,r1_event_overlap_c0_default,6819.592,RCCL,RCCL,CONSISTENT,,,N/A
4096,2,comm_only_c0_default:1217 < comm_only_c2_ring_simple_ch8:1462 < dc_pushsig_only_c0_default:4126,comm_only_c0_default,1216.959,r0_full_serial_c0_default:9157 < r1_event_overlap_c2_ring_simple_ch8:9333 < r1_event_overlap_c0_default:9425,r0_full_serial_c0_default,9157.035,RCCL,RCCL,CONSISTENT,-20.169,0.982,CONSISTENT
4096,4,comm_only_c0_default:1317 < comm_only_c2_ring_simple_ch8:1582 < dc_pushsig_only_c0_default:5886,comm_only_c0_default,1317.360,r1_event_overlap_c2_ring_simple_ch8:8367 < r1_event_overlap_c0_default:8413 < rs_slice_serial_c0_default:8674,r1_event_overlap_c2_ring_simple_ch8,8366.723,RCCL,RCCL,CONSISTENT,-20.119,0.548,CONSISTENT
4096,8,comm_only_c0_default:1561 < comm_only_c2_ring_simple_ch8:1857 < fc_fcollect_only_c0_default:7118,comm_only_c0_default,1560.720,r1_event_overlap_c2_ring_simple_ch8:8174 < r1_event_overlap_c0_default:8376 < rs_slice_serial_c0_default:8643,r1_event_overlap_c2_ring_simple_ch8,8174.240,RCCL,RCCL,CONSISTENT,-18.981,2.408,RCCL_CONFIG_REVERSAL
4096,16,comm_only_c0_default:1918 < comm_only_c2_ring_simple_ch8:2360,comm_only_c0_default,1918.398,r1_event_overlap_c0_default:12260 < r1_event_overlap_c2_ring_simple_ch8:12331,r1_event_overlap_c0_default,12260.238,RCCL,RCCL,CONSISTENT,-22.994,-0.577,CONSISTENT
