candidate,N,q,isolated_winner_path,isolated_runner_up,isolated_gap_pct,e2e_winner_path,e2e_runner_up,e2e_gap_pct,isolated_winner_family,e2e_winner_family,isolated_best_us,e2e_best_us,reversal_flag,notes
C0_DEFAULT,512,2,COMM_ONLY,DC_PUSHSIG_ONLY,71.320,R0_FULL_SERIAL,R1_EVENT_OVERLAP,21.940,RCCL,RCCL,1111.120,1858.399,CONSISTENT,
C0_DEFAULT,512,4,COMM_ONLY,DC_PUSHSIG_ONLY,76.953,R0_FULL_SERIAL,R1_EVENT_OVERLAP,21.209,RCCL,RCCL,1215.199,1858.961,CONSISTENT,
C0_DEFAULT,512,8,COMM_ONLY,FC_FCOLLECT_ONLY,79.593,R0_FULL_SERIAL,R1_EVENT_OVERLAP,13.050,RCCL,RCCL,1441.040,1858.720,CONSISTENT,
C0_DEFAULT,2048,2,COMM_ONLY,DC_PUSHSIG_ONLY,70.701,R0_FULL_SERIAL,RS_SLICE_SERIAL,5.388,RCCL,RCCL,1178.561,4117.358,CONSISTENT,
C0_DEFAULT,2048,4,COMM_ONLY,DC_PUSHSIG_ONLY,75.244,R0_FULL_SERIAL,R1_EVENT_OVERLAP,4.107,RCCL,RCCL,1269.840,4124.800,CONSISTENT,
C0_DEFAULT,2048,8,COMM_ONLY,FC_FCOLLECT_ONLY,78.896,R0_FULL_SERIAL,R1_EVENT_OVERLAP,37.627,RCCL,RCCL,1495.600,4128.159,CONSISTENT,
C0_DEFAULT,2048,16,COMM_ONLY,DC_PUSHSIG_ONLY,89.178,R1_EVENT_OVERLAP,RS_SLICE_SERIAL,14.241,RCCL,RCCL,1872.479,6819.592,CONSISTENT,
C0_DEFAULT,4096,2,COMM_ONLY,DC_PUSHSIG_ONLY,70.503,R0_FULL_SERIAL,R1_EVENT_OVERLAP,2.847,RCCL,RCCL,1216.959,9157.035,CONSISTENT,
C0_DEFAULT,4096,4,COMM_ONLY,DC_PUSHSIG_ONLY,77.617,R1_EVENT_OVERLAP,RS_SLICE_SERIAL,3.011,RCCL,RCCL,1317.360,8412.798,CONSISTENT,
C0_DEFAULT,4096,8,COMM_ONLY,FC_FCOLLECT_ONLY,78.075,R1_EVENT_OVERLAP,RS_SLICE_SERIAL,3.086,RCCL,RCCL,1560.720,8375.922,CONSISTENT,
C0_DEFAULT,4096,16,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,1918.398,12260.238,CONSISTENT,
C2_RING_SIMPLE_CH8,512,2,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,1347.120,2553.198,CONSISTENT,
C2_RING_SIMPLE_CH8,512,4,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,1482.719,2566.800,CONSISTENT,
C2_RING_SIMPLE_CH8,512,8,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,1767.280,2332.079,CONSISTENT,
C2_RING_SIMPLE_CH8,2048,2,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,1405.360,4283.118,CONSISTENT,
C2_RING_SIMPLE_CH8,2048,4,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,1535.043,4292.568,CONSISTENT,
C2_RING_SIMPLE_CH8,2048,8,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,1809.528,6619.541,CONSISTENT,
C2_RING_SIMPLE_CH8,4096,2,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,1462.402,9332.809,CONSISTENT,
C2_RING_SIMPLE_CH8,4096,4,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,1582.401,8366.723,CONSISTENT,
C2_RING_SIMPLE_CH8,4096,8,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,1856.960,8174.240,CONSISTENT,
C2_RING_SIMPLE_CH8,4096,16,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,2359.519,12331.016,CONSISTENT,
