case_id,path,family,candidate,M_local,N,K,q,rep,iterations,iteration_failures,status,t_release_first_max_us_p50,t_release_first_max_us_p05,t_release_first_max_us_p95,t_release_last_max_us_p50,t_release_last_max_us_p05,t_release_last_max_us_p95,t_done_max_us_p50,t_done_max_us_p05,t_done_max_us_p95,gemm_first_start_max_us_p50,gemm_first_start_max_us_p05,gemm_first_start_max_us_p95,gemm_last_end_max_us_p50,gemm_last_end_max_us_p05,gemm_last_end_max_us_p95,gemm_interval_max_us_p50,gemm_interval_max_us_p05,gemm_interval_max_us_p95,e2e_max_us_p50,e2e_max_us_p05,e2e_max_us_p95
case001_comm_C0_DEFAULT_N2048_q8_rep1,COMM_ONLY,RCCL,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,134.560,132.640,136.480,819.120,812.640,823.200,825.040,818.560,829.280,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,830.639,824.160,835.200
case002_gemm_C0_DEFAULT_N2048_q8_rep1,GEMM_ONLY,RCCL,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,3005.840,2986.397,3023.038,107.520,106.080,108.960,2999.840,2980.477,3016.638,2892.238,2873.757,2909.917,3011.439,2991.997,3029.438
case003_r0_C0_DEFAULT_N2048_q8_rep1,R0_FULL_SERIAL,RCCL,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,531.040,527.040,537.121,531.040,527.040,537.121,538.319,533.440,545.601,550.720,545.120,560.641,1894.479,1886.720,1905.441,1345.120,1340.959,1351.679,1899.999,1892.320,1911.681
case004_rs_C0_DEFAULT_N2048_q8_rep1,RS_SLICE_SERIAL,RCCL,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,138.000,134.240,141.600,3417.600,3407.042,3433.601,3423.840,3413.122,3439.521,150.401,146.560,154.240,3780.957,3768.637,3797.437,3632.239,3622.242,3653.437,3786.557,3774.397,3803.037
case005_r1_C0_DEFAULT_N2048_q8_rep1,R1_EVENT_OVERLAP,RCCL,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,138.560,136.960,140.320,1549.680,1507.841,1588.961,1559.919,1522.881,1596.799,151.440,149.760,153.760,3442.559,3386.077,3491.997,3292.399,3240.798,3341.597,3448.159,3391.837,3497.757
case006_fc_C0_DEFAULT_N2048_q8_rep1,FC_FCOLLECT_ONLY,DUSHMEM,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,3347.921,3299.521,3386.722,3347.921,3299.521,3386.722,3336.641,3288.161,3375.522,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3353.523,3305.121,3392.482
case007_dc_C0_DEFAULT_N2048_q8_rep1,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,266.399,262.080,10333.433,1881.359,1848.158,11916.312,1883.439,1854.718,11918.231,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1890.238,1856.798,11926.391
case008_d0_C0_DEFAULT_N2048_q8_rep1,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,3337.279,3283.036,3369.757,3337.279,3283.036,3369.757,3343.599,3288.956,3375.837,3355.599,3301.436,3388.157,4697.996,4648.802,4731.676,1344.800,1340.161,1351.360,4703.676,4654.562,4737.436
case009_ds_C0_DEFAULT_N2048_q8_rep1,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,275.360,271.839,401.440,10012.793,4949.282,20839.051,11309.285,5378.396,21274.730,280.960,277.439,407.680,10377.673,5310.556,21203.529,10105.112,5036.002,16448.969,11317.525,5385.115,21284.969
case010_d1_C0_DEFAULT_N2048_q8_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,271.199,267.520,6558.403,9587.445,4959.042,20648.492,10529.046,5401.282,21084.012,277.040,273.120,6565.283,9955.685,5334.723,21018.893,9685.685,5056.322,14646.228,10536.726,5406.882,21087.691
case011_d1w_C0_DEFAULT_N2048_q8_rep1,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,277.360,273.440,288.480,9003.926,5127.677,15426.706,10431.447,5581.756,16500.465,307.200,303.040,319.040,9388.005,5511.996,15815.209,9093.677,5207.036,15525.426,10433.447,5583.676,16507.826
