candidate,N,q,path,family,reps,t_done_p50_us,e2e_p50_us,release_last_p50_us,e2e_p05_us,e2e_p95_us,release_gap_us,comm_compute_overlap_us,e2e_p50_stdev_us
C0_DEFAULT,2048,8,COMM_ONLY,RCCL,1,825.040,830.639,819.120,830.639,830.639,5.600,5.600,0.000
C0_DEFAULT,2048,8,D0_FCOLLECT_SERIAL,DUSHMEM,1,3343.599,4703.676,3337.279,4703.676,4703.676,1360.077,1360.077,0.000
C0_DEFAULT,2048,8,D1W_WAITSTREAM_OVERLAP,DUSHMEM,1,10431.447,10433.447,9003.926,10433.447,10433.447,2.000,2.000,0.000
C0_DEFAULT,2048,8,D1_PUSHSIG_OVERLAP,DUSHMEM,1,10529.046,10536.726,9587.445,10536.726,10536.726,7.680,7.680,0.000
C0_DEFAULT,2048,8,DC_PUSHSIG_ONLY,DUSHMEM,1,1883.439,1890.238,1881.359,1890.238,1890.238,6.799,6.799,0.000
C0_DEFAULT,2048,8,DS_PUSHSIG_SERIAL,DUSHMEM,1,11309.285,11317.525,10012.793,11317.525,11317.525,8.240,8.240,0.000
C0_DEFAULT,2048,8,FC_FCOLLECT_ONLY,DUSHMEM,1,3336.641,3353.523,3347.921,3353.523,3353.523,16.881,16.881,0.000
C0_DEFAULT,2048,8,GEMM_ONLY,RCCL,1,3005.840,3011.439,0.000,3011.439,3011.439,5.600,5.600,0.000
C0_DEFAULT,2048,8,R0_FULL_SERIAL,RCCL,1,538.319,1899.999,531.040,1899.999,1899.999,1361.680,1361.680,0.000
C0_DEFAULT,2048,8,R1_EVENT_OVERLAP,RCCL,1,1559.919,3448.159,1549.680,3448.159,3448.159,1888.239,1888.239,0.000
C0_DEFAULT,2048,8,RS_SLICE_SERIAL,RCCL,1,3423.840,3786.557,3417.600,3786.557,3786.557,362.717,362.717,0.000
