N,q,role,cfg,window_mult,n_reps,d1_p50_us,d1_p95_us,d0_p50_us_inbatch,P_penalty_pt,delta_vs_wm1_pct,wm4_over_wm1,d1_direction
512,8,sub,d1wm1,1,3,16733.829,26469.584,7850.239,113.163,0.000,,
512,8,sub,d1wm2,2,3,16563.329,25858.240,7850.239,110.991,-1.019,,
512,8,sub,d1wm4,4,3,16402.151,26646.219,7850.239,108.938,-1.982,-1.982,HIT
512,8,sub,d0,1,3,7850.239,7939.158,7850.239,0.000,,,
2048,8,main,d1wm1,1,3,16939.412,24179.832,10104.233,67.647,0.000,,
2048,8,main,d1wm2,2,3,16354.874,28219.182,10104.233,61.862,-3.451,,
2048,8,main,d1wm4,4,3,16328.398,25816.639,10104.233,61.600,-3.607,-3.607,HIT
2048,8,main,d0,1,3,10104.233,10270.877,10104.233,0.000,,,
2048,16,boom,d1wm1,1,3,29523.249,41250.070,10140.159,191.152,0.000,,
2048,16,boom,d1wm2,2,3,28833.980,37730.211,10140.159,184.354,-2.335,,
2048,16,boom,d1wm4,4,3,30379.352,45342.879,10140.159,199.594,2.900,2.900,MISS
2048,16,boom,d0,1,3,10140.159,10283.197,10140.159,0.000,,,
4096,8,win,d1wm1,1,3,12885.194,14184.315,15163.114,-15.023,0.000,,
4096,8,win,d1wm2,2,3,13033.592,13890.402,15163.114,-14.044,1.152,,
4096,8,win,d1wm4,4,3,12926.074,14104.309,15163.114,-14.753,0.317,0.317,HIT
4096,8,win,d0,1,3,15163.114,15291.036,15163.114,0.000,,,
