case_id,path,family,candidate,M_local,N,K,q,rep,iterations,iteration_failures,status,t_release_first_max_us_p50,t_release_first_max_us_p05,t_release_first_max_us_p95,t_release_last_max_us_p50,t_release_last_max_us_p05,t_release_last_max_us_p95,t_done_max_us_p50,t_done_max_us_p05,t_done_max_us_p95,gemm_first_start_max_us_p50,gemm_first_start_max_us_p05,gemm_first_start_max_us_p95,gemm_last_end_max_us_p50,gemm_last_end_max_us_p05,gemm_last_end_max_us_p95,gemm_interval_max_us_p50,gemm_interval_max_us_p05,gemm_interval_max_us_p95,e2e_max_us_p50,e2e_max_us_p05,e2e_max_us_p95
case001_d0_C0_DEFAULT_N2048_q8_rep1,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,2048,2048,8,1,80,0,PASS,7082.075,6976.478,7166.560,7082.075,6976.478,7166.560,7088.715,6983.518,7172.960,7100.560,6995.678,7185.760,10118.879,10021.437,10291.994,3031.998,2945.438,3207.198,10124.399,10027.037,10297.754
case002_d1_C0_DEFAULT_N2048_q8_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,2048,2048,8,1,80,0,PASS,803.840,769.920,944.160,12011.114,10688.956,22613.264,17002.228,11609.273,23463.342,809.760,775.680,950.560,13537.598,11416.956,23342.703,12764.799,10631.677,21559.199,17006.467,11614.713,23467.662
case003_d1wm2_C0_DEFAULT_N2048_q8_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,2048,2048,8,1,80,0,PASS,782.640,746.560,4897.597,11028.800,10636.798,26432.631,16350.553,11475.680,27282.721,788.640,752.480,4904.637,11758.400,11353.599,27163.840,10972.960,10603.200,21587.682,16354.874,11481.279,27288.000
case004_d1wm4_C0_DEFAULT_N2048_q8_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,2048,2048,8,1,80,0,PASS,757.440,732.958,9485.118,13365.197,10616.798,24976.639,16319.838,11464.957,25810.398,763.200,738.718,9491.839,14241.439,11349.117,25690.238,12264.159,10618.231,20605.275,16328.398,11463.678,25816.639
case005_d0_C0_DEFAULT_N512_q8_rep1,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,8,1,80,0,PASS,7064.477,6968.639,7144.315,7064.477,6968.639,7144.315,7070.799,6975.039,7150.235,7083.037,6987.520,7163.195,7844.559,7747.035,7922.880,763.360,760.319,767.838,7850.239,7752.795,7928.480
case006_d1_C0_DEFAULT_N512_q8_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,8,1,80,0,PASS,816.320,741.120,20161.428,16431.829,6358.715,26212.783,16728.709,6630.235,26462.863,822.160,747.040,20168.309,16606.228,6521.435,26367.504,12988.074,5758.236,24599.502,16733.829,6637.755,26469.584
case007_d1wm2_C0_DEFAULT_N512_q8_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,8,1,80,0,PASS,736.560,702.240,13120.319,16380.151,6491.678,25397.439,16703.355,6763.358,25637.439,742.880,708.320,13127.199,16552.955,6654.238,25542.080,13859.672,5897.758,21298.555,16709.434,6768.798,25643.680
case008_d1wm4_C0_DEFAULT_N512_q8_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,8,1,80,0,PASS,759.439,722.720,20287.674,14949.514,6485.757,26410.379,15268.155,6744.158,26643.182,766.239,728.800,20294.715,15108.714,6643.677,26553.900,13080.953,5887.677,21918.229,15272.394,6746.558,26646.219
case009_d0_C0_DEFAULT_N2048_q16_rep1,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,2048,2048,16,1,80,0,PASS,7092.556,6985.600,7174.074,7092.556,6985.600,7174.074,7099.440,6991.840,7180.474,7111.760,7004.640,7192.954,10095.358,9972.639,10252.636,2997.758,2895.679,3150.879,10101.038,9978.239,10258.236
case010_d1_C0_DEFAULT_N2048_q16_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,2048,2048,16,1,80,0,PASS,645.919,618.240,1317.760,26130.631,21989.592,40761.910,28812.624,22517.264,41248.785,651.679,624.000,1323.520,26498.632,22402.223,41133.746,25873.193,21750.383,37640.773,28815.344,22519.344,41250.070
