N,q,d0_med_us,dc_med_us,d1_med_us,ds_med_us,d1w_med_us,d1_vs_d0_pct,d1w_vs_d0_pct,d1w_vs_ds_pct,dc_vs_d0_pct
512,2,12575.5,7460.8,8799.4,8823.2,8823.8,-30.03,-29.83,0.01,-40.67
512,4,12567.9,7581.9,9096.6,9116.8,9175.3,-27.62,-26.99,0.64,-39.67
512,8,12568.3,11038.4,17598.3,17785.2,17853.2,40.02,42.05,0.38,-12.17
2048,2,14345.4,7486.9,10212.1,10218.6,10215.3,-28.81,-28.79,-0.03,-47.81
2048,4,14333.0,7580.9,10306.6,10299.5,10335.5,-28.09,-27.89,0.35,-47.11
2048,8,14347.9,11124.7,18579.8,18383.7,18394.8,29.49,28.21,0.06,-22.46
4096,2,18347.1,7484.9,13938.6,13888.9,13970.4,-24.03,-23.85,0.59,-59.2
4096,4,18335.9,7557.2,12898.2,12899.5,12941.1,-29.66,-29.42,0.32,-58.78
4096,8,18347.3,11367.1,14487.1,14453.2,14543.4,-21.04,-20.73,0.62,-38.04
2048,16,14339.0,15182.4,24361.0,24752.0,23879.8,69.89,66.54,-3.52,5.88
