N,q,r1_e2e_p50_us,dc_clean_e2e_p50_us,dc_minus_r1_pct,rs_e2e_p50_us,d1_clean_e2e_p50_us,d1_minus_rs_pct,r0_e2e_p50_us,d0_clean_e2e_p50_us,d0_minus_r0_pct
512,2,4783.811,7461,56.0,5230.965,8799,68.2,5100.313,12575,146.6
512,4,4553.264,7582,66.5,5341.619,9097,70.3,5100.033,12568,146.4
512,8,4692.221,11038,135.2,6211.891,17598,183.3,5098.033,12568,146.5
2048,2,6086.778,7487,23.0,6989.694,10212,46.1,6848.095,14345,109.5
2048,4,5122.167,7581,48.0,7190.557,10307,43.3,6845.935,14333,109.4
2048,8,5400.203,11125,106.0,7965.154,18580,133.3,6846.403,14348,109.6
4096,2,8798.786,7485,-14.9,10958.746,13939,27.2,10829.233,18347,69.4
4096,4,8272.903,7557,-8.7,9772.181,12898,32.0,10836.361,18336,69.2
4096,8,8772.738,11367,29.6,11016.591,14487,31.5,10827.154,18347,69.5
2048,16,5830.553,15182,160.4,8338.615,24361,192.1,,,
4096,16,,14708,,,25847,,,,
