case,collective,size,algo,rep,status,log,csv
ll128_allgather_Ring_1M_r1,allgather,1M,Ring,1,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_allgather_Ring_1M_r1.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_allgather_Ring_1M_r1.csv
ll128_allgather_Ring_1M_r2,allgather,1M,Ring,2,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_allgather_Ring_1M_r2.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_allgather_Ring_1M_r2.csv
ll128_allgather_Ring_8M_r1,allgather,8M,Ring,1,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_allgather_Ring_8M_r1.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_allgather_Ring_8M_r1.csv
ll128_allgather_Ring_8M_r2,allgather,8M,Ring,2,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_allgather_Ring_8M_r2.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_allgather_Ring_8M_r2.csv
ll128_allgather_Ring_64M_r1,allgather,64M,Ring,1,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_allgather_Ring_64M_r1.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_allgather_Ring_64M_r1.csv
ll128_allgather_Ring_64M_r2,allgather,64M,Ring,2,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_allgather_Ring_64M_r2.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_allgather_Ring_64M_r2.csv
ll128_allgather_Tree_1M_r1,allgather,1M,Tree,1,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_allgather_Tree_1M_r1.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_allgather_Tree_1M_r1.csv
ll128_allgather_Tree_1M_r2,allgather,1M,Tree,2,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_allgather_Tree_1M_r2.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_allgather_Tree_1M_r2.csv
ll128_allgather_Tree_8M_r1,allgather,8M,Tree,1,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_allgather_Tree_8M_r1.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_allgather_Tree_8M_r1.csv
ll128_allgather_Tree_8M_r2,allgather,8M,Tree,2,3,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/logs/ll128_allgather_Tree_8M_r2.log,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/ll128_probe/ll128_allgather_Tree_8M_r2.csv
