N,q,n_reps,r1_new_p50_us,r1_old_p50_us,drift_pct,r1_old_vs_new_R1,dc_clean_us,dc_minus_r1_new_pct,dc_minus_r1_old_pct,sign_check,R2
512,2,5,4798.359,4783.811,0.304,HIT(<2%),7461.000,55.491,56.000,一致,
512,4,5,4573.566,4553.264,0.446,HIT(<2%),7582.000,65.779,66.500,一致,
512,8,5,4702.526,4692.221,0.220,HIT(<2%),11038.000,134.725,135.200,一致,
2048,2,5,6099.445,6086.778,0.208,HIT(<2%),7487.000,22.749,23.000,一致,
2048,4,5,5120.904,5122.167,-0.025,HIT(<2%),7581.000,48.040,48.000,一致,
2048,8,5,5417.919,5400.203,0.328,HIT(<2%),11125.000,105.337,106.000,一致,
2048,16,5,5862.360,5830.553,0.546,HIT(<2%),15182.000,158.974,160.400,一致,
4096,2,5,9002.152,8798.786,2.311,超2%红线,7485.000,-16.853,-14.900,一致,
4096,4,5,8273.354,8272.903,0.005,HIT(<2%),7557.000,-8.659,-8.700,一致,
4096,8,5,8755.005,8772.738,-0.202,HIT(<2%),11367.000,29.834,29.600,一致,
4096,16,5,8888.922,,,,14708.000,65.464,,,HIT(反超带不扩q16)
