N,q,role,cfg,window_mult,n_reps,d1_p50_us,d1_p95_us,d0_p50_us_inbatch,P_penalty_pt,delta_vs_wm1_pct,wm4_over_wm1,d1_direction
512,8,sub,d1wm1,1,5,17834.874,22216.914,12760.604,39.765,0.000,,
512,8,sub,d1wm2,2,5,17985.673,24162.176,12760.604,40.947,0.846,,
512,8,sub,d1wm4,4,5,17945.929,24004.027,12760.604,40.635,0.623,0.623,HIT
512,8,sub,d0,1,5,12760.604,13694.234,12760.604,0.000,,,
2048,8,main,d1wm1,1,5,18314.923,23570.627,14543.878,25.929,0.000,,
2048,8,main,d1wm2,2,5,18357.158,23345.582,14543.878,26.219,0.231,,
2048,8,main,d1wm4,4,5,17812.075,23116.242,14543.878,22.471,-2.746,-2.746,HIT
2048,8,main,d0,1,5,14543.878,16347.198,14543.878,0.000,,,
2048,16,boom,d1wm1,1,5,25281.208,35030.285,14586.889,73.315,0.000,,
2048,16,boom,d1wm2,2,5,25809.842,34385.051,14586.889,76.939,2.091,,
2048,16,boom,d1wm4,4,5,25284.221,35845.098,14586.889,73.335,0.012,0.012,HIT
2048,16,boom,d0,1,5,14586.889,16452.455,14586.889,0.000,,,
4096,8,win,d1wm1,1,5,14888.260,22825.859,18595.003,-19.934,0.000,,
4096,8,win,d1wm2,2,5,14926.562,22673.730,18595.003,-19.728,0.257,,
4096,8,win,d1wm4,4,5,14981.526,23377.791,18595.003,-19.433,0.626,0.626,HIT
4096,8,win,d0,1,5,18595.003,19438.824,18595.003,0.000,,,
