M,N,K,q,isolated_comm_best,isolated_comm_best_done_p50_us,isolated_comm_p50_by_candidate,isolated_comm_process_repetitions,h0_best,h0_best_aggregate_p50_us,h0_isolated_best_aggregate_p50_us,h0_margin_vs_isolated_best_percent,h0_p50_by_candidate,h0_per_process_p50_by_candidate,h0_winner_beats_isolated_best_in_all_repetitions,candidate_ranking_reversal,release_window_c0_p50_percent,release_span_c0_p50_percent,evidence_status,caveat
2048,128,2048,1,C2_RING_SIMPLE_CH8,3830.505000,C0_DEFAULT:3905.541;C1_RING_SIMPLE_CH4:3905.940;C2_RING_SIMPLE_CH8:3830.505,1 per candidate (Phase-1 limitation),C2_RING_SIMPLE_CH8,4276.719000,4276.719000,0.000000,C0_DEFAULT:4347.197;C1_RING_SIMPLE_CH4:4347.994;C2_RING_SIMPLE_CH8:4276.719,C0_DEFAULT:r1=4349.195/r2=4345.115/r3=4347.197;C1_RING_SIMPLE_CH4:r1=4340.800/r2=4347.994/r3=4348.442;C2_RING_SIMPLE_CH8:r1=4276.719/r2=4275.440/r3=4288.239,NO,NO,0.154323,0.000000,NO_REVERSAL,COMM_ONLY has one independent process per candidate; Phase 2 repeats it before a final claim.
2048,128,2048,2,C2_RING_SIMPLE_CH8,3891.302000,C0_DEFAULT:3955.698;C1_RING_SIMPLE_CH4:3952.258;C2_RING_SIMPLE_CH8:3891.302,1 per candidate (Phase-1 limitation),C2_RING_SIMPLE_CH8,4115.929000,4115.929000,0.000000,C0_DEFAULT:4209.684;C1_RING_SIMPLE_CH4:4210.722;C2_RING_SIMPLE_CH8:4115.929,C0_DEFAULT:r1=4213.283/r2=4208.564/r3=4209.684;C1_RING_SIMPLE_CH4:r1=4213.229/r2=4209.604/r3=4210.722;C2_RING_SIMPLE_CH8:r1=4116.649/r2=4115.929/r3=4111.610,NO,NO,49.871925,49.723433,NO_REVERSAL,COMM_ONLY has one independent process per candidate; Phase 2 repeats it before a final claim.
2048,128,2048,4,C2_RING_SIMPLE_CH8,3973.584500,C0_DEFAULT:4024.975;C1_RING_SIMPLE_CH4:4026.333;C2_RING_SIMPLE_CH8:3973.584,1 per candidate (Phase-1 limitation),C2_RING_SIMPLE_CH8,4223.204000,4223.204000,0.000000,C0_DEFAULT:4313.578;C1_RING_SIMPLE_CH4:4324.316;C2_RING_SIMPLE_CH8:4223.204,C0_DEFAULT:r1=4317.757/r2=4313.578/r3=4307.279;C1_RING_SIMPLE_CH4:r1=4325.038/r2=4315.114/r3=4324.316;C2_RING_SIMPLE_CH8:r1=4219.764/r2=4224.325/r3=4223.204,NO,NO,75.037930,74.886255,NO_REVERSAL,COMM_ONLY has one independent process per candidate; Phase 2 repeats it before a final claim.
2048,128,2048,8,C2_RING_SIMPLE_CH8,4158.650500,C0_DEFAULT:4190.645;C1_RING_SIMPLE_CH4:4200.645;C2_RING_SIMPLE_CH8:4158.650,1 per candidate (Phase-1 limitation),C2_RING_SIMPLE_CH8,4418.522000,4418.522000,0.000000,C0_DEFAULT:4499.988;C1_RING_SIMPLE_CH4:4501.031;C2_RING_SIMPLE_CH8:4418.522,C0_DEFAULT:r1=4499.988/r2=4500.307/r3=4497.354;C1_RING_SIMPLE_CH4:r1=4495.268/r2=4505.106/r3=4501.031;C2_RING_SIMPLE_CH8:r1=4418.522/r2=4425.032/r3=4415.676,NO,NO,87.332525,87.184088,NO_REVERSAL,COMM_ONLY has one independent process per candidate; Phase 2 repeats it before a final claim.
2048,2048,2048,1,C2_RING_SIMPLE_CH8,3842.027500,C0_DEFAULT:3912.664;C1_RING_SIMPLE_CH4:3910.980;C2_RING_SIMPLE_CH8:3842.028,1 per candidate (Phase-1 limitation),C2_RING_SIMPLE_CH8,6312.446500,6312.446500,0.000000,C0_DEFAULT:6376.521;C1_RING_SIMPLE_CH4:6381.087;C2_RING_SIMPLE_CH8:6312.447,C0_DEFAULT:r1=6376.521/r2=6373.328/r3=6389.736;C1_RING_SIMPLE_CH4:r1=6381.087/r2=6384.687/r3=6380.847;C2_RING_SIMPLE_CH8:r1=6312.447/r2=6310.286/r3=6474.516,NO,NO,0.157732,0.000000,NO_REVERSAL,COMM_ONLY has one independent process per candidate; Phase 2 repeats it before a final claim.
2048,2048,2048,2,C2_RING_SIMPLE_CH8,3888.901000,C0_DEFAULT:3962.497;C1_RING_SIMPLE_CH4:3961.137;C2_RING_SIMPLE_CH8:3888.901,1 per candidate (Phase-1 limitation),C2_RING_SIMPLE_CH8,5143.870500,5143.870500,0.000000,C0_DEFAULT:5341.861;C1_RING_SIMPLE_CH4:5340.581;C2_RING_SIMPLE_CH8:5143.870,C0_DEFAULT:r1=5342.648/r2=5341.861/r3=5337.624;C1_RING_SIMPLE_CH4:r1=5339.386/r2=5344.182/r3=5340.581;C2_RING_SIMPLE_CH8:r1=5143.870/r2=5142.686/r3=5151.711,NO,NO,51.072935,50.919119,NO_REVERSAL,COMM_ONLY has one independent process per candidate; Phase 2 repeats it before a final claim.
2048,2048,2048,4,C2_RING_SIMPLE_CH8,3984.648000,C0_DEFAULT:4035.694;C1_RING_SIMPLE_CH4:4034.099;C2_RING_SIMPLE_CH8:3984.648,1 per candidate (Phase-1 limitation),C2_RING_SIMPLE_CH8,4842.288000,4842.288000,0.000000,C0_DEFAULT:4853.407;C1_RING_SIMPLE_CH4:4852.047;C2_RING_SIMPLE_CH8:4842.288,C0_DEFAULT:r1=4853.407/r2=4858.715/r3=4847.571;C1_RING_SIMPLE_CH4:r1=4854.367/r2=4851.888/r3=4852.047;C2_RING_SIMPLE_CH8:r1=4842.288/r2=4841.973/r3=4844.389,NO,NO,74.792192,74.634192,NO_REVERSAL,COMM_ONLY has one independent process per candidate; Phase 2 repeats it before a final claim.
2048,2048,2048,8,C2_RING_SIMPLE_CH8,4167.285500,C0_DEFAULT:4207.444;C1_RING_SIMPLE_CH4:4209.444;C2_RING_SIMPLE_CH8:4167.285,1 per candidate (Phase-1 limitation),C0_DEFAULT,5167.550500,5539.774500,7.203103,C0_DEFAULT:5167.551;C1_RING_SIMPLE_CH4:5174.434;C2_RING_SIMPLE_CH8:5539.774,C0_DEFAULT:r1=5183.389/r2=5167.551/r3=5162.274;C1_RING_SIMPLE_CH4:r1=5174.434/r2=5170.510/r3=5179.070;C2_RING_SIMPLE_CH8:r1=5539.774/r2=5536.330/r3=5545.931,YES,YES,87.453420,87.318896,REPEAT_STABLE_REVERSAL,COMM_ONLY has one independent process per candidate; Phase 2 repeats it before a final claim.
2048,512,2048,1,C2_RING_SIMPLE_CH8,3830.265000,C0_DEFAULT:3905.620;C1_RING_SIMPLE_CH4:3907.145;C2_RING_SIMPLE_CH8:3830.265,1 per candidate (Phase-1 limitation),C2_RING_SIMPLE_CH8,4810.210000,4810.210000,0.000000,C0_DEFAULT:4876.046;C1_RING_SIMPLE_CH4:4880.850;C2_RING_SIMPLE_CH8:4810.210,C0_DEFAULT:r1=5136.680/r2=4876.046/r3=4873.326;C1_RING_SIMPLE_CH4:r1=4881.167/r2=4880.850/r3=4877.806;C2_RING_SIMPLE_CH8:r1=4810.210/r2=4805.490/r3=4815.720,NO,NO,0.156456,0.000000,NO_REVERSAL,COMM_ONLY has one independent process per candidate; Phase 2 repeats it before a final claim.
2048,512,2048,2,C2_RING_SIMPLE_CH8,3883.945500,C0_DEFAULT:3956.898;C1_RING_SIMPLE_CH4:3959.858;C2_RING_SIMPLE_CH8:3883.945,1 per candidate (Phase-1 limitation),C2_RING_SIMPLE_CH8,4342.157000,4342.157000,0.000000,C0_DEFAULT:4435.271;C1_RING_SIMPLE_CH4:4430.551;C2_RING_SIMPLE_CH8:4342.157,C0_DEFAULT:r1=4435.271/r2=4432.950/r3=4436.232;C1_RING_SIMPLE_CH4:r1=4435.807/r2=4430.152/r3=4430.551;C2_RING_SIMPLE_CH8:r1=4341.436/r2=4342.157/r3=4349.515,NO,NO,49.861024,49.711223,NO_REVERSAL,COMM_ONLY has one independent process per candidate; Phase 2 repeats it before a final claim.
2048,512,2048,4,C2_RING_SIMPLE_CH8,3978.645500,C0_DEFAULT:4029.454;C1_RING_SIMPLE_CH4:4028.734;C2_RING_SIMPLE_CH8:3978.646,1 per candidate (Phase-1 limitation),C1_RING_SIMPLE_CH4,4295.678000,4339.196500,1.013076,C0_DEFAULT:4295.838;C1_RING_SIMPLE_CH4:4295.678;C2_RING_SIMPLE_CH8:4339.197,C0_DEFAULT:r1=4295.838/r2=4298.869/r3=4291.520;C1_RING_SIMPLE_CH4:r1=4295.038/r2=4295.678/r3=4302.318;C2_RING_SIMPLE_CH8:r1=4338.236/r2=4339.197/r3=4341.516,YES,YES,74.554142,74.389255,REPEAT_STABLE_REVERSAL,COMM_ONLY has one independent process per candidate; Phase 2 repeats it before a final claim.
2048,512,2048,8,C2_RING_SIMPLE_CH8,4165.286000,C0_DEFAULT:4196.485;C1_RING_SIMPLE_CH4:4197.765;C2_RING_SIMPLE_CH8:4165.286,1 per candidate (Phase-1 limitation),C0_DEFAULT,4551.264500,4570.383500,0.420081,C0_DEFAULT:4551.265;C1_RING_SIMPLE_CH4:4561.505;C2_RING_SIMPLE_CH8:4570.383,C0_DEFAULT:r1=4550.944/r2=4551.265/r3=4559.185;C1_RING_SIMPLE_CH4:r1=4568.705/r2=4559.264/r3=4561.505;C2_RING_SIMPLE_CH8:r1=4568.566/r2=4570.708/r3=4570.383,YES,YES,87.333499,87.184281,REPEAT_STABLE_REVERSAL,COMM_ONLY has one independent process per candidate; Phase 2 repeats it before a final claim.
