M,N,K,q,isolated_comm_candidates,isolated_comm_best_candidate,isolated_comm_best_t_done_p50_us,h0_candidates,h0_best_candidate,h0_best_e2e_p50_us,candidate_ranking_reversal,c0_comm_t_done_p50_us,c0_h0_e2e_p50_us,c0_b1_e2e_p50_us,h0_gain_vs_b1_percent,b1_fragmentation_vs_b0_percent,gemm_fragmentation_vs_q1_percent,release_first_over_done_percent,h0_p05_us,h0_p95_us,h0_sample_count,evidence_status,notes
128,128,128,1,C0_DEFAULT:83.996,C0_DEFAULT,83.996000,C0_DEFAULT:150.231,C0_DEFAULT,150.231000,FALSE,83.996000,150.231000,147.512000,-1.809879,0.875321,0.000000,44.098021,142.136000,162.391000,5,SAME_RANKING_OR_INSUFFICIENT_MARGIN,Synthetic Phase-1 engineering shape; not trace-derived paper evidence.
128,128,128,2,C0_DEFAULT:121.913,C0_DEFAULT,121.913000,C0_DEFAULT:263.957,C0_DEFAULT,263.957000,FALSE,121.913000,263.957000,284.606000,7.822865,94.626347,57.430635,68.404147,240.970800,275.130000,5,SAME_RANKING_OR_INSUFFICIENT_MARGIN,Synthetic Phase-1 engineering shape; not trace-derived paper evidence.
2048,128,2048,1,C0_DEFAULT:3905.541;C1_RING_SIMPLE_CH4:3905.940;C2_RING_SIMPLE_CH8:3830.505,C2_RING_SIMPLE_CH8,3830.505000,C0_DEFAULT:4347.116;C1_RING_SIMPLE_CH4:4345.106;C2_RING_SIMPLE_CH8:4280.319,C2_RING_SIMPLE_CH8,4280.319500,FALSE,3905.540500,4347.116000,4343.036000,-0.093855,0.346520,0.000000,0.155254,4254.145000,4344.644000,150,SAME_RANKING_OR_INSUFFICIENT_MARGIN,Synthetic Phase-1 engineering shape; not trace-derived paper evidence.
2048,128,2048,2,C0_DEFAULT:3955.698;C1_RING_SIMPLE_CH4:3952.258;C2_RING_SIMPLE_CH8:3891.302,C2_RING_SIMPLE_CH8,3891.302000,C0_DEFAULT:4209.923;C1_RING_SIMPLE_CH4:4210.644;C2_RING_SIMPLE_CH8:4114.489,C2_RING_SIMPLE_CH8,4114.489000,FALSE,3955.697500,4209.923000,4376.954000,3.967555,1.130200,-7.842655,49.852315,4103.769900,4173.678450,150,SAME_RANKING_OR_INSUFFICIENT_MARGIN,Synthetic Phase-1 engineering shape; not trace-derived paper evidence.
2048,128,2048,4,C0_DEFAULT:4024.975;C1_RING_SIMPLE_CH4:4026.333;C2_RING_SIMPLE_CH8:3973.584,C2_RING_SIMPLE_CH8,3973.584500,C0_DEFAULT:4313.189;C1_RING_SIMPLE_CH4:4321.198;C2_RING_SIMPLE_CH8:4223.123,C2_RING_SIMPLE_CH8,4223.123000,FALSE,4024.974500,4313.188500,4740.853500,9.915287,9.538155,73.012517,75.028241,4214.380450,4240.098000,150,SAME_RANKING_OR_INSUFFICIENT_MARGIN,Synthetic Phase-1 engineering shape; not trace-derived paper evidence.
2048,128,2048,8,C0_DEFAULT:4190.645;C1_RING_SIMPLE_CH4:4200.645;C2_RING_SIMPLE_CH8:4158.650,C2_RING_SIMPLE_CH8,4158.650500,C0_DEFAULT:4498.868;C1_RING_SIMPLE_CH4:4499.747;C2_RING_SIMPLE_CH8:4419.084,C2_RING_SIMPLE_CH8,4419.083500,FALSE,4190.645000,4498.868000,5074.359500,12.791918,17.243862,108.510004,87.345716,4409.680450,4441.394300,150,SAME_RANKING_OR_INSUFFICIENT_MARGIN,Synthetic Phase-1 engineering shape; not trace-derived paper evidence.
2048,2048,2048,1,C0_DEFAULT:3912.664;C1_RING_SIMPLE_CH4:3910.980;C2_RING_SIMPLE_CH8:3842.028,C2_RING_SIMPLE_CH8,3842.027500,C0_DEFAULT:6379.493;C1_RING_SIMPLE_CH4:6382.202;C2_RING_SIMPLE_CH8:6313.566,C2_RING_SIMPLE_CH8,6313.566000,FALSE,3912.664000,6379.492500,6379.968000,0.007454,3.908604,0.000000,0.159647,6284.894000,6564.853150,150,SAME_RANKING_OR_INSUFFICIENT_MARGIN,Synthetic Phase-1 engineering shape; not trace-derived paper evidence.
2048,2048,2048,2,C0_DEFAULT:3962.497;C1_RING_SIMPLE_CH4:3961.137;C2_RING_SIMPLE_CH8:3888.901,C2_RING_SIMPLE_CH8,3888.901000,C0_DEFAULT:5340.669;C1_RING_SIMPLE_CH4:5341.540;C2_RING_SIMPLE_CH8:5146.816,C2_RING_SIMPLE_CH8,5146.816500,FALSE,3962.497500,5340.669000,6415.320000,20.122030,4.484371,-0.681047,51.084371,5128.359150,5279.778100,150,SAME_RANKING_OR_INSUFFICIENT_MARGIN,Synthetic Phase-1 engineering shape; not trace-derived paper evidence.
2048,2048,2048,4,C0_DEFAULT:4035.694;C1_RING_SIMPLE_CH4:4034.099;C2_RING_SIMPLE_CH8:3984.648,C2_RING_SIMPLE_CH8,3984.648000,C0_DEFAULT:4853.167;C1_RING_SIMPLE_CH4:4852.529;C2_RING_SIMPLE_CH8:4842.939,C2_RING_SIMPLE_CH8,4842.938500,FALSE,4035.694000,4853.167000,6716.901000,38.402429,9.396129,7.221601,74.792778,4834.112550,4862.876950,150,SAME_RANKING_OR_INSUFFICIENT_MARGIN,Synthetic Phase-1 engineering shape; not trace-derived paper evidence.
2048,2048,2048,8,C0_DEFAULT:4207.444;C1_RING_SIMPLE_CH4:4209.444;C2_RING_SIMPLE_CH8:4167.285,C2_RING_SIMPLE_CH8,4167.285500,C0_DEFAULT:5171.470;C1_RING_SIMPLE_CH4:5174.270;C2_RING_SIMPLE_CH8:5541.455,C0_DEFAULT,5171.470000,TRUE,4207.444000,5171.470000,7792.521500,50.682910,26.914434,36.689559,87.451271,5154.586050,5215.108000,150,CANDIDATE_REVERSAL,Synthetic Phase-1 engineering shape; not trace-derived paper evidence.
2048,512,2048,1,C0_DEFAULT:3905.620;C1_RING_SIMPLE_CH4:3907.145;C2_RING_SIMPLE_CH8:3830.265,C2_RING_SIMPLE_CH8,3830.265000,C0_DEFAULT:4900.284;C1_RING_SIMPLE_CH4:4879.565;C2_RING_SIMPLE_CH8:4811.009,C2_RING_SIMPLE_CH8,4811.009000,FALSE,3905.620500,4900.284000,4875.726000,-0.501155,1.114825,0.000000,0.156770,4787.403450,4873.942400,150,SAME_RANKING_OR_INSUFFICIENT_MARGIN,Synthetic Phase-1 engineering shape; not trace-derived paper evidence.
2048,512,2048,2,C0_DEFAULT:3956.898;C1_RING_SIMPLE_CH4:3959.858;C2_RING_SIMPLE_CH8:3883.945,C2_RING_SIMPLE_CH8,3883.945500,C0_DEFAULT:4434.630;C1_RING_SIMPLE_CH4:4432.459;C2_RING_SIMPLE_CH8:4343.517,C2_RING_SIMPLE_CH8,4343.517000,FALSE,3956.897500,4434.630000,4828.609000,8.884146,0.137693,-15.619437,49.882785,4330.821550,4381.554550,150,SAME_RANKING_OR_INSUFFICIENT_MARGIN,Synthetic Phase-1 engineering shape; not trace-derived paper evidence.
2048,512,2048,4,C0_DEFAULT:4029.454;C1_RING_SIMPLE_CH4:4028.734;C2_RING_SIMPLE_CH8:3978.646,C2_RING_SIMPLE_CH8,3978.645500,C0_DEFAULT:4295.518;C1_RING_SIMPLE_CH4:4296.479;C2_RING_SIMPLE_CH8:4339.038,C0_DEFAULT,4295.518000,TRUE,4029.454000,4295.518000,4952.920500,15.304382,2.715716,-11.814150,74.557861,4286.959450,4313.622550,150,CANDIDATE_REVERSAL,Synthetic Phase-1 engineering shape; not trace-derived paper evidence.
