case_id,phase,repetition,ranks,shape_id,m_local,n,k,q,path,candidate,status,sample_count,pass_count,raw_global_csv,e2e_p05,e2e_p50,e2e_p95,e2e_mean,e2e_std,e2e_cv,done_p05,done_p50,done_p95,release_first_p50,release_last_p50,gemm_interval_p50,release_window_ratio_p50,release_span_ratio_p50
capability_r1_CAP_p4_m512_n256_k1024_q1_comm_C0_DEFAULT,capability,1,4,CAP,512,256,1024,1,comm,C0_DEFAULT,0,10,10,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase1_release_20260831_100100/cases/capability_r1_CAP_p4_m512_n256_k1024_q1_comm_C0_DEFAULT/raw_global_samples.csv,566.111550,572.135000,585.191000,574.071100,6.944022,1.209610,560.583550,566.615000,579.823450,561.255000,561.255000,0.000000,0.960406,0.000000
capability_r1_CAP_p4_m512_n256_k1024_q1_comm_C1_RING_SIMPLE_CH4,capability,1,4,CAP,512,256,1024,1,comm,C1_RING_SIMPLE_CH4,0,10,10,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase1_release_20260831_100100/cases/capability_r1_CAP_p4_m512_n256_k1024_q1_comm_C1_RING_SIMPLE_CH4/raw_global_samples.csv,570.208000,574.207500,586.479000,576.495400,6.113771,1.060506,564.696000,568.768000,580.879450,563.248500,563.248500,0.000000,0.958746,0.000000
capability_r1_CAP_p4_m512_n256_k1024_q1_comm_C2_RING_SIMPLE_CH8,capability,1,4,CAP,512,256,1024,1,comm,C2_RING_SIMPLE_CH8,0,10,10,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase1_release_20260831_100100/cases/capability_r1_CAP_p4_m512_n256_k1024_q1_comm_C2_RING_SIMPLE_CH8/raw_global_samples.csv,562.736550,570.447500,579.799000,570.367900,5.994641,1.051013,557.136550,565.088000,574.359450,559.728000,559.728000,0.000000,0.960237,0.000000
discovery_b0_r1_S01_COMM_LEAN_p4_m2048_n128_k2048_q1_b0_C0_DEFAULT,discovery_b0,1,4,S01_COMM_LEAN,2048,128,2048,1,b0,C0_DEFAULT,0,50,50,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase1_release_20260831_100100/cases/discovery_b0_r1_S01_COMM_LEAN_p4_m2048_n128_k2048_q1_b0_C0_DEFAULT/raw_global_samples.csv,4300.738400,4332.876000,4355.387550,4330.525540,17.569013,0.405702,3986.335900,4009.855000,4034.597000,4003.695000,4003.695000,302.864000,0.148278,0.000000
discovery_b0_r1_S02_BALANCE_p4_m2048_n512_k2048_q1_b0_C0_DEFAULT,discovery_b0,1,4,S02_BALANCE,2048,512,2048,1,b0,C0_DEFAULT,0,50,50,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase1_release_20260831_100100/cases/discovery_b0_r1_S02_BALANCE_p4_m2048_n512_k2048_q1_b0_C0_DEFAULT/raw_global_samples.csv,4792.019000,4828.289000,4867.566900,4833.543860,38.182099,0.789940,3992.320000,4023.374500,4053.988000,4017.455000,4017.455000,793.235000,0.151153,0.000000
discovery_b0_r1_S03_COMPUTE_LEAN_p4_m2048_n2048_k2048_q1_b0_C0_DEFAULT,discovery_b0,1,4,S03_COMPUTE_LEAN,2048,2048,2048,1,b0,C0_DEFAULT,0,50,50,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase1_release_20260831_100100/cases/discovery_b0_r1_S03_COMPUTE_LEAN_p4_m2048_n2048_k2048_q1_b0_C0_DEFAULT/raw_global_samples.csv,6110.639050,6136.941000,6185.212450,6186.957580,340.000797,5.495444,3985.384000,4007.854500,4054.868000,4001.935500,4001.935500,2122.604500,0.151582,0.000000
discovery_b0_r2_S01_COMM_LEAN_p4_m2048_n128_k2048_q1_b0_C0_DEFAULT,discovery_b0,2,4,S01_COMM_LEAN,2048,128,2048,1,b0,C0_DEFAULT,0,50,50,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase1_release_20260831_100100/cases/discovery_b0_r2_S01_COMM_LEAN_p4_m2048_n128_k2048_q1_b0_C0_DEFAULT/raw_global_samples.csv,4304.669450,4327.040000,4368.449550,4374.687340,315.209934,7.205313,3990.378350,4014.581000,4045.554100,4008.418500,4008.418500,302.934500,0.150538,0.000000
discovery_b0_r2_S02_BALANCE_p4_m2048_n512_k2048_q1_b0_C0_DEFAULT,discovery_b0,2,4,S02_BALANCE,2048,512,2048,1,b0,C0_DEFAULT,0,50,50,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase1_release_20260831_100100/cases/discovery_b0_r2_S02_BALANCE_p4_m2048_n512_k2048_q1_b0_C0_DEFAULT/raw_global_samples.csv,4796.238950,4817.398000,4856.303550,4871.055660,362.154047,7.434816,3991.444700,4012.045000,4041.096100,4005.963000,4005.963000,792.388500,0.148170,0.000000
discovery_b0_r2_S03_COMPUTE_LEAN_p4_m2048_n2048_k2048_q1_b0_C0_DEFAULT,discovery_b0,2,4,S03_COMPUTE_LEAN,2048,2048,2048,1,b0,C0_DEFAULT,0,50,50,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase1_release_20260831_100100/cases/discovery_b0_r2_S03_COMPUTE_LEAN_p4_m2048_n2048_k2048_q1_b0_C0_DEFAULT/raw_global_samples.csv,6106.827000,6136.140500,6171.356550,6137.217020,20.418695,0.332703,3982.755400,4011.055000,4045.988450,4005.455000,4005.455000,2118.682500,0.152130,0.000000
discovery_b0_r3_S01_COMM_LEAN_p4_m2048_n128_k2048_q1_b0_C0_DEFAULT,discovery_b0,3,4,S01_COMM_LEAN,2048,128,2048,1,b0,C0_DEFAULT,0,50,50,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase1_release_20260831_100100/cases/discovery_b0_r3_S01_COMM_LEAN_p4_m2048_n128_k2048_q1_b0_C0_DEFAULT/raw_global_samples.csv,4301.534000,4327.437500,4373.458450,4416.597560,427.956804,9.689740,3982.000000,4009.935000,4055.444450,4004.095000,4004.095000,302.863000,0.148452,0.000000
discovery_b0_r3_S02_BALANCE_p4_m2048_n512_k2048_q1_b0_C0_DEFAULT,discovery_b0,3,4,S02_BALANCE,2048,512,2048,1,b0,C0_DEFAULT,0,50,50,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase1_release_20260831_100100/cases/discovery_b0_r3_S02_BALANCE_p4_m2048_n512_k2048_q1_b0_C0_DEFAULT/raw_global_samples.csv,4797.818550,4815.089500,4874.813450,4866.306100,301.827567,6.202396,3997.258600,4009.535000,4049.620000,4003.854500,4003.854500,792.755500,0.151572,0.000000
discovery_b0_r3_S03_COMPUTE_LEAN_p4_m2048_n2048_k2048_q1_b0_C0_DEFAULT,discovery_b0,3,4,S03_COMPUTE_LEAN,2048,2048,2048,1,b0,C0_DEFAULT,0,50,50,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase1_release_20260831_100100/cases/discovery_b0_r3_S03_COMPUTE_LEAN_p4_m2048_n2048_k2048_q1_b0_C0_DEFAULT/raw_global_samples.csv,6122.195550,6143.894500,6195.771450,6189.884780,301.366467,4.868693,3989.432000,4019.134000,4068.947000,4013.054500,4013.054500,2122.522500,0.155032,0.000000
discovery_comm_r1_S01_COMM_LEAN_p4_m2048_n128_k2048_q1_comm_C0_DEFAULT,discovery_comm,1,4,S01_COMM_LEAN,2048,128,2048,1,comm,C0_DEFAULT,0,50,50,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase1_release_20260831_100100/cases/discovery_comm_r1_S01_COMM_LEAN_p4_m2048_n128_k2048_q1_comm_C0_DEFAULT/raw_global_samples.csv,3888.573550,3911.060500,3924.539000,3954.195520,324.043345,8.194925,3882.973550,3905.540500,3919.099450,3899.941500,3899.941500,0.000000,0.143043,0.000000
