path,candidate,M,N,K,q,sample_count,pass_count,fail_count,e2e_mean_us,e2e_p50_us,e2e_p05_us,e2e_p95_us,e2e_std_us,e2e_cv_percent,t_done_mean_us,release_first_mean_us,release_last_mean_us,gemm_interval_mean_us,gemm_tflops_mean,notes
B0_FULL_SERIAL,C0_DEFAULT,128,128,128,1,5,5,0,148.919600,146.232000,141.432000,163.991000,11.086690,7.444749,96.666600,90.458800,90.458800,39.198000,0.223600,raw global samples aggregated; synthetic Phase-1 shapes only
B0_FULL_SERIAL,C0_DEFAULT,128,128,128,2,5,5,0,133.944600,129.433000,120.153000,150.712000,14.367617,10.726537,90.619000,84.603200,84.603200,30.078400,0.317800,raw global samples aggregated; synthetic Phase-1 shapes only
B0_FULL_SERIAL,C0_DEFAULT,2048,128,2048,1,150,150,0,4373.936813,4328.038500,4301.652500,4366.011450,306.999869,7.018846,4057.293933,4051.233420,4051.233420,305.188847,14.086360,raw global samples aggregated; synthetic Phase-1 shapes only
B0_FULL_SERIAL,C0_DEFAULT,2048,2048,2048,1,150,150,0,6171.353127,6139.980500,6110.428000,6179.353950,261.933072,4.244338,4045.107667,4038.935193,4038.935193,2122.272760,32.380853,raw global samples aggregated; synthetic Phase-1 shapes only
B0_FULL_SERIAL,C0_DEFAULT,2048,512,2048,1,150,150,0,4856.968540,4821.969500,4794.203000,4865.103950,271.753808,5.595132,4049.397087,4043.274127,4043.274127,797.701780,21.544233,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C0_DEFAULT,128,128,128,1,5,5,0,151.223600,147.512000,138.424000,168.375000,13.993039,9.253211,146.936000,86.363200,86.363200,40.125800,0.220000,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C0_DEFAULT,128,128,128,2,5,5,0,298.692400,284.606000,278.331200,332.147200,26.027414,8.713785,292.609600,82.949000,235.400400,188.179600,0.044600,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C0_DEFAULT,2048,128,2048,1,150,150,0,4376.847213,4343.036000,4311.853450,4391.337550,269.268598,6.152113,4049.000273,4042.801100,4042.801100,323.128153,13.304680,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C0_DEFAULT,2048,128,2048,2,150,150,0,4397.387993,4376.954000,4360.163000,4407.792450,186.148475,4.233160,4249.035873,2057.472493,4242.783387,2328.284020,1.844740,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C0_DEFAULT,2048,128,2048,4,150,150,0,4771.320333,4740.853500,4728.375000,4759.428550,251.899290,5.279446,4626.480447,1045.512373,4620.119173,3717.244080,1.158807,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C0_DEFAULT,2048,128,2048,8,150,150,0,5117.408380,5074.359500,5063.707000,5089.362550,299.471631,5.852017,5028.453460,555.229220,5022.061200,4555.396587,0.945607,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C0_DEFAULT,2048,2048,2048,1,150,150,0,6424.207787,6379.968000,6346.392500,6413.007000,316.803679,4.931405,4032.162247,4025.855733,4025.855393,2395.982060,28.856013,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C0_DEFAULT,2048,2048,2048,2,150,150,0,6459.331207,6415.320000,6391.769000,6442.461450,303.728621,4.702168,5278.829987,2068.327547,5272.574340,4395.561600,15.666007,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C0_DEFAULT,2048,2048,2048,4,150,150,0,6754.355993,6716.901000,6704.696100,6745.584300,270.278581,4.001545,6116.133953,1066.887527,6109.852713,5692.911180,12.090280,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C0_DEFAULT,2048,2048,2048,8,150,150,0,7825.146820,7792.521500,7781.384450,7816.640650,259.928058,3.321702,7399.045580,577.762647,7392.755873,7239.311180,9.497333,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C0_DEFAULT,2048,512,2048,1,150,150,0,4910.933053,4875.726000,4846.183550,4924.035000,268.660261,5.470656,4047.096693,4040.863440,4040.863440,860.698587,19.967467,raw global samples aggregated; synthetic Phase-1 shapes only
