case_id	phase	repetition	ranks	shape_id	m_local	n	k	q	path	candidate	status	started_utc	ended_utc	case_dir
phase2_comm_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q2_comm_C0_DEFAULT	phase2_comm	1	4	S03_CONFIRM	2048	2048	2048	2	comm	C0_DEFAULT	0	2026-08-31T10:56:19Z	2026-08-31T10:56:32Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_comm_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q2_comm_C0_DEFAULT
phase2_comm_r2_S03_CONFIRM_p4_m2048_n2048_k2048_q2_comm_C0_DEFAULT	phase2_comm	2	4	S03_CONFIRM	2048	2048	2048	2	comm	C0_DEFAULT	0	2026-08-31T10:56:32Z	2026-08-31T10:56:44Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_comm_r2_S03_CONFIRM_p4_m2048_n2048_k2048_q2_comm_C0_DEFAULT
phase2_comm_r3_S03_CONFIRM_p4_m2048_n2048_k2048_q2_comm_C0_DEFAULT	phase2_comm	3	4	S03_CONFIRM	2048	2048	2048	2	comm	C0_DEFAULT	0	2026-08-31T10:56:44Z	2026-08-31T10:56:56Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_comm_r3_S03_CONFIRM_p4_m2048_n2048_k2048_q2_comm_C0_DEFAULT
phase2_comm_r4_S03_CONFIRM_p4_m2048_n2048_k2048_q2_comm_C0_DEFAULT	phase2_comm	4	4	S03_CONFIRM	2048	2048	2048	2	comm	C0_DEFAULT	0	2026-08-31T10:56:56Z	2026-08-31T10:57:09Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_comm_r4_S03_CONFIRM_p4_m2048_n2048_k2048_q2_comm_C0_DEFAULT
phase2_comm_r5_S03_CONFIRM_p4_m2048_n2048_k2048_q2_comm_C0_DEFAULT	phase2_comm	5	4	S03_CONFIRM	2048	2048	2048	2	comm	C0_DEFAULT	0	2026-08-31T10:57:09Z	2026-08-31T10:57:21Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_comm_r5_S03_CONFIRM_p4_m2048_n2048_k2048_q2_comm_C0_DEFAULT
phase2_comm_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q2_comm_C1_RING_SIMPLE_CH4	phase2_comm	1	4	S03_CONFIRM	2048	2048	2048	2	comm	C1_RING_SIMPLE_CH4	0	2026-08-31T10:57:21Z	2026-08-31T10:57:34Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_comm_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q2_comm_C1_RING_SIMPLE_CH4
phase2_comm_r2_S03_CONFIRM_p4_m2048_n2048_k2048_q2_comm_C1_RING_SIMPLE_CH4	phase2_comm	2	4	S03_CONFIRM	2048	2048	2048	2	comm	C1_RING_SIMPLE_CH4	0	2026-08-31T10:57:34Z	2026-08-31T10:57:46Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_comm_r2_S03_CONFIRM_p4_m2048_n2048_k2048_q2_comm_C1_RING_SIMPLE_CH4
phase2_comm_r3_S03_CONFIRM_p4_m2048_n2048_k2048_q2_comm_C1_RING_SIMPLE_CH4	phase2_comm	3	4	S03_CONFIRM	2048	2048	2048	2	comm	C1_RING_SIMPLE_CH4	0	2026-08-31T10:57:46Z	2026-08-31T10:57:58Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_comm_r3_S03_CONFIRM_p4_m2048_n2048_k2048_q2_comm_C1_RING_SIMPLE_CH4
phase2_comm_r4_S03_CONFIRM_p4_m2048_n2048_k2048_q2_comm_C1_RING_SIMPLE_CH4	phase2_comm	4	4	S03_CONFIRM	2048	2048	2048	2	comm	C1_RING_SIMPLE_CH4	0	2026-08-31T10:57:58Z	2026-08-31T10:58:10Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_comm_r4_S03_CONFIRM_p4_m2048_n2048_k2048_q2_comm_C1_RING_SIMPLE_CH4
phase2_comm_r5_S03_CONFIRM_p4_m2048_n2048_k2048_q2_comm_C1_RING_SIMPLE_CH4	phase2_comm	5	4	S03_CONFIRM	2048	2048	2048	2	comm	C1_RING_SIMPLE_CH4	0	2026-08-31T10:58:10Z	2026-08-31T10:58:23Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_comm_r5_S03_CONFIRM_p4_m2048_n2048_k2048_q2_comm_C1_RING_SIMPLE_CH4
