case_id,phase,repetition,shape_id,m_local,n,k,q,path,candidate,status,sample_count,pass_count,raw_global_csv,e2e_p05,e2e_p50,e2e_p95,e2e_mean,e2e_std,e2e_cv,done_p05,done_p50,done_p95,release_first_p50,release_last_p50,gemm_interval_p50
phase2_b0_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q1_b0_C0_DEFAULT,phase2_b0,1,S03_CONFIRM,2048,2048,2048,1,b0,C0_DEFAULT,0,80,80,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_b0_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q1_b0_C0_DEFAULT/raw_global_samples.csv,6111.954450,6138.540000,6188.235700,6220.056175,412.396246,6.630105,3986.414650,4009.774500,4047.588950,4003.934500,4003.934500,2119.083000
phase2_b0_r2_S03_CONFIRM_p4_m2048_n2048_k2048_q1_b0_C0_DEFAULT,phase2_b0,2,S03_CONFIRM,2048,2048,2048,1,b0,C0_DEFAULT,0,80,80,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_b0_r2_S03_CONFIRM_p4_m2048_n2048_k2048_q1_b0_C0_DEFAULT/raw_global_samples.csv,6104.763450,6140.135000,6177.356950,6169.228888,233.538040,3.785530,3982.087950,4016.494500,4051.620000,4010.334500,4010.334500,2119.881000
phase2_b0_r3_S03_CONFIRM_p4_m2048_n2048_k2048_q1_b0_C0_DEFAULT,phase2_b0,3,S03_CONFIRM,2048,2048,2048,1,b0,C0_DEFAULT,0,80,80,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_b0_r3_S03_CONFIRM_p4_m2048_n2048_k2048_q1_b0_C0_DEFAULT/raw_global_samples.csv,6108.560600,6140.780500,6184.115950,6169.022300,238.629327,3.868187,3982.481000,4014.654000,4050.892000,4008.734000,4008.734000,2119.004000
phase2_b0_r4_S03_CONFIRM_p4_m2048_n2048_k2048_q1_b0_C0_DEFAULT,phase2_b0,4,S03_CONFIRM,2048,2048,2048,1,b0,C0_DEFAULT,0,80,80,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_b0_r4_S03_CONFIRM_p4_m2048_n2048_k2048_q1_b0_C0_DEFAULT/raw_global_samples.csv,6115.810500,6142.056000,6172.197900,6141.179837,17.224673,0.280478,3987.582650,4012.495000,4049.268050,4006.254500,4006.254500,2120.601500
phase2_b0_r5_S03_CONFIRM_p4_m2048_n2048_k2048_q1_b0_C0_DEFAULT,phase2_b0,5,S03_CONFIRM,2048,2048,2048,1,b0,C0_DEFAULT,0,80,80,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_b0_r5_S03_CONFIRM_p4_m2048_n2048_k2048_q1_b0_C0_DEFAULT/raw_global_samples.csv,6110.202950,6149.414000,6195.845450,6181.323825,275.351695,4.454575,3986.945300,4024.977500,4056.620000,4019.213500,4019.213500,2121.161000
phase2_b1_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q2_b1_C0_DEFAULT,phase2_b1,1,S03_CONFIRM,2048,2048,2048,2,b1,C0_DEFAULT,0,80,80,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_b1_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q2_b1_C0_DEFAULT/raw_global_samples.csv,6394.344950,6411.960000,6457.612900,6497.121350,427.901008,6.586009,5228.906100,5244.985500,5290.638850,2036.525500,5238.745500,4365.678500
phase2_b1_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q2_b1_C2_RING_SIMPLE_CH8,phase2_b1,1,S03_CONFIRM,2048,2048,2048,2,b1,C2_RING_SIMPLE_CH8,0,80,80,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_b1_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q2_b1_C2_RING_SIMPLE_CH8/raw_global_samples.csv,6325.236050,6348.363500,6373.800100,6349.427362,13.475921,0.212238,5162.574000,5181.949000,5200.580000,2003.807000,5175.789500,4331.516500
phase2_b1_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q8_b1_C0_DEFAULT,phase2_b1,1,S03_CONFIRM,2048,2048,2048,8,b1,C0_DEFAULT,0,80,80,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_b1_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q8_b1_C0_DEFAULT/raw_global_samples.csv,7785.587850,7800.362000,7859.717850,7857.146687,338.694431,4.310654,7360.211950,7373.826000,7414.222950,574.287500,7367.506000,7221.754000
phase2_b1_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q8_b1_C2_RING_SIMPLE_CH8,phase2_b1,1,S03_CONFIRM,2048,2048,2048,8,b1,C2_RING_SIMPLE_CH8,0,80,80,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_b1_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q8_b1_C2_RING_SIMPLE_CH8/raw_global_samples.csv,7748.629900,7766.764000,8577.879600,7854.803675,371.479855,4.729333,7320.356100,7340.228000,8151.198600,566.447500,7333.429000,7198.317000
phase2_b1_r2_S03_CONFIRM_p4_m2048_n2048_k2048_q2_b1_C0_DEFAULT,phase2_b1,2,S03_CONFIRM,2048,2048,2048,2,b1,C0_DEFAULT,0,80,80,/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_b1_r2_S03_CONFIRM_p4_m2048_n2048_k2048_q2_b1_C0_DEFAULT/raw_global_samples.csv,6396.079050,6418.678500,6450.861000,6450.189900,269.252380,4.174333,5236.625050,5254.264500,5289.566050,2044.125000,5248.184500,4364.954500
