path,candidate,M,N,K,q,slice_index,slice_bytes,sample_count,release_p05_us,release_p50_us,release_p95_us,gemm_start_p50_us,gemm_end_p50_us,gemm_duration_p50_us,consumer_wait_p50_us
B0_FULL_SERIAL,C0_DEFAULT,2048,2048,2048,1,0,16777216,400,3978.768050,4010.174000,4045.700950,4025.933500,6136.140500,2119.721000,16.159000
B1_SLICE_SERIAL,C0_DEFAULT,2048,2048,2048,2,0,8388608,400,2028.342000,2039.085000,2056.845000,2049.404500,3208.219500,1163.775000,10.240000
B1_SLICE_SERIAL,C0_DEFAULT,2048,2048,2048,2,1,8388608,400,5222.562050,5242.265000,5269.632050,5252.025500,6408.040000,1163.054500,9.920000
B1_SLICE_SERIAL,C0_DEFAULT,2048,2048,2048,8,0,2097152,400,559.008950,567.488000,583.839000,577.887500,996.664000,420.776000,10.240000
B1_SLICE_SERIAL,C0_DEFAULT,2048,2048,2048,8,1,2097152,400,1528.554000,1537.753500,1556.072000,1547.753500,1965.648500,419.017000,10.080000
B1_SLICE_SERIAL,C0_DEFAULT,2048,2048,2048,8,2,2097152,400,2497.623800,2507.698000,2527.074000,2517.938000,2937.115000,420.457000,10.080000
B1_SLICE_SERIAL,C0_DEFAULT,2048,2048,2048,8,3,2097152,400,3467.638000,3479.324500,3501.243000,3489.404000,3906.899500,418.856000,10.239000
B1_SLICE_SERIAL,C0_DEFAULT,2048,2048,2048,8,4,2097152,400,4436.870950,4449.110000,4472.236050,4459.109000,4877.965000,420.457000,10.239000
B1_SLICE_SERIAL,C0_DEFAULT,2048,2048,2048,8,5,2097152,400,5408.176000,5420.174500,5444.341050,5430.334500,5847.670500,418.857000,10.239000
B1_SLICE_SERIAL,C0_DEFAULT,2048,2048,2048,8,6,2097152,400,6377.881950,6390.200500,6416.527000,6400.601000,6819.616500,420.777000,10.240000
B1_SLICE_SERIAL,C0_DEFAULT,2048,2048,2048,8,7,2097152,400,7349.825900,7362.626500,7394.892300,7372.545500,7789.802500,418.376000,9.920000
B1_SLICE_SERIAL,C2_RING_SIMPLE_CH8,2048,2048,2048,2,0,8388608,400,1993.959050,2005.488000,2344.688050,2016.040000,3175.853500,1164.530500,10.399000
B1_SLICE_SERIAL,C2_RING_SIMPLE_CH8,2048,2048,2048,2,1,8388608,400,5155.710000,5175.549000,5512.676000,5185.548500,6342.364000,1164.414500,10.080000
B1_SLICE_SERIAL,C2_RING_SIMPLE_CH8,2048,2048,2048,8,0,2097152,400,553.249000,562.048500,580.424000,572.687500,991.704000,420.456000,10.399000
B1_SLICE_SERIAL,C2_RING_SIMPLE_CH8,2048,2048,2048,8,1,2097152,400,1516.395000,1528.234000,1553.897000,1538.313500,1956.530000,419.816000,10.080000
B1_SLICE_SERIAL,C2_RING_SIMPLE_CH8,2048,2048,2048,8,2,2097152,400,2480.821000,2492.420000,2522.827200,2502.499500,2922.076000,420.137000,10.239500
B1_SLICE_SERIAL,C2_RING_SIMPLE_CH8,2048,2048,2048,8,3,2097152,400,3446.845950,3458.845500,3495.148900,3469.325500,3888.261000,420.137000,10.240000
B1_SLICE_SERIAL,C2_RING_SIMPLE_CH8,2048,2048,2048,8,4,2097152,400,4411.903100,4425.671000,4509.954850,4435.910500,4854.606500,420.457000,10.240000
B1_SLICE_SERIAL,C2_RING_SIMPLE_CH8,2048,2048,2048,8,5,2097152,400,5377.770000,5392.016500,5548.008750,5402.257000,5820.474500,419.497000,10.399000
B1_SLICE_SERIAL,C2_RING_SIMPLE_CH8,2048,2048,2048,8,6,2097152,400,6343.475050,6358.202500,6514.505800,6368.362000,6787.938500,420.937000,10.399000
B1_SLICE_SERIAL,C2_RING_SIMPLE_CH8,2048,2048,2048,8,7,2097152,400,7310.951850,7326.308000,7482.242850,7336.227500,7754.284500,419.336500,10.079000
COMM_ONLY,C0_DEFAULT,2048,2048,2048,2,0,8388608,400,1978.601050,1985.008000,2004.887900,0.000000,0.000000,0.000000,-1985.008000
COMM_ONLY,C0_DEFAULT,2048,2048,2048,2,1,8388608,400,3949.210000,3957.378500,3991.328000,0.000000,0.000000,0.000000,-3957.378500
COMM_ONLY,C0_DEFAULT,2048,2048,2048,8,0,2097152,400,534.042000,536.610000,550.873000,0.000000,0.000000,0.000000,-536.610000
COMM_ONLY,C0_DEFAULT,2048,2048,2048,8,1,2097152,400,1057.221000,1060.261000,1082.820000,0.000000,0.000000,0.000000,-1060.261000
COMM_ONLY,C0_DEFAULT,2048,2048,2048,8,2,2097152,400,1579.591000,1583.991000,1610.974000,0.000000,0.000000,0.000000,-1583.991000
COMM_ONLY,C0_DEFAULT,2048,2048,2048,8,3,2097152,400,2102.445750,2106.922000,2140.604000,0.000000,0.000000,0.000000,-2106.922000
COMM_ONLY,C0_DEFAULT,2048,2048,2048,8,4,2097152,400,2625.284050,2630.092000,2671.442000,0.000000,0.000000,0.000000,-2630.092000
COMM_ONLY,C0_DEFAULT,2048,2048,2048,8,5,2097152,400,3147.815300,3153.582500,3202.061200,0.000000,0.000000,0.000000,-3153.582500
