case_id,path,family,candidate,M_local,N,K,q,rep,iterations,iteration_failures,status,t_release_first_max_us_p50,t_release_first_max_us_p05,t_release_first_max_us_p95,t_release_last_max_us_p50,t_release_last_max_us_p05,t_release_last_max_us_p95,t_done_max_us_p50,t_done_max_us_p05,t_done_max_us_p95,gemm_first_start_max_us_p50,gemm_first_start_max_us_p05,gemm_first_start_max_us_p95,gemm_last_end_max_us_p50,gemm_last_end_max_us_p05,gemm_last_end_max_us_p95,gemm_interval_max_us_p50,gemm_interval_max_us_p05,gemm_interval_max_us_p95,e2e_max_us_p50,e2e_max_us_p05,e2e_max_us_p95
case001_d0_C0_DEFAULT_N512_q2_rep1,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,2,1,80,0,PASS,11533.581,11327.970,11717.647,11533.581,11327.970,11717.647,11539.660,11334.209,11723.888,11549.819,11344.448,11733.966,12579.569,12372.138,12761.673,1027.386,1019.548,1076.341,12585.169,12377.578,12767.111
case002_d0_C0_DEFAULT_N512_q2_rep2,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,2,2,80,0,PASS,11543.671,11364.642,11759.019,11543.671,11364.642,11759.019,11549.832,11371.200,11764.939,11559.909,11381.440,11775.018,12586.895,12428.283,12815.917,1025.703,1020.263,1070.980,12592.414,12433.724,12821.196
case003_d0_C0_DEFAULT_N512_q2_rep3,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,2,3,80,0,PASS,11521.113,11345.925,11745.441,11521.113,11345.925,11745.441,11527.354,11352.004,11751.521,11537.353,11361.924,11761.600,12563.695,12391.143,12786.804,1025.622,1017.063,1064.742,12569.135,12396.743,12792.403
case004_d0_C0_DEFAULT_N512_q2_rep4,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,2,4,80,0,PASS,11522.792,11395.041,11737.121,11522.792,11395.041,11737.121,11528.873,11401.277,11743.201,11538.953,11411.041,11753.279,12570.016,12438.043,12769.841,1026.263,1021.542,1071.779,12575.456,12443.642,12775.281
case005_d0_C0_DEFAULT_N512_q2_rep5,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,2,5,80,0,PASS,11508.953,11389.600,11733.900,11508.953,11389.600,11733.900,11514.874,11396.160,11739.818,11525.194,11406.398,11749.579,12554.176,12433.083,12818.802,1026.421,1020.905,1074.501,12559.697,12438.523,12824.402
case006_dc_C0_DEFAULT_N512_q2_rep1,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,512,2048,2,1,80,0,PASS,5448.424,5386.427,5476.575,7451.023,7406.626,7502.140,7461.508,7416.706,7513.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7460.788,7415.586,7512.060
case007_dc_C0_DEFAULT_N512_q2_rep2,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,512,2048,2,2,80,0,PASS,5442.904,5399.706,5472.822,7443.023,7406.303,7488.073,7452.221,7414.783,7496.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7451.502,7413.663,7495.433
case008_dc_C0_DEFAULT_N512_q2_rep3,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,512,2048,2,3,80,0,PASS,5441.624,5396.187,5480.982,7450.061,7422.144,7581.347,7460.142,7433.024,7595.906,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7459.422,7431.744,7597.026
case009_dc_C0_DEFAULT_N512_q2_rep4,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,512,2048,2,4,80,0,PASS,5447.384,5413.466,5472.662,7451.581,7437.983,7482.620,7461.743,7448.382,7492.859,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7461.022,7447.102,7491.579
case010_dc_C0_DEFAULT_N512_q2_rep5,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,512,2048,2,5,80,0,PASS,5444.824,5404.826,5481.142,7451.109,7428.545,7502.618,7462.462,7438.795,7513.658,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7462.707,7439.915,7514.778
case011_d0_C0_DEFAULT_N512_q4_rep1,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,4,1,80,0,PASS,11518.712,11354.721,11663.685,11518.712,11354.721,11663.685,11524.792,11360.800,11669.925,11534.951,11370.880,11680.004,12566.106,12393.566,12710.968,1026.182,1019.143,1073.060,12571.546,12399.005,12716.408
case012_d0_C0_DEFAULT_N512_q4_rep2,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,4,2,80,0,PASS,11507.923,11351.041,11769.577,11507.923,11351.041,11769.577,11513.843,11356.961,11775.656,11523.843,11366.881,11785.736,12560.105,12394.186,12850.501,1025.701,1020.902,1069.219,12565.546,12399.786,12855.939
case013_d0_C0_DEFAULT_N512_q4_rep3,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,4,3,80,0,PASS,11518.474,11345.251,11792.108,11518.474,11345.251,11792.108,11524.412,11351.652,11797.896,11534.413,11362.055,11807.817,12570.096,12397.591,12835.892,1026.624,1021.186,1069.992,12575.698,12403.032,12841.333
case014_d0_C0_DEFAULT_N512_q4_rep4,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,4,4,80,0,PASS,11513.986,11341.831,11679.921,11513.986,11341.831,11679.921,11519.910,11347.754,11686.164,11529.914,11357.698,11696.249,12562.544,12383.733,12785.189,1027.095,1020.454,1065.912,12567.907,12389.656,12790.632
case015_d0_C0_DEFAULT_N512_q4_rep5,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,4,5,80,0,PASS,11500.752,11374.000,11692.586,11500.752,11374.000,11692.586,11506.915,11380.264,11698.508,11517.078,11390.347,11708.271,12546.800,12420.003,12735.377,1027.603,1021.500,1035.113,12552.402,12425.444,12740.979
case016_dc_C0_DEFAULT_N512_q4_rep1,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,512,2048,4,1,80,0,PASS,2661.855,2593.139,2686.894,7522.151,7315.909,7639.584,7530.950,7326.149,7645.824,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7529.750,7327.429,7647.104
case017_dc_C0_DEFAULT_N512_q4_rep2,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,512,2048,4,2,80,0,PASS,2669.455,2606.738,2717.132,7565.108,7393.824,9136.129,7573.508,7405.024,9146.848,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7573.108,7403.744,9145.568
case018_dc_C0_DEFAULT_N512_q4_rep3,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,512,2048,4,3,80,0,PASS,2666.495,2636.017,2697.933,7572.627,7453.023,7654.142,7583.026,7463.743,7664.381,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7581.907,7462.623,7663.101
case019_dc_C0_DEFAULT_N512_q4_rep4,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,512,2048,4,4,80,0,PASS,2664.815,2634.096,2695.217,7579.833,7460.394,7680.873,7589.992,7470.633,7690.792,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7589.992,7469.513,7692.072
case020_dc_C0_DEFAULT_N512_q4_rep5,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,512,2048,4,5,80,0,PASS,2672.814,2620.339,2724.652,7606.786,7449.353,8722.245,7616.706,7459.432,8732.484,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7615.985,7458.312,8731.205
case021_d0_C0_DEFAULT_N512_q8_rep1,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,8,1,80,0,PASS,11484.636,11363.680,11690.065,11484.636,11363.680,11690.065,11490.793,11369.920,11696.145,11500.715,11379.679,11706.064,12537.867,12404.604,12746.644,1025.863,1018.024,1070.020,12543.306,12410.044,12752.084
case022_d0_C0_DEFAULT_N512_q8_rep2,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,8,2,80,0,PASS,11513.673,11357.622,11708.803,11513.673,11357.622,11708.803,11520.003,11364.022,11714.722,11530.243,11374.261,11725.281,12562.813,12396.125,12755.604,1026.582,1020.903,1076.580,12568.333,12401.725,12761.205
case023_d0_C0_DEFAULT_N512_q8_rep3,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,8,3,80,0,PASS,11525.272,11351.683,11704.003,11525.272,11351.683,11704.003,11531.353,11357.604,11710.083,11541.672,11367.522,11720.002,12563.373,12393.382,12745.205,1026.022,1019.463,1066.022,12568.813,12398.822,12750.644
case024_d0_C0_DEFAULT_N512_q8_rep4,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,8,4,80,0,PASS,11519.673,11348.004,11730.860,11519.673,11348.004,11730.860,11525.833,11354.244,11737.101,11536.232,11364.644,11747.020,12571.853,12389.386,12776.403,1026.342,1019.463,1074.820,12577.453,12394.825,12782.003
case025_d0_C0_DEFAULT_N512_q8_rep5,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,8,5,80,0,PASS,11516.337,11372.278,11731.109,11516.337,11372.278,11731.109,11522.496,11378.198,11737.030,11532.576,11387.959,11748.230,12560.099,12415.679,12769.704,1027.236,1020.995,1066.276,12565.700,12420.959,12775.304
case026_dc_C0_DEFAULT_N512_q8_rep1,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,512,2048,8,1,80,0,PASS,1368.966,1187.774,9453.085,11756.229,7667.089,16355.240,11614.799,7675.409,16284.366,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11769.748,7678.768,16363.560
case027_dc_C0_DEFAULT_N512_q8_rep2,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,512,2048,8,2,80,0,PASS,1364.486,1182.813,7572.054,10300.870,7502.940,15651.759,10310.869,7511.419,15661.680,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10326.228,7512.699,15660.559
case028_dc_C0_DEFAULT_N512_q8_rep3,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,512,2048,8,3,80,0,PASS,1364.966,1188.095,9236.298,10989.221,7434.308,16463.074,11037.698,7443.268,16472.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11038.418,7445.348,16470.912
case029_dc_C0_DEFAULT_N512_q8_rep4,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,512,2048,8,4,80,0,PASS,1368.166,1208.732,5928.637,11560.710,7599.106,16577.148,11570.390,7608.706,16586.107,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11570.389,7607.586,16588.186
case030_dc_C0_DEFAULT_N512_q8_rep5,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,512,2048,8,5,80,0,PASS,1375.205,1183.776,6793.058,10637.401,7508.552,16333.510,10647.001,7517.831,16342.951,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10649.800,7518.951,16344.070
case031_d0_C0_DEFAULT_N2048_q2_rep1,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,2048,2048,2,1,80,0,PASS,11549.031,11358.401,11815.836,11549.031,11358.401,11815.836,11555.829,11363.841,11821.916,11565.749,11373.941,11831.996,14339.926,14148.164,14608.940,2766.803,2755.370,2783.044,14345.365,14153.764,14614.380
case032_d0_C0_DEFAULT_N2048_q2_rep2,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,2048,2048,2,2,80,0,PASS,11564.951,11368.961,11693.425,11564.951,11368.961,11693.425,11571.111,11375.041,11699.505,11581.350,11385.280,11709.584,14351.768,14155.047,14495.183,2769.845,2754.730,2786.723,14357.287,14160.646,14500.623
