candidate,N,q,path,family,reps,t_done_p50_us,e2e_p50_us,release_last_p50_us,e2e_p05_us,e2e_p95_us,release_gap_us,comm_compute_overlap_us,e2e_p50_stdev_us
C0_DEFAULT,512,2,D0_FCOLLECT_SERIAL,DUSHMEM,5,11528.873,12575.456,11522.792,12559.697,12592.414,1046.583,1046.583,11.541
C0_DEFAULT,512,2,DC_PUSHSIG_ONLY,DUSHMEM,5,7461.508,7460.788,7451.023,7451.502,7462.707,-0.721,-0.721,3.934
C0_DEFAULT,512,4,D0_FCOLLECT_SERIAL,DUSHMEM,5,11519.910,12567.907,11513.986,12552.402,12575.698,1047.997,1047.997,7.895
C0_DEFAULT,512,4,DC_PUSHSIG_ONLY,DUSHMEM,5,7583.026,7581.907,7572.627,7529.750,7615.985,-1.119,-1.119,28.121
C0_DEFAULT,512,8,D0_FCOLLECT_SERIAL,DUSHMEM,5,11522.496,12568.333,11516.337,12543.306,12577.453,1045.837,1045.837,11.415
C0_DEFAULT,512,8,DC_PUSHSIG_ONLY,DUSHMEM,5,11037.698,11038.418,10989.221,10326.228,11769.748,0.720,0.720,542.364
C0_DEFAULT,2048,2,D0_FCOLLECT_SERIAL,DUSHMEM,5,11555.829,14345.365,11549.272,14327.449,14360.878,2789.536,2789.536,12.582
C0_DEFAULT,2048,2,DC_PUSHSIG_ONLY,DUSHMEM,5,7487.207,7486.880,7476.702,7481.661,7488.620,-0.327,-0.327,2.734
C0_DEFAULT,2048,4,D0_FCOLLECT_SERIAL,DUSHMEM,5,11544.971,14332.968,11538.791,14314.968,14340.326,2787.997,2787.997,8.511
C0_DEFAULT,2048,4,DC_PUSHSIG_ONLY,DUSHMEM,5,7581.987,7580.868,7572.227,7575.560,7606.226,-1.119,-1.119,11.381
C0_DEFAULT,2048,8,D0_FCOLLECT_SERIAL,DUSHMEM,5,11560.549,14347.912,11554.710,14319.609,14353.686,2787.364,2787.364,14.694
C0_DEFAULT,2048,8,DC_PUSHSIG_ONLY,DUSHMEM,5,10839.952,11124.655,11114.416,10536.926,11414.397,284.703,284.703,317.014
C0_DEFAULT,2048,16,D0_FCOLLECT_SERIAL,DUSHMEM,5,11547.761,14339.047,11541.362,14326.500,14355.272,2791.287,2791.287,11.804
C0_DEFAULT,2048,16,DC_PUSHSIG_ONLY,DUSHMEM,5,14956.376,15182.426,15174.027,14908.285,15518.276,226.050,226.050,243.866
C0_DEFAULT,4096,2,D0_FCOLLECT_SERIAL,DUSHMEM,5,11588.055,18347.126,11581.894,18331.067,18399.043,6759.071,6759.071,23.276
C0_DEFAULT,4096,2,DC_PUSHSIG_ONLY,DUSHMEM,5,7483.020,7484.940,7472.387,7475.181,7492.386,1.919,1.919,5.838
C0_DEFAULT,4096,4,D0_FCOLLECT_SERIAL,DUSHMEM,5,11584.185,18335.866,11578.425,18325.294,18361.574,6751.681,6751.681,13.619
C0_DEFAULT,4096,4,DC_PUSHSIG_ONLY,DUSHMEM,5,7558.708,7557.189,7548.229,7487.185,7585.907,-1.520,-1.520,32.737
C0_DEFAULT,4096,8,D0_FCOLLECT_SERIAL,DUSHMEM,5,11574.560,18347.323,11568.081,18317.004,18365.386,6772.763,6772.763,19.868
C0_DEFAULT,4096,8,DC_PUSHSIG_ONLY,DUSHMEM,5,11361.280,11367.132,11357.052,10668.120,11913.900,5.852,5.852,407.321
