case_id,path,candidate,N,q,rep,slice_index,t_release_med_us,t_gemm_start_med_us,t_gemm_end_med_us,t_gemm_duration_med_us
case001_d0_C0_DEFAULT_N512_q2_rep1,D0_FCOLLECT_SERIAL,C0_DEFAULT,512,2,1,0,11533.6,11549.8,12579.6,1027.4
case002_d0_C0_DEFAULT_N512_q2_rep2,D0_FCOLLECT_SERIAL,C0_DEFAULT,512,2,2,0,11543.7,11559.9,12586.9,1025.7
case003_d0_C0_DEFAULT_N512_q2_rep3,D0_FCOLLECT_SERIAL,C0_DEFAULT,512,2,3,0,11521.1,11537.4,12563.7,1025.6
case004_d0_C0_DEFAULT_N512_q2_rep4,D0_FCOLLECT_SERIAL,C0_DEFAULT,512,2,4,0,11522.8,11539.0,12570.0,1026.3
case005_d0_C0_DEFAULT_N512_q2_rep5,D0_FCOLLECT_SERIAL,C0_DEFAULT,512,2,5,0,11509.0,11525.2,12554.2,1026.4
case006_dc_C0_DEFAULT_N512_q2_rep1,DC_PUSHSIG_ONLY,C0_DEFAULT,512,2,1,0,5448.4,0.0,0.0,0.0
case006_dc_C0_DEFAULT_N512_q2_rep1,DC_PUSHSIG_ONLY,C0_DEFAULT,512,2,1,1,7451.0,0.0,0.0,0.0
case007_dc_C0_DEFAULT_N512_q2_rep2,DC_PUSHSIG_ONLY,C0_DEFAULT,512,2,2,0,5442.9,0.0,0.0,0.0
case007_dc_C0_DEFAULT_N512_q2_rep2,DC_PUSHSIG_ONLY,C0_DEFAULT,512,2,2,1,7443.0,0.0,0.0,0.0
case008_dc_C0_DEFAULT_N512_q2_rep3,DC_PUSHSIG_ONLY,C0_DEFAULT,512,2,3,0,5441.6,0.0,0.0,0.0
case008_dc_C0_DEFAULT_N512_q2_rep3,DC_PUSHSIG_ONLY,C0_DEFAULT,512,2,3,1,7450.1,0.0,0.0,0.0
case009_dc_C0_DEFAULT_N512_q2_rep4,DC_PUSHSIG_ONLY,C0_DEFAULT,512,2,4,0,5447.4,0.0,0.0,0.0
case009_dc_C0_DEFAULT_N512_q2_rep4,DC_PUSHSIG_ONLY,C0_DEFAULT,512,2,4,1,7451.6,0.0,0.0,0.0
case010_dc_C0_DEFAULT_N512_q2_rep5,DC_PUSHSIG_ONLY,C0_DEFAULT,512,2,5,0,5444.8,0.0,0.0,0.0
case010_dc_C0_DEFAULT_N512_q2_rep5,DC_PUSHSIG_ONLY,C0_DEFAULT,512,2,5,1,7451.1,0.0,0.0,0.0
case011_d0_C0_DEFAULT_N512_q4_rep1,D0_FCOLLECT_SERIAL,C0_DEFAULT,512,4,1,0,11518.7,11535.0,12566.1,1026.2
case012_d0_C0_DEFAULT_N512_q4_rep2,D0_FCOLLECT_SERIAL,C0_DEFAULT,512,4,2,0,11507.9,11523.8,12560.1,1025.7
case013_d0_C0_DEFAULT_N512_q4_rep3,D0_FCOLLECT_SERIAL,C0_DEFAULT,512,4,3,0,11518.5,11534.4,12570.1,1026.6
case014_d0_C0_DEFAULT_N512_q4_rep4,D0_FCOLLECT_SERIAL,C0_DEFAULT,512,4,4,0,11514.0,11529.9,12562.5,1027.1
case015_d0_C0_DEFAULT_N512_q4_rep5,D0_FCOLLECT_SERIAL,C0_DEFAULT,512,4,5,0,11500.8,11517.1,12546.8,1027.6
case016_dc_C0_DEFAULT_N512_q4_rep1,DC_PUSHSIG_ONLY,C0_DEFAULT,512,4,1,0,2661.9,0.0,0.0,0.0
case016_dc_C0_DEFAULT_N512_q4_rep1,DC_PUSHSIG_ONLY,C0_DEFAULT,512,4,1,1,3757.9,0.0,0.0,0.0
case016_dc_C0_DEFAULT_N512_q4_rep1,DC_PUSHSIG_ONLY,C0_DEFAULT,512,4,1,2,6448.0,0.0,0.0,0.0
case016_dc_C0_DEFAULT_N512_q4_rep1,DC_PUSHSIG_ONLY,C0_DEFAULT,512,4,1,3,7522.2,0.0,0.0,0.0
case017_dc_C0_DEFAULT_N512_q4_rep2,DC_PUSHSIG_ONLY,C0_DEFAULT,512,4,2,0,2669.5,0.0,0.0,0.0
case017_dc_C0_DEFAULT_N512_q4_rep2,DC_PUSHSIG_ONLY,C0_DEFAULT,512,4,2,1,3760.1,0.0,0.0,0.0
case017_dc_C0_DEFAULT_N512_q4_rep2,DC_PUSHSIG_ONLY,C0_DEFAULT,512,4,2,2,6493.0,0.0,0.0,0.0
case017_dc_C0_DEFAULT_N512_q4_rep2,DC_PUSHSIG_ONLY,C0_DEFAULT,512,4,2,3,7565.1,0.0,0.0,0.0
case018_dc_C0_DEFAULT_N512_q4_rep3,DC_PUSHSIG_ONLY,C0_DEFAULT,512,4,3,0,2666.5,0.0,0.0,0.0
case018_dc_C0_DEFAULT_N512_q4_rep3,DC_PUSHSIG_ONLY,C0_DEFAULT,512,4,3,1,3755.8,0.0,0.0,0.0
case018_dc_C0_DEFAULT_N512_q4_rep3,DC_PUSHSIG_ONLY,C0_DEFAULT,512,4,3,2,6498.4,0.0,0.0,0.0
case018_dc_C0_DEFAULT_N512_q4_rep3,DC_PUSHSIG_ONLY,C0_DEFAULT,512,4,3,3,7572.6,0.0,0.0,0.0
case019_dc_C0_DEFAULT_N512_q4_rep4,DC_PUSHSIG_ONLY,C0_DEFAULT,512,4,4,0,2664.8,0.0,0.0,0.0
case019_dc_C0_DEFAULT_N512_q4_rep4,DC_PUSHSIG_ONLY,C0_DEFAULT,512,4,4,1,3758.4,0.0,0.0,0.0
case019_dc_C0_DEFAULT_N512_q4_rep4,DC_PUSHSIG_ONLY,C0_DEFAULT,512,4,4,2,6499.9,0.0,0.0,0.0
case019_dc_C0_DEFAULT_N512_q4_rep4,DC_PUSHSIG_ONLY,C0_DEFAULT,512,4,4,3,7579.8,0.0,0.0,0.0
case020_dc_C0_DEFAULT_N512_q4_rep5,DC_PUSHSIG_ONLY,C0_DEFAULT,512,4,5,0,2672.8,0.0,0.0,0.0
case020_dc_C0_DEFAULT_N512_q4_rep5,DC_PUSHSIG_ONLY,C0_DEFAULT,512,4,5,1,3762.9,0.0,0.0,0.0
case020_dc_C0_DEFAULT_N512_q4_rep5,DC_PUSHSIG_ONLY,C0_DEFAULT,512,4,5,2,6528.4,0.0,0.0,0.0
case020_dc_C0_DEFAULT_N512_q4_rep5,DC_PUSHSIG_ONLY,C0_DEFAULT,512,4,5,3,7606.8,0.0,0.0,0.0
case021_d0_C0_DEFAULT_N512_q8_rep1,D0_FCOLLECT_SERIAL,C0_DEFAULT,512,8,1,0,11484.6,11500.7,12537.9,1025.9
case022_d0_C0_DEFAULT_N512_q8_rep2,D0_FCOLLECT_SERIAL,C0_DEFAULT,512,8,2,0,11513.7,11530.2,12562.8,1026.6
case023_d0_C0_DEFAULT_N512_q8_rep3,D0_FCOLLECT_SERIAL,C0_DEFAULT,512,8,3,0,11525.3,11541.7,12563.4,1026.0
case024_d0_C0_DEFAULT_N512_q8_rep4,D0_FCOLLECT_SERIAL,C0_DEFAULT,512,8,4,0,11519.7,11536.2,12571.9,1026.3
case025_d0_C0_DEFAULT_N512_q8_rep5,D0_FCOLLECT_SERIAL,C0_DEFAULT,512,8,5,0,11516.3,11532.6,12560.1,1027.2
case026_dc_C0_DEFAULT_N512_q8_rep1,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,1,0,1369.0,0.0,0.0,0.0
case026_dc_C0_DEFAULT_N512_q8_rep1,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,1,1,1960.5,0.0,0.0,0.0
case026_dc_C0_DEFAULT_N512_q8_rep1,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,1,2,3350.9,0.0,0.0,0.0
case026_dc_C0_DEFAULT_N512_q8_rep1,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,1,3,3949.2,0.0,0.0,0.0
case026_dc_C0_DEFAULT_N512_q8_rep1,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,1,4,5343.5,0.0,0.0,0.0
case026_dc_C0_DEFAULT_N512_q8_rep1,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,1,5,6892.0,0.0,0.0,0.0
case026_dc_C0_DEFAULT_N512_q8_rep1,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,1,6,9270.3,0.0,0.0,0.0
case026_dc_C0_DEFAULT_N512_q8_rep1,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,1,7,11756.2,0.0,0.0,0.0
case027_dc_C0_DEFAULT_N512_q8_rep2,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,2,0,1364.5,0.0,0.0,0.0
case027_dc_C0_DEFAULT_N512_q8_rep2,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,2,1,2127.4,0.0,0.0,0.0
case027_dc_C0_DEFAULT_N512_q8_rep2,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,2,2,3793.2,0.0,0.0,0.0
case027_dc_C0_DEFAULT_N512_q8_rep2,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,2,3,6943.7,0.0,0.0,0.0
case027_dc_C0_DEFAULT_N512_q8_rep2,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,2,4,7840.7,0.0,0.0,0.0
case027_dc_C0_DEFAULT_N512_q8_rep2,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,2,5,8533.4,0.0,0.0,0.0
case027_dc_C0_DEFAULT_N512_q8_rep2,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,2,6,9208.0,0.0,0.0,0.0
case027_dc_C0_DEFAULT_N512_q8_rep2,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,2,7,10300.9,0.0,0.0,0.0
case028_dc_C0_DEFAULT_N512_q8_rep3,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,3,0,1365.0,0.0,0.0,0.0
case028_dc_C0_DEFAULT_N512_q8_rep3,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,3,1,1966.7,0.0,0.0,0.0
case028_dc_C0_DEFAULT_N512_q8_rep3,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,3,2,3312.4,0.0,0.0,0.0
case028_dc_C0_DEFAULT_N512_q8_rep3,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,3,3,4133.5,0.0,0.0,0.0
case028_dc_C0_DEFAULT_N512_q8_rep3,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,3,4,5322.1,0.0,0.0,0.0
case028_dc_C0_DEFAULT_N512_q8_rep3,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,3,5,6403.8,0.0,0.0,0.0
case028_dc_C0_DEFAULT_N512_q8_rep3,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,3,6,8368.3,0.0,0.0,0.0
case028_dc_C0_DEFAULT_N512_q8_rep3,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,3,7,10989.2,0.0,0.0,0.0
case029_dc_C0_DEFAULT_N512_q8_rep4,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,4,0,1368.2,0.0,0.0,0.0
case029_dc_C0_DEFAULT_N512_q8_rep4,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,4,1,1961.3,0.0,0.0,0.0
case029_dc_C0_DEFAULT_N512_q8_rep4,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,4,2,3358.6,0.0,0.0,0.0
case029_dc_C0_DEFAULT_N512_q8_rep4,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,4,3,3979.9,0.0,0.0,0.0
case029_dc_C0_DEFAULT_N512_q8_rep4,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,4,4,5350.8,0.0,0.0,0.0
case029_dc_C0_DEFAULT_N512_q8_rep4,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,4,5,7811.9,0.0,0.0,0.0
case029_dc_C0_DEFAULT_N512_q8_rep4,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,4,6,9005.1,0.0,0.0,0.0
case029_dc_C0_DEFAULT_N512_q8_rep4,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,4,7,11560.7,0.0,0.0,0.0
case030_dc_C0_DEFAULT_N512_q8_rep5,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,5,0,1375.2,0.0,0.0,0.0
case030_dc_C0_DEFAULT_N512_q8_rep5,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,5,1,1967.3,0.0,0.0,0.0
case030_dc_C0_DEFAULT_N512_q8_rep5,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,5,2,3351.5,0.0,0.0,0.0
case030_dc_C0_DEFAULT_N512_q8_rep5,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,5,3,4034.8,0.0,0.0,0.0
case030_dc_C0_DEFAULT_N512_q8_rep5,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,5,4,5351.9,0.0,0.0,0.0
case030_dc_C0_DEFAULT_N512_q8_rep5,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,5,5,6359.7,0.0,0.0,0.0
case030_dc_C0_DEFAULT_N512_q8_rep5,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,5,6,8341.7,0.0,0.0,0.0
case030_dc_C0_DEFAULT_N512_q8_rep5,DC_PUSHSIG_ONLY,C0_DEFAULT,512,8,5,7,10637.4,0.0,0.0,0.0
case031_d0_C0_DEFAULT_N2048_q2_rep1,D0_FCOLLECT_SERIAL,C0_DEFAULT,2048,2,1,0,11549.0,11565.7,14339.9,2766.8
case032_d0_C0_DEFAULT_N2048_q2_rep2,D0_FCOLLECT_SERIAL,C0_DEFAULT,2048,2,2,0,11565.0,11581.4,14351.8,2769.8
case033_d0_C0_DEFAULT_N2048_q2_rep3,D0_FCOLLECT_SERIAL,C0_DEFAULT,2048,2,3,0,11548.7,11565.4,14321.9,2766.0
case034_d0_C0_DEFAULT_N2048_q2_rep4,D0_FCOLLECT_SERIAL,C0_DEFAULT,2048,2,4,0,11570.8,11587.0,14355.3,2767.4
