candidate,N,q,isolated_winner_path,isolated_runner_up,isolated_gap_pct,e2e_winner_path,e2e_runner_up,e2e_gap_pct,isolated_winner_family,e2e_winner_family,isolated_best_us,e2e_best_us,reversal_flag,notes
C0_DEFAULT,512,2,DC_PUSHSIG_ONLY,,,D0_FCOLLECT_SERIAL,,,DUSHMEM,DUSHMEM,7461.508,12575.456,CONSISTENT,
C0_DEFAULT,512,4,DC_PUSHSIG_ONLY,,,D0_FCOLLECT_SERIAL,,,DUSHMEM,DUSHMEM,7583.026,12567.907,CONSISTENT,
C0_DEFAULT,512,8,DC_PUSHSIG_ONLY,,,D0_FCOLLECT_SERIAL,,,DUSHMEM,DUSHMEM,11037.698,12568.333,CONSISTENT,
C0_DEFAULT,2048,2,DC_PUSHSIG_ONLY,,,D0_FCOLLECT_SERIAL,,,DUSHMEM,DUSHMEM,7487.207,14345.365,CONSISTENT,
C0_DEFAULT,2048,4,DC_PUSHSIG_ONLY,,,D0_FCOLLECT_SERIAL,,,DUSHMEM,DUSHMEM,7581.987,14332.968,CONSISTENT,
C0_DEFAULT,2048,8,DC_PUSHSIG_ONLY,,,D0_FCOLLECT_SERIAL,,,DUSHMEM,DUSHMEM,10839.952,14347.912,CONSISTENT,
C0_DEFAULT,2048,16,DC_PUSHSIG_ONLY,,,D0_FCOLLECT_SERIAL,,,DUSHMEM,DUSHMEM,14956.376,14339.047,CONSISTENT,
C0_DEFAULT,4096,2,DC_PUSHSIG_ONLY,,,D0_FCOLLECT_SERIAL,,,DUSHMEM,DUSHMEM,7483.020,18347.126,CONSISTENT,
C0_DEFAULT,4096,4,DC_PUSHSIG_ONLY,,,D0_FCOLLECT_SERIAL,,,DUSHMEM,DUSHMEM,7558.708,18335.866,CONSISTENT,
C0_DEFAULT,4096,8,DC_PUSHSIG_ONLY,,,D0_FCOLLECT_SERIAL,,,DUSHMEM,DUSHMEM,11361.280,18347.323,CONSISTENT,
