case_id,path,family,candidate,M_local,N,K,q,rep,iterations,iteration_failures,status,t_release_first_max_us_p50,t_release_first_max_us_p05,t_release_first_max_us_p95,t_release_last_max_us_p50,t_release_last_max_us_p05,t_release_last_max_us_p95,t_done_max_us_p50,t_done_max_us_p05,t_done_max_us_p95,gemm_first_start_max_us_p50,gemm_first_start_max_us_p05,gemm_first_start_max_us_p95,gemm_last_end_max_us_p50,gemm_last_end_max_us_p05,gemm_last_end_max_us_p95,gemm_interval_max_us_p50,gemm_interval_max_us_p05,gemm_interval_max_us_p95,e2e_max_us_p50,e2e_max_us_p05,e2e_max_us_p95
case001_ds_C0_DEFAULT_N512_q2_rep1,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,2,1,80,0,PASS,4336.884,4301.045,4368.402,8161.794,8112.678,8205.312,8790.561,8732.164,8852.957,4342.484,4306.485,4374.001,8723.685,8665.608,8767.362,4769.811,4676.856,4800.369,8791.521,8733.124,8851.997
case002_ds_C0_DEFAULT_N512_q2_rep2,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,2,2,80,0,PASS,4336.324,4281.367,4359.443,8185.874,8128.039,8231.698,8824.240,8774.562,8877.262,4341.843,4286.806,4364.883,8755.996,8707.526,8811.345,4777.731,4700.375,4804.850,8825.200,8776.962,8878.223
case003_ds_C0_DEFAULT_N512_q2_rep3,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,2,3,80,0,PASS,4330.565,4300.887,4354.963,8174.828,8125.958,8230.737,8813.841,8771.523,8878.075,4336.004,4306.326,4360.403,8745.204,8701.445,8796.001,4773.572,4730.454,4810.289,8815.273,8772.644,8879.996
case004_ds_C0_DEFAULT_N512_q2_rep4,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,2,4,80,0,PASS,4331.765,4308.406,4350.482,8182.833,8143.876,8220.032,8831.512,8778.402,8886.876,4337.284,4313.845,4355.922,8763.043,8712.645,8820.640,4767.812,4725.814,4801.329,8832.472,8779.361,8887.837
case005_ds_C0_DEFAULT_N512_q2_rep5,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,2,5,80,0,PASS,4337.524,4313.046,4360.403,8187.715,8137.957,8252.671,8821.680,8776.643,8893.596,4343.124,4318.485,4366.003,8754.004,8711.046,8828.479,4778.771,4725.494,4810.450,8823.200,8777.604,8895.517
case006_d1_C0_DEFAULT_N512_q2_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,2,1,80,0,PASS,4332.644,4290.166,4375.602,8161.236,8111.237,8609.930,8795.121,8740.964,10301.839,4338.164,4295.766,4382.482,8728.085,8674.408,10241.042,4767.092,4688.538,4825.968,8796.401,8741.924,10301.679
case007_d1_C0_DEFAULT_N512_q2_rep2,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,2,2,80,0,PASS,4333.364,4310.965,4360.243,8159.956,8127.238,8273.630,8794.961,8748.483,8901.756,4338.884,4316.405,4365.843,8728.886,8677.288,8834.880,4768.211,4741.333,4819.728,8796.482,8750.404,8902.876
case008_d1_C0_DEFAULT_N512_q2_rep3,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,2,3,80,0,PASS,4340.484,4314.965,4365.523,8162.917,8118.118,8224.833,8797.281,8746.403,8978.054,4346.324,4320.564,4371.602,8730.805,8680.968,8874.540,4780.051,4746.773,4823.569,8799.361,8747.524,8980.613
case009_d1_C0_DEFAULT_N512_q2_rep4,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,2,4,80,0,PASS,4337.826,4281.497,5616.244,8186.641,8125.963,9423.086,8818.420,8752.144,10914.615,4343.346,4287.098,5621.845,8752.200,8683.173,9980.134,4768.740,4686.785,4825.713,8819.337,8753.105,10915.896
case010_d1_C0_DEFAULT_N512_q2_rep5,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,2,5,80,0,PASS,4334.730,4304.157,4377.950,8174.761,8130.501,10245.842,8813.437,8760.541,10881.325,4340.333,4309.759,4383.392,8741.725,8695.392,10815.856,4771.956,4713.290,6437.094,8815.037,8761.660,10883.246
