candidate,N,q,path,family,reps,t_done_p50_us,e2e_p50_us,release_last_p50_us,e2e_p05_us,e2e_p95_us,release_gap_us,comm_compute_overlap_us,e2e_p50_stdev_us
C0_DEFAULT,512,2,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,8822.879,8823.840,8182.355,8813.689,8841.352,0.960,0.960,10.575
C0_DEFAULT,512,2,D1_PUSHSIG_OVERLAP,DUSHMEM,5,8797.281,8799.361,8162.917,8796.401,8819.337,2.081,2.081,9.839
C0_DEFAULT,512,2,DS_PUSHSIG_SERIAL,DUSHMEM,5,8821.680,8823.200,8182.833,8791.521,8832.472,1.520,1.520,14.113
C0_DEFAULT,512,4,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,9177.493,9175.333,8808.719,9053.811,9339.795,-2.159,-2.159,106.350
C0_DEFAULT,512,4,D1_PUSHSIG_OVERLAP,DUSHMEM,5,9096.800,9096.640,8729.171,8889.341,9390.812,-0.160,-0.160,164.014
C0_DEFAULT,512,4,DS_PUSHSIG_SERIAL,DUSHMEM,5,9116.784,9116.784,8779.123,9010.533,9286.766,0.000,0.000,89.895
C0_DEFAULT,512,8,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,17853.158,17853.237,17473.338,17718.455,18111.862,0.079,0.079,134.286
C0_DEFAULT,512,8,D1_PUSHSIG_OVERLAP,DUSHMEM,5,17595.251,17598.290,17192.634,17239.526,17816.037,3.039,3.039,224.536
C0_DEFAULT,512,8,DS_PUSHSIG_SERIAL,DUSHMEM,5,17785.175,17785.176,17419.670,17665.342,18074.921,0.001,0.001,136.019
C0_DEFAULT,2048,2,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,10214.064,10215.264,8698.711,10197.516,10247.673,1.200,1.200,16.414
C0_DEFAULT,2048,2,D1_PUSHSIG_OVERLAP,DUSHMEM,5,10210.547,10212.066,8698.159,10185.605,10218.785,1.519,1.519,11.666
C0_DEFAULT,2048,2,DS_PUSHSIG_SERIAL,DUSHMEM,5,10217.603,10218.645,8703.191,10193.439,10226.475,1.042,1.042,13.851
C0_DEFAULT,2048,4,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,10333.660,10335.500,9506.985,10311.442,10363.897,1.840,1.840,17.238
C0_DEFAULT,2048,4,D1_PUSHSIG_OVERLAP,DUSHMEM,5,10305.599,10306.640,9482.685,10262.624,10308.941,1.041,1.041,17.998
