case_id,path,family,candidate,N,q,rep,iterations,release_first_med_us,release_last_med_us,release_pacing_med_us,release_to_gemm_delay_med_us,gemm_dur_med_us
case001_ds_C0_DEFAULT_N512_q2_rep1,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,512,2,1,80,4336.9,8161.8,3824.8,5.6,577.5
case002_ds_C0_DEFAULT_N512_q2_rep2,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,512,2,2,80,4336.3,8185.9,3852.4,5.6,581.2
case003_ds_C0_DEFAULT_N512_q2_rep3,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,512,2,3,80,4330.6,8174.8,3845.6,5.6,582.3
case004_ds_C0_DEFAULT_N512_q2_rep4,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,512,2,4,80,4331.8,8182.8,3852.0,5.4,581.2
case005_ds_C0_DEFAULT_N512_q2_rep5,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,512,2,5,80,4337.5,8187.7,3847.3,5.4,580.4
case006_d1_C0_DEFAULT_N512_q2_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,512,2,1,80,4332.6,8161.2,3828.6,5.6,582.3
case007_d1_C0_DEFAULT_N512_q2_rep2,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,512,2,2,80,4333.4,8160.0,3824.4,5.6,578.3
case008_d1_C0_DEFAULT_N512_q2_rep3,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,512,2,3,80,4340.5,8162.9,3820.6,5.6,583.6
case009_d1_C0_DEFAULT_N512_q2_rep4,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,512,2,4,80,4337.8,8186.6,3853.2,5.6,581.8
case010_d1_C0_DEFAULT_N512_q2_rep5,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,512,2,5,80,4334.7,8174.8,3838.5,5.4,582.9
case011_d1w_C0_DEFAULT_N512_q2_rep1,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,512,2,1,80,4331.5,8165.0,3838.8,19.7,575.9
case012_d1w_C0_DEFAULT_N512_q2_rep2,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,512,2,2,80,4326.5,8178.8,3855.4,19.5,576.0
case013_d1w_C0_DEFAULT_N512_q2_rep3,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,512,2,3,80,4324.2,8198.8,3877.4,19.0,573.9
case014_d1w_C0_DEFAULT_N512_q2_rep4,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,512,2,4,80,4333.5,8200.2,3867.5,19.0,575.1
case015_d1w_C0_DEFAULT_N512_q2_rep5,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,512,2,5,80,4323.3,8182.4,3858.8,20.2,580.3
case016_ds_C0_DEFAULT_N512_q4_rep1,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,512,4,1,80,2162.2,8679.8,2078.2,5.6,320.1
case017_ds_C0_DEFAULT_N512_q4_rep2,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,512,4,2,80,2161.5,8802.6,2061.9,5.6,320.3
case018_ds_C0_DEFAULT_N512_q4_rep3,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,512,4,3,80,2157.5,8779.1,2085.9,5.6,324.4
case019_ds_C0_DEFAULT_N512_q4_rep4,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,512,4,4,80,2160.8,8889.5,2067.7,5.6,320.1
