N,q,isolated_ranking_top3,isolated_winner_label,isolated_best_us,e2e_ranking_top3,e2e_winner_label,e2e_best_us,iso_winner_family,e2e_winner_family,substrate_reversal_flag,comm_C2_vs_C0_iso_pct,r1_C2_vs_C0_e2e_pct,rccl_config_flag
512,2,comm_only_c2_ring_simple_ch8:3893 < comm_only_c0_default:4008 < dc_pushsig_only_c0_default:7460,comm_only_c2_ring_simple_ch8,3892.501,r1_event_overlap_c2_ring_simple_ch8:4537 < r1_event_overlap_c0_default:4784 < r0_full_serial_c0_default:5100,r1_event_overlap_c2_ring_simple_ch8,4536.626,RCCL,RCCL,CONSISTENT,2.878,5.167,CONSISTENT
512,4,comm_only_c2_ring_simple_ch8:3986 < comm_only_c0_default:4073 < dc_pushsig_only_c0_default:7582,comm_only_c2_ring_simple_ch8,3985.617,r1_event_overlap_c2_ring_simple_ch8:4477 < r1_event_overlap_c0_default:4553 < r0_full_serial_c0_default:5100,r1_event_overlap_c2_ring_simple_ch8,4476.549,RCCL,RCCL,CONSISTENT,2.143,1.685,CONSISTENT
512,8,comm_only_c2_ring_simple_ch8:4157 < comm_only_c0_default:4226 < dc_pushsig_only_c0_default:11109,comm_only_c2_ring_simple_ch8,4157.367,r1_event_overlap_c2_ring_simple_ch8:4682 < r1_event_overlap_c0_default:4692 < r0_full_serial_c0_default:5098,r1_event_overlap_c2_ring_simple_ch8,4681.898,RCCL,RCCL,CONSISTENT,1.635,0.220,CONSISTENT
2048,2,comm_only_c2_ring_simple_ch8:3899 < comm_only_c0_default:4019 < dc_pushsig_only_c0_default:7479,comm_only_c2_ring_simple_ch8,3898.821,r1_event_overlap_c2_ring_simple_ch8:5743 < r1_event_overlap_c0_default:6087 < r0_full_serial_c0_default:6848,r1_event_overlap_c2_ring_simple_ch8,5742.637,RCCL,RCCL,CONSISTENT,2.980,5.654,CONSISTENT
2048,4,comm_only_c2_ring_simple_ch8:3993 < comm_only_c0_default:4079 < dc_pushsig_only_c0_default:7588,comm_only_c2_ring_simple_ch8,3993.056,r1_event_overlap_c2_ring_simple_ch8:5035 < r1_event_overlap_c0_default:5122 < r0_full_serial_c0_default:6846,r1_event_overlap_c2_ring_simple_ch8,5035.478,RCCL,RCCL,CONSISTENT,2.118,1.692,CONSISTENT
2048,8,comm_only_c2_ring_simple_ch8:4164 < comm_only_c0_default:4234 < dc_pushsig_only_c0_default:10486,comm_only_c2_ring_simple_ch8,4163.527,r1_event_overlap_c0_default:5400 < r1_event_overlap_c2_ring_simple_ch8:5697 < r0_full_serial_c0_default:6846,r1_event_overlap_c0_default,5400.203,RCCL,RCCL,CONSISTENT,1.654,-5.494,RCCL_CONFIG_REVERSAL
2048,16,comm_only_c2_ring_simple_ch8:4519 < comm_only_c0_default:4552 < dc_pushsig_only_c0_default:14925,comm_only_c2_ring_simple_ch8,4519.034,r1_event_overlap_c0_default:5831 < r1_event_overlap_c2_ring_simple_ch8:6144 < rs_slice_serial_c0_default:8339,r1_event_overlap_c0_default,5830.553,RCCL,RCCL,CONSISTENT,0.729,-5.371,CONSISTENT
4096,2,comm_only_c2_ring_simple_ch8:3900 < comm_only_c0_default:4027 < dc_pushsig_only_c0_default:7490,comm_only_c2_ring_simple_ch8,3900.101,r1_event_overlap_c2_ring_simple_ch8:8438 < r1_event_overlap_c0_default:8799 < r0_full_serial_c0_default:10829,r1_event_overlap_c2_ring_simple_ch8,8438.165,RCCL,RCCL,CONSISTENT,3.153,4.099,CONSISTENT
4096,4,comm_only_c2_ring_simple_ch8:3996 < comm_only_c0_default:4083 < dc_pushsig_only_c0_default:7564,comm_only_c2_ring_simple_ch8,3995.651,r1_event_overlap_c2_ring_simple_ch8:8262 < r1_event_overlap_c0_default:8273 < rs_slice_serial_c0_default:9772,r1_event_overlap_c2_ring_simple_ch8,8262.423,RCCL,RCCL,CONSISTENT,2.129,0.127,CONSISTENT
4096,8,comm_only_c2_ring_simple_ch8:4166 < comm_only_c0_default:4238 < dc_pushsig_only_c0_default:11110,comm_only_c2_ring_simple_ch8,4165.526,r1_event_overlap_c2_ring_simple_ch8:8618 < r1_event_overlap_c0_default:8773 < r0_full_serial_c0_default:10827,r1_event_overlap_c2_ring_simple_ch8,8617.604,RCCL,RCCL,CONSISTENT,1.721,1.768,CONSISTENT
