case_id,path,family,candidate,M_local,N,K,q,rep,iterations,iteration_failures,status,t_release_first_max_us_p50,t_release_first_max_us_p05,t_release_first_max_us_p95,t_release_last_max_us_p50,t_release_last_max_us_p05,t_release_last_max_us_p95,t_done_max_us_p50,t_done_max_us_p05,t_done_max_us_p95,gemm_first_start_max_us_p50,gemm_first_start_max_us_p05,gemm_first_start_max_us_p95,gemm_last_end_max_us_p50,gemm_last_end_max_us_p05,gemm_last_end_max_us_p95,gemm_interval_max_us_p50,gemm_interval_max_us_p05,gemm_interval_max_us_p95,e2e_max_us_p50,e2e_max_us_p05,e2e_max_us_p95
case001_comm_C0_DEFAULT_N512_q2_rep1,COMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,1,80,0,PASS,2006.767,1998.448,2019.247,4002.735,3994.497,4021.855,4008.334,4000.095,4027.454,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4013.774,4005.536,4033.214
case002_comm_C0_DEFAULT_N512_q2_rep2,COMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,2,80,0,PASS,2008.287,2002.607,2014.607,4005.775,3998.656,4016.575,4011.294,4004.255,4022.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4016.814,4009.695,4027.614
case003_comm_C0_DEFAULT_N512_q2_rep3,COMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,3,80,0,PASS,2004.287,1998.448,2047.725,4000.016,3994.016,4073.531,4005.535,3999.456,4078.971,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4011.295,4004.895,4084.410
case004_comm_C0_DEFAULT_N512_q2_rep4,COMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,4,80,0,PASS,2002.530,1996.048,2009.646,3998.019,3991.616,4007.135,4003.618,3997.056,4013.055,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4009.215,4002.656,4018.494
case005_comm_C0_DEFAULT_N512_q2_rep5,COMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,5,80,0,PASS,2006.930,1999.407,2014.607,4002.335,3993.855,4013.215,4007.855,3999.295,4018.655,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4013.375,4004.735,4024.094
case006_comm_C2_RING_SIMPLE_CH8_N512_q2_rep1,COMM_ONLY,RCCL,C2_RING_SIMPLE_CH8,2048,512,2048,2,1,80,0,PASS,1949.731,1941.491,1958.450,3888.741,3880.742,3907.620,3894.261,3886.341,3913.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3899.700,3892.101,3918.659
case007_comm_C2_RING_SIMPLE_CH8_N512_q2_rep2,COMM_ONLY,RCCL,C2_RING_SIMPLE_CH8,2048,512,2048,2,2,80,0,PASS,1947.485,1942.363,1957.731,3886.733,3880.720,3900.734,3892.174,3886.320,3906.174,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3897.691,3891.921,3911.615
case008_comm_C2_RING_SIMPLE_CH8_N512_q2_rep3,COMM_ONLY,RCCL,C2_RING_SIMPLE_CH8,2048,512,2048,2,3,80,0,PASS,1948.188,1941.624,1962.274,3886.692,3879.416,3911.741,3892.213,3885.016,3917.181,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3897.899,3890.457,3922.942
case009_comm_C2_RING_SIMPLE_CH8_N512_q2_rep4,COMM_ONLY,RCCL,C2_RING_SIMPLE_CH8,2048,512,2048,2,4,80,0,PASS,1948.850,1942.130,1962.290,3887.061,3880.101,3903.780,3892.501,3885.702,3909.220,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3897.941,3891.142,3914.660
case010_comm_C2_RING_SIMPLE_CH8_N512_q2_rep5,COMM_ONLY,RCCL,C2_RING_SIMPLE_CH8,2048,512,2048,2,5,80,0,PASS,1950.771,1943.091,1969.169,3890.422,3882.341,3910.180,3895.941,3888.101,3915.620,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3901.381,3893.540,3920.899
case011_gemm_C0_DEFAULT_N512_q2_rep1,GEMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,1,80,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,1138.257,1120.257,1158.497,25.279,23.519,28.639,1132.737,1114.817,1153.057,1108.978,1092.099,1131.458,1143.857,1126.017,1164.096
case012_gemm_C0_DEFAULT_N512_q2_rep2,GEMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,2,80,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,1138.577,1118.497,1156.897,25.279,22.718,28.638,1132.976,1113.058,1151.458,1109.937,1090.499,1127.616,1144.177,1124.097,1162.337
case013_gemm_C0_DEFAULT_N512_q2_rep3,GEMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,3,80,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,1136.816,1119.617,9084.611,23.039,21.119,26.879,1131.296,1114.018,9079.171,1108.818,1091.619,9056.613,1142.336,1125.056,9090.050
case014_gemm_C0_DEFAULT_N512_q2_rep4,GEMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,4,80,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,1535.196,1129.217,2237.474,217.588,23.039,225.107,1529.677,1123.777,2232.035,1310.488,1099.780,2210.436,1755.024,1134.656,2243.074
case015_gemm_C0_DEFAULT_N512_q2_rep5,GEMM_ONLY,RCCL,C0_DEFAULT,2048,512,2048,2,5,80,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,1139.137,1118.978,7466.461,25.278,22.718,28.319,1133.538,1113.378,7461.021,1109.619,1090.179,7439.263,1144.577,1124.417,7472.061
case016_r0_C0_DEFAULT_N512_q2_rep1,R0_FULL_SERIAL,RCCL,C0_DEFAULT,2048,512,2048,2,1,80,0,PASS,4054.892,4020.741,4101.849,4054.892,4020.741,4101.849,4060.891,4027.141,4108.249,4070.891,4037.540,4118.488,5095.474,5063.556,5157.959,1027.062,1020.743,1070.662,5101.073,5069.156,5163.399
case017_r0_C0_DEFAULT_N512_q2_rep2,R0_FULL_SERIAL,RCCL,C0_DEFAULT,2048,512,2048,2,2,80,0,PASS,4049.692,4023.620,4144.887,4049.692,4023.620,4144.887,4056.412,4029.860,4151.286,4066.811,4039.940,4161.526,5088.758,5064.196,5168.349,1025.942,1020.422,1073.060,5094.278,5069.635,5173.949
case018_r0_C0_DEFAULT_N512_q2_rep3,R0_FULL_SERIAL,RCCL,C0_DEFAULT,2048,512,2048,2,3,80,0,PASS,4051.612,4026.655,4081.850,4051.612,4026.655,4081.850,4057.612,4032.414,4087.770,4067.691,4042.494,4097.849,5091.234,5061.805,5124.512,1026.983,1020.903,1071.140,5096.753,5067.245,5130.112
case019_r0_C0_DEFAULT_N512_q2_rep4,R0_FULL_SERIAL,RCCL,C0_DEFAULT,2048,512,2048,2,4,80,0,PASS,4056.892,4020.901,4088.410,4056.892,4020.901,4088.410,4062.972,4026.981,4094.330,4072.891,4037.060,4104.730,5096.354,5059.876,5150.431,1026.503,1019.303,1076.580,5101.713,5065.316,5156.030
