candidate,N,q,r1_vs_rs_gain_pct,r1_vs_r0_gain_pct,d1_vs_ds_gain_pct,d1w_vs_ds_gain_pct,d1_vs_d0_gain_pct,d1w_vs_d0_gain_pct,d1w_vs_d1_gain_pct,r1_vs_d1w_gain_pct,d1_vs_dc_done_stretch_pct,d1w_vs_dc_done_stretch_pct
C0_DEFAULT,512,2,8.548,6.206,0.270,-0.007,30.009,29.814,-0.278,45.785,-17.926,-18.269
C0_DEFAULT,512,4,14.759,10.721,0.221,-0.642,27.613,26.987,-0.865,50.375,-19.974,-21.038
C0_DEFAULT,512,8,24.464,7.960,1.051,-0.383,-40.077,-42.106,-1.449,73.718,-58.392,-60.714
C0_DEFAULT,2048,2,12.918,11.117,0.064,0.033,28.786,28.764,-0.031,40.415,-36.521,-36.568
C0_DEFAULT,2048,4,28.765,25.179,-0.069,-0.349,28.109,27.907,-0.280,50.441,-35.809,-36.179
C0_DEFAULT,2048,8,32.202,21.124,-1.067,-0.060,-29.596,-28.306,0.996,70.643,-77.173,-75.404
C0_DEFAULT,2048,16,30.078,,1.580,3.524,,,1.975,75.584,-63.223,-59.999
C0_DEFAULT,4096,2,19.710,18.750,-0.358,-0.587,24.025,23.852,-0.228,37.018,-86.094,-86.515
C0_DEFAULT,4096,4,15.342,23.656,0.009,-0.323,29.738,29.505,-0.333,36.073,-70.505,-71.065
C0_DEFAULT,4096,8,20.368,18.975,-0.234,-0.624,21.095,20.789,-0.389,39.679,-30.373,-30.888
C0_DEFAULT,4096,16,,,,,,,,,,
