candidate,N,q,r1_vs_rs_gain_pct,r1_vs_r0_gain_pct,r0_vs_rs_gain_pct,d1_vs_ds_gain_pct,d1_vs_d0_gain_pct,d0_vs_ds_gain_pct,r1_vs_d1_gain_pct,d1_vs_dc_done_stretch_pct,gemm_only_vs_r0_gemm_pct
C0_DEFAULT,512,2,8.548,6.206,2.498,-0.004,30.316,-43.511,45.395,17.402,
C0_DEFAULT,512,4,14.759,10.721,4.523,-0.169,28.758,-40.604,49.141,18.076,
C0_DEFAULT,512,8,24.464,7.960,17.931,-0.105,-45.374,31.140,74.309,64.405,
C0_DEFAULT,2048,2,12.918,11.117,2.026,0.005,26.469,-35.992,42.274,40.967,
C0_DEFAULT,2048,4,28.765,25.179,4.793,-0.051,23.866,-31.415,53.072,43.824,
C0_DEFAULT,2048,8,32.202,21.124,14.046,0.592,-41.107,29.551,73.306,92.908,
C0_DEFAULT,2048,16,30.078,,,-1.400,,,74.783,53.349,
C0_DEFAULT,4096,2,19.710,18.750,1.182,0.145,21.424,-27.081,38.964,92.464,
C0_DEFAULT,4096,4,15.342,23.656,-10.890,0.017,26.718,-36.436,38.504,77.849,
C0_DEFAULT,4096,8,20.368,18.975,1.720,-0.843,-19.436,15.567,59.994,97.329,
C2_RING_SIMPLE_CH8,512,2,,,,,,,,,
C2_RING_SIMPLE_CH8,512,4,,,,,,,,,
C2_RING_SIMPLE_CH8,512,8,,,,,,,,,
C2_RING_SIMPLE_CH8,2048,2,,,,,,,,,
C2_RING_SIMPLE_CH8,2048,4,,,,,,,,,
C2_RING_SIMPLE_CH8,2048,8,,,,,,,,,
C2_RING_SIMPLE_CH8,2048,16,,,,,,,,,
C2_RING_SIMPLE_CH8,4096,2,,,,,,,,,
C2_RING_SIMPLE_CH8,4096,4,,,,,,,,,
C2_RING_SIMPLE_CH8,4096,8,,,,,,,,,
