case_id,path,family,candidate,N,q,rep,iterations,release_first_med_us,release_last_med_us,release_pacing_med_us,release_to_gemm_delay_med_us,gemm_dur_med_us
case001_comm_C0_DEFAULT_N512_q2_rep1,COMM_ONLY,RCCL,C0_DEFAULT,512,2,1,80,2006.8,4002.7,1996.4,-3990.3,0.0
case002_comm_C0_DEFAULT_N512_q2_rep2,COMM_ONLY,RCCL,C0_DEFAULT,512,2,2,80,2008.3,4005.8,1997.0,-3017.8,0.0
case003_comm_C0_DEFAULT_N512_q2_rep3,COMM_ONLY,RCCL,C0_DEFAULT,512,2,3,80,2004.3,4000.0,1997.3,-3992.0,0.0
case004_comm_C0_DEFAULT_N512_q2_rep4,COMM_ONLY,RCCL,C0_DEFAULT,512,2,4,80,2002.5,3998.0,1995.9,-3985.9,0.0
case005_comm_C0_DEFAULT_N512_q2_rep5,COMM_ONLY,RCCL,C0_DEFAULT,512,2,5,80,2006.9,4002.3,1995.2,-3013.6,0.0
case006_comm_C2_RING_SIMPLE_CH8_N512_q2_rep1,COMM_ONLY,RCCL,C2_RING_SIMPLE_CH8,512,2,1,80,1949.7,3888.7,1938.9,-3879.4,0.0
case007_comm_C2_RING_SIMPLE_CH8_N512_q2_rep2,COMM_ONLY,RCCL,C2_RING_SIMPLE_CH8,512,2,2,80,1947.5,3886.7,1939.1,-3880.0,0.0
case008_comm_C2_RING_SIMPLE_CH8_N512_q2_rep3,COMM_ONLY,RCCL,C2_RING_SIMPLE_CH8,512,2,3,80,1948.2,3886.7,1938.9,-3007.4,0.0
case009_comm_C2_RING_SIMPLE_CH8_N512_q2_rep4,COMM_ONLY,RCCL,C2_RING_SIMPLE_CH8,512,2,4,80,1948.8,3887.1,1938.6,-3878.6,0.0
case010_comm_C2_RING_SIMPLE_CH8_N512_q2_rep5,COMM_ONLY,RCCL,C2_RING_SIMPLE_CH8,512,2,5,80,1950.8,3890.4,1940.3,-2929.4,0.0
case011_gemm_C0_DEFAULT_N512_q2_rep1,GEMM_ONLY,RCCL,C0_DEFAULT,512,2,1,80,0.0,0.0,0.0,301.3,554.4
case012_gemm_C0_DEFAULT_N512_q2_rep2,GEMM_ONLY,RCCL,C0_DEFAULT,512,2,2,80,0.0,0.0,0.0,300.2,555.7
case013_gemm_C0_DEFAULT_N512_q2_rep3,GEMM_ONLY,RCCL,C0_DEFAULT,512,2,3,80,0.0,0.0,0.0,369.2,553.5
