case_id,path,candidate,N,q,rep,slice_index,t_release_med_us,t_gemm_start_med_us,t_gemm_end_med_us,t_gemm_duration_med_us
case001_comm_C0_DEFAULT_N512_q2_rep1,COMM_ONLY,C0_DEFAULT,512,2,1,0,2006.8,0.0,0.0,0.0
case001_comm_C0_DEFAULT_N512_q2_rep1,COMM_ONLY,C0_DEFAULT,512,2,1,1,4002.7,0.0,0.0,0.0
case002_comm_C0_DEFAULT_N512_q2_rep2,COMM_ONLY,C0_DEFAULT,512,2,2,0,2008.3,0.0,0.0,0.0
case002_comm_C0_DEFAULT_N512_q2_rep2,COMM_ONLY,C0_DEFAULT,512,2,2,1,4005.8,0.0,0.0,0.0
case003_comm_C0_DEFAULT_N512_q2_rep3,COMM_ONLY,C0_DEFAULT,512,2,3,0,2004.3,0.0,0.0,0.0
case003_comm_C0_DEFAULT_N512_q2_rep3,COMM_ONLY,C0_DEFAULT,512,2,3,1,4000.0,0.0,0.0,0.0
case004_comm_C0_DEFAULT_N512_q2_rep4,COMM_ONLY,C0_DEFAULT,512,2,4,0,2002.5,0.0,0.0,0.0
case004_comm_C0_DEFAULT_N512_q2_rep4,COMM_ONLY,C0_DEFAULT,512,2,4,1,3998.0,0.0,0.0,0.0
case005_comm_C0_DEFAULT_N512_q2_rep5,COMM_ONLY,C0_DEFAULT,512,2,5,0,2006.9,0.0,0.0,0.0
case005_comm_C0_DEFAULT_N512_q2_rep5,COMM_ONLY,C0_DEFAULT,512,2,5,1,4002.3,0.0,0.0,0.0
case006_comm_C2_RING_SIMPLE_CH8_N512_q2_rep1,COMM_ONLY,C2_RING_SIMPLE_CH8,512,2,1,0,1949.7,0.0,0.0,0.0
case006_comm_C2_RING_SIMPLE_CH8_N512_q2_rep1,COMM_ONLY,C2_RING_SIMPLE_CH8,512,2,1,1,3888.7,0.0,0.0,0.0
case007_comm_C2_RING_SIMPLE_CH8_N512_q2_rep2,COMM_ONLY,C2_RING_SIMPLE_CH8,512,2,2,0,1947.5,0.0,0.0,0.0
case007_comm_C2_RING_SIMPLE_CH8_N512_q2_rep2,COMM_ONLY,C2_RING_SIMPLE_CH8,512,2,2,1,3886.7,0.0,0.0,0.0
case008_comm_C2_RING_SIMPLE_CH8_N512_q2_rep3,COMM_ONLY,C2_RING_SIMPLE_CH8,512,2,3,0,1948.2,0.0,0.0,0.0
case008_comm_C2_RING_SIMPLE_CH8_N512_q2_rep3,COMM_ONLY,C2_RING_SIMPLE_CH8,512,2,3,1,3886.7,0.0,0.0,0.0
case009_comm_C2_RING_SIMPLE_CH8_N512_q2_rep4,COMM_ONLY,C2_RING_SIMPLE_CH8,512,2,4,0,1948.8,0.0,0.0,0.0
case009_comm_C2_RING_SIMPLE_CH8_N512_q2_rep4,COMM_ONLY,C2_RING_SIMPLE_CH8,512,2,4,1,3887.1,0.0,0.0,0.0
case010_comm_C2_RING_SIMPLE_CH8_N512_q2_rep5,COMM_ONLY,C2_RING_SIMPLE_CH8,512,2,5,0,1950.8,0.0,0.0,0.0
case010_comm_C2_RING_SIMPLE_CH8_N512_q2_rep5,COMM_ONLY,C2_RING_SIMPLE_CH8,512,2,5,1,3890.4,0.0,0.0,0.0
case011_gemm_C0_DEFAULT_N512_q2_rep1,GEMM_ONLY,C0_DEFAULT,512,2,1,0,0.0,25.3,577.2,554.4
case011_gemm_C0_DEFAULT_N512_q2_rep1,GEMM_ONLY,C0_DEFAULT,512,2,1,1,0.0,582.8,1132.7,554.5
case012_gemm_C0_DEFAULT_N512_q2_rep2,GEMM_ONLY,C0_DEFAULT,512,2,2,0,0.0,25.3,580.4,557.5
case012_gemm_C0_DEFAULT_N512_q2_rep2,GEMM_ONLY,C0_DEFAULT,512,2,2,1,0.0,585.9,1133.0,553.2
case013_gemm_C0_DEFAULT_N512_q2_rep3,GEMM_ONLY,C0_DEFAULT,512,2,3,0,0.0,23.0,579.4,556.2
case013_gemm_C0_DEFAULT_N512_q2_rep3,GEMM_ONLY,C0_DEFAULT,512,2,3,1,0.0,584.8,1131.3,551.1
case014_gemm_C0_DEFAULT_N512_q2_rep4,GEMM_ONLY,C0_DEFAULT,512,2,4,0,0.0,217.6,980.7,761.8
case014_gemm_C0_DEFAULT_N512_q2_rep4,GEMM_ONLY,C0_DEFAULT,512,2,4,1,0.0,987.6,1529.7,552.8
case015_gemm_C0_DEFAULT_N512_q2_rep5,GEMM_ONLY,C0_DEFAULT,512,2,5,0,0.0,25.3,581.2,558.8
case015_gemm_C0_DEFAULT_N512_q2_rep5,GEMM_ONLY,C0_DEFAULT,512,2,5,1,0.0,586.8,1133.5,549.9
case016_r0_C0_DEFAULT_N512_q2_rep1,R0_FULL_SERIAL,C0_DEFAULT,512,2,1,0,4054.9,4070.9,5095.5,1027.1
case017_r0_C0_DEFAULT_N512_q2_rep2,R0_FULL_SERIAL,C0_DEFAULT,512,2,2,0,4049.7,4066.8,5088.8,1025.9
case018_r0_C0_DEFAULT_N512_q2_rep3,R0_FULL_SERIAL,C0_DEFAULT,512,2,3,0,4051.6,4067.7,5091.2,1027.0
case019_r0_C0_DEFAULT_N512_q2_rep4,R0_FULL_SERIAL,C0_DEFAULT,512,2,4,0,4056.9,4072.9,5096.4,1026.5
case020_r0_C0_DEFAULT_N512_q2_rep5,R0_FULL_SERIAL,C0_DEFAULT,512,2,5,0,4053.9,4069.7,5094.9,1027.7
case021_rs_C0_DEFAULT_N512_q2_rep1,RS_SLICE_SERIAL,C0_DEFAULT,512,2,1,0,2064.2,2074.4,2620.0,554.0
case021_rs_C0_DEFAULT_N512_q2_rep1,RS_SLICE_SERIAL,C0_DEFAULT,512,2,1,1,4670.6,4680.6,5225.6,556.4
case022_rs_C0_DEFAULT_N512_q2_rep2,RS_SLICE_SERIAL,C0_DEFAULT,512,2,2,0,2063.9,2073.9,2621.5,549.3
