case_id,path,candidate,N,q,rep,slice_index,t_release_med_us,t_gemm_start_med_us,t_gemm_end_med_us,t_gemm_duration_med_us
case001_ds_C0_DEFAULT_N512_q2_rep1,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,2,1,0,4336.9,4342.5,4926.6,592.6
case001_ds_C0_DEFAULT_N512_q2_rep1,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,2,1,1,8161.8,8167.2,8723.7,560.8
case002_ds_C0_DEFAULT_N512_q2_rep2,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,2,2,0,4336.3,4341.8,4917.5,586.9
case002_ds_C0_DEFAULT_N512_q2_rep2,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,2,2,1,8185.9,8192.0,8756.0,566.2
case003_ds_C0_DEFAULT_N512_q2_rep3,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,2,3,0,4330.6,4336.0,4920.9,593.2
case003_ds_C0_DEFAULT_N512_q2_rep3,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,2,3,1,8174.8,8180.4,8745.2,567.0
case004_ds_C0_DEFAULT_N512_q2_rep4,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,2,4,0,4331.8,4337.3,4911.3,585.4
case004_ds_C0_DEFAULT_N512_q2_rep4,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,2,4,1,8182.8,8188.4,8763.0,573.1
case005_ds_C0_DEFAULT_N512_q2_rep5,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,2,5,0,4337.5,4343.1,4919.5,586.3
case005_ds_C0_DEFAULT_N512_q2_rep5,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,2,5,1,8187.7,8194.3,8754.0,566.9
case006_d1_C0_DEFAULT_N512_q2_rep1,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,2,1,0,4332.6,4338.2,4932.3,596.7
case006_d1_C0_DEFAULT_N512_q2_rep1,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,2,1,1,8161.2,8166.7,8728.1,564.8
case007_d1_C0_DEFAULT_N512_q2_rep2,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,2,2,0,4333.4,4338.9,4923.0,591.5
case007_d1_C0_DEFAULT_N512_q2_rep2,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,2,2,1,8160.0,8165.5,8728.9,558.3
case008_d1_C0_DEFAULT_N512_q2_rep3,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,2,3,0,4340.5,4346.3,4947.8,600.1
case008_d1_C0_DEFAULT_N512_q2_rep3,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,2,3,1,8162.9,8168.5,8730.8,563.2
case009_d1_C0_DEFAULT_N512_q2_rep4,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,2,4,0,4337.8,4343.3,4913.5,586.3
case009_d1_C0_DEFAULT_N512_q2_rep4,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,2,4,1,8186.6,8192.2,8752.2,563.5
case010_d1_C0_DEFAULT_N512_q2_rep5,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,2,5,0,4334.7,4340.3,4917.1,589.1
case010_d1_C0_DEFAULT_N512_q2_rep5,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,2,5,1,8174.8,8180.4,8741.7,566.9
case011_d1w_C0_DEFAULT_N512_q2_rep1,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,2,1,0,4331.5,4353.5,4935.0,588.5
case011_d1w_C0_DEFAULT_N512_q2_rep1,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,2,1,1,8165.0,8184.2,8744.0,559.3
case012_d1w_C0_DEFAULT_N512_q2_rep2,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,2,2,0,4326.5,4346.8,4916.4,585.9
case012_d1w_C0_DEFAULT_N512_q2_rep2,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,2,2,1,8178.8,8199.1,8756.2,562.3
case013_d1w_C0_DEFAULT_N512_q2_rep3,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,2,3,0,4324.2,4343.3,4911.2,585.0
case013_d1w_C0_DEFAULT_N512_q2_rep3,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,2,3,1,8198.8,8218.5,8773.7,558.7
case014_d1w_C0_DEFAULT_N512_q2_rep4,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,2,4,0,4333.5,4352.9,4914.2,584.3
case014_d1w_C0_DEFAULT_N512_q2_rep4,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,2,4,1,8200.2,8219.3,8774.9,559.4
case015_d1w_C0_DEFAULT_N512_q2_rep5,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,2,5,0,4323.3,4344.6,4931.9,592.7
case015_d1w_C0_DEFAULT_N512_q2_rep5,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,2,5,1,8182.4,8204.4,8756.3,557.1
case016_ds_C0_DEFAULT_N512_q4_rep1,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,4,1,0,2162.2,2167.6,2473.7,326.0
case016_ds_C0_DEFAULT_N512_q4_rep1,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,4,1,1,4419.6,4425.1,4720.9,324.6
case016_ds_C0_DEFAULT_N512_q4_rep1,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,4,1,2,6628.4,6633.9,6951.1,325.1
case016_ds_C0_DEFAULT_N512_q4_rep1,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,4,1,3,8679.8,8685.4,8953.1,284.3
case017_ds_C0_DEFAULT_N512_q4_rep2,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,4,2,0,2161.5,2167.1,2487.2,341.1
case017_ds_C0_DEFAULT_N512_q4_rep2,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,4,2,1,4457.7,4463.3,4780.1,320.2
case017_ds_C0_DEFAULT_N512_q4_rep2,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,4,2,2,6740.8,6746.2,7053.1,324.5
case017_ds_C0_DEFAULT_N512_q4_rep2,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,4,2,3,8802.6,8808.1,9110.2,292.0
case018_ds_C0_DEFAULT_N512_q4_rep3,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,4,3,0,2157.5,2163.1,2468.1,336.1
case018_ds_C0_DEFAULT_N512_q4_rep3,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,4,3,1,4442.1,4447.5,4763.1,331.3
case018_ds_C0_DEFAULT_N512_q4_rep3,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,4,3,2,6719.9,6725.6,7048.4,333.9
case018_ds_C0_DEFAULT_N512_q4_rep3,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,4,3,3,8779.1,8784.7,9063.1,284.3
case019_ds_C0_DEFAULT_N512_q4_rep4,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,4,4,0,2160.8,2166.3,2471.5,330.6
case019_ds_C0_DEFAULT_N512_q4_rep4,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,4,4,1,4448.6,4454.2,4779.1,330.2
case019_ds_C0_DEFAULT_N512_q4_rep4,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,4,4,2,6786.6,6791.9,7117.9,320.8
case019_ds_C0_DEFAULT_N512_q4_rep4,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,4,4,3,8889.5,8894.9,9186.9,284.5
case020_ds_C0_DEFAULT_N512_q4_rep5,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,4,5,0,2152.5,2158.0,2459.8,331.4
case020_ds_C0_DEFAULT_N512_q4_rep5,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,4,5,1,4440.6,4446.2,4745.3,321.3
case020_ds_C0_DEFAULT_N512_q4_rep5,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,4,5,2,6685.2,6690.6,6989.0,328.1
case020_ds_C0_DEFAULT_N512_q4_rep5,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,4,5,3,8721.3,8726.8,9012.7,293.8
case021_d1_C0_DEFAULT_N512_q4_rep1,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,1,0,2157.2,2162.9,2475.7,331.6
case021_d1_C0_DEFAULT_N512_q4_rep1,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,1,1,4442.5,4448.0,4746.0,323.1
case021_d1_C0_DEFAULT_N512_q4_rep1,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,1,2,6674.1,6679.9,6991.9,323.4
case021_d1_C0_DEFAULT_N512_q4_rep1,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,1,3,8729.2,8734.6,9048.2,301.3
case022_d1_C0_DEFAULT_N512_q4_rep2,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,2,0,2172.6,2178.1,2501.0,336.9
case022_d1_C0_DEFAULT_N512_q4_rep2,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,2,1,4512.9,4518.5,4875.2,324.7
case022_d1_C0_DEFAULT_N512_q4_rep2,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,2,2,6793.1,6798.5,7153.7,327.9
case022_d1_C0_DEFAULT_N512_q4_rep2,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,2,3,8972.6,8978.1,9258.3,295.4
