candidate,N,q,isolated_winner_path,isolated_runner_up,isolated_gap_pct,e2e_winner_path,e2e_runner_up,e2e_gap_pct,isolated_winner_family,e2e_winner_family,isolated_best_us,e2e_best_us,reversal_flag,notes
C0_DEFAULT,512,2,COMM_ONLY,DC_PUSHSIG_ONLY,46.275,R1_EVENT_OVERLAP,R0_FULL_SERIAL,6.206,RCCL,RCCL,4007.855,4783.811,CONSISTENT,
C0_DEFAULT,512,4,COMM_ONLY,DC_PUSHSIG_ONLY,46.284,R1_EVENT_OVERLAP,R0_FULL_SERIAL,10.721,RCCL,RCCL,4072.895,4553.264,CONSISTENT,
C0_DEFAULT,512,8,COMM_ONLY,DC_PUSHSIG_ONLY,61.953,R1_EVENT_OVERLAP,R0_FULL_SERIAL,7.960,RCCL,RCCL,4226.486,4692.221,CONSISTENT,
C0_DEFAULT,2048,2,COMM_ONLY,DC_PUSHSIG_ONLY,46.269,R1_EVENT_OVERLAP,R0_FULL_SERIAL,11.117,RCCL,RCCL,4018.579,6086.778,CONSISTENT,
C0_DEFAULT,2048,4,COMM_ONLY,DC_PUSHSIG_ONLY,46.240,R1_EVENT_OVERLAP,R0_FULL_SERIAL,25.179,RCCL,RCCL,4079.477,5122.167,CONSISTENT,
C0_DEFAULT,2048,8,COMM_ONLY,DC_PUSHSIG_ONLY,59.626,R1_EVENT_OVERLAP,R0_FULL_SERIAL,21.124,RCCL,RCCL,4233.552,5400.203,CONSISTENT,
C0_DEFAULT,2048,16,COMM_ONLY,DC_PUSHSIG_ONLY,69.499,R1_EVENT_OVERLAP,RS_SLICE_SERIAL,30.078,RCCL,RCCL,4552.205,5830.553,CONSISTENT,
C0_DEFAULT,4096,2,COMM_ONLY,DC_PUSHSIG_ONLY,46.231,R1_EVENT_OVERLAP,R0_FULL_SERIAL,18.750,RCCL,RCCL,4027.054,8798.786,CONSISTENT,
C0_DEFAULT,4096,4,COMM_ONLY,DC_PUSHSIG_ONLY,46.027,R1_EVENT_OVERLAP,RS_SLICE_SERIAL,15.342,RCCL,RCCL,4082.571,8272.903,CONSISTENT,
C0_DEFAULT,4096,8,COMM_ONLY,DC_PUSHSIG_ONLY,61.849,R1_EVENT_OVERLAP,R0_FULL_SERIAL,18.975,RCCL,RCCL,4238.481,8772.738,CONSISTENT,
C2_RING_SIMPLE_CH8,512,2,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,3892.501,4536.626,CONSISTENT,
C2_RING_SIMPLE_CH8,512,4,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,3985.617,4476.549,CONSISTENT,
C2_RING_SIMPLE_CH8,512,8,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,4157.367,4681.898,CONSISTENT,
C2_RING_SIMPLE_CH8,2048,2,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,3898.821,5742.637,CONSISTENT,
C2_RING_SIMPLE_CH8,2048,4,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,3993.056,5035.478,CONSISTENT,
C2_RING_SIMPLE_CH8,2048,8,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,4163.527,5696.881,CONSISTENT,
C2_RING_SIMPLE_CH8,2048,16,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,4519.034,6143.738,CONSISTENT,
C2_RING_SIMPLE_CH8,4096,2,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,3900.101,8438.165,CONSISTENT,
C2_RING_SIMPLE_CH8,4096,4,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,3995.651,8262.423,CONSISTENT,
C2_RING_SIMPLE_CH8,4096,8,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,4165.526,8617.604,CONSISTENT,
