N,q,pair,axis_note,metric,median_a_us,median_b_us,delta_pct_pos_a_faster,reps_a,reps_b,rep_direction_consistency,mw_p_all_iters,verdict
512,2,comm_C2_vs_C0,"resource axis, isolated",t_done_max_us,3893.7,4007.6,2.843,5,5,5/5,0.00e+00,SIG
512,2,r1_C2_vs_C0,"resource axis, e2e (reversal core)",e2e_max_us,4535.7,4782.8,5.165,5,5,5/5,0.00e+00,SIG
512,2,r1_vs_rs,"overlap gain, RCCL",e2e_max_us,4782.8,5230.9,8.566,5,5,5/5,0.00e+00,SIG
512,2,r1_vs_r0,"overlap gain vs bulk, RCCL",e2e_max_us,4782.8,5099.2,6.206,5,5,5/5,0.00e+00,SIG
512,2,d1_vs_d0,"release semantics flip, DUSHMEM",e2e_max_us,8759.0,12578.7,30.367,5,5,5/5,0.00e+00,SIG
512,2,d1_vs_ds,INVALID if ds serial gate missing (bug): noise characterisation,e2e_max_us,8759.0,8758.2,-0.009,5,5,3/5,3.20e-01,NS
512,2,r1_vs_d1,substrate gap under overlap,e2e_max_us,4782.8,8759.0,45.396,5,5,5/5,0.00e+00,SIG
512,4,comm_C2_vs_C0,"resource axis, isolated",t_done_max_us,3985.4,4072.7,2.145,5,5,5/5,0.00e+00,SIG
512,4,r1_C2_vs_C0,"resource axis, e2e (reversal core)",e2e_max_us,4475.7,4556.5,1.773,5,5,5/5,0.00e+00,SIG
512,4,r1_vs_rs,"overlap gain, RCCL",e2e_max_us,4556.5,5335.8,14.605,5,5,5/5,0.00e+00,SIG
512,4,r1_vs_r0,"overlap gain vs bulk, RCCL",e2e_max_us,4556.5,5099.8,10.652,5,5,5/5,0.00e+00,SIG
512,4,d1_vs_d0,"release semantics flip, DUSHMEM",e2e_max_us,8954.7,12569.3,28.757,5,5,5/5,0.00e+00,SIG
512,4,d1_vs_ds,INVALID if ds serial gate missing (bug): noise characterisation,e2e_max_us,8954.7,8946.4,-0.093,5,5,3/5,2.35e-01,NS
512,4,r1_vs_d1,substrate gap under overlap,e2e_max_us,4556.5,8954.7,49.116,5,5,5/5,0.00e+00,SIG
512,8,comm_C2_vs_C0,"resource axis, isolated",t_done_max_us,4157.0,4227.3,1.661,5,5,5/5,0.00e+00,SIG
512,8,r1_C2_vs_C0,"resource axis, e2e (reversal core)",e2e_max_us,4682.2,4690.0,0.165,5,5,5/5,1.78e-15,SIG
512,8,r1_vs_rs,"overlap gain, RCCL",e2e_max_us,4690.0,6212.9,24.513,5,5,5/5,0.00e+00,SIG
512,8,r1_vs_r0,"overlap gain vs bulk, RCCL",e2e_max_us,4690.0,5098.1,8.006,5,5,5/5,0.00e+00,SIG
512,8,d1_vs_d0,"release semantics flip, DUSHMEM",e2e_max_us,18300.2,12566.3,-45.629,5,5,5/5,0.00e+00,SIG
512,8,d1_vs_ds,INVALID if ds serial gate missing (bug): noise characterisation,e2e_max_us,18300.2,18097.9,-1.118,5,5,3/5,5.77e-01,NS
512,8,r1_vs_d1,substrate gap under overlap,e2e_max_us,4690.0,18300.2,74.372,5,5,5/5,0.00e+00,SIG
2048,2,comm_C2_vs_C0,"resource axis, isolated",t_done_max_us,3899.0,4019.3,2.994,5,5,5/5,0.00e+00,SIG
2048,2,r1_C2_vs_C0,"resource axis, e2e (reversal core)",e2e_max_us,5741.8,6087.4,5.677,5,5,5/5,0.00e+00,SIG
