N,q,pair,axis_note,metric,source_a,source_b,median_a_us,median_b_us,delta_pct_pos_a_faster,reps_a,reps_b,rep_direction_consistency,mw_p_all_iters,verdict
512,2,comm_C2_vs_C0,"resource axis, isolated",t_done_max_us,formal,formal,3893.7,4007.6,2.843,5,5,5/5,0.00e+00,SIG
512,2,r1_C2_vs_C0,"resource axis, e2e",e2e_max_us,formal,formal,4535.7,4782.8,5.165,5,5,5/5,0.00e+00,SIG
512,2,r1_vs_rs,"overlap gain, RCCL",e2e_max_us,formal,formal,4782.8,5230.9,8.566,5,5,5/5,0.00e+00,SIG
512,2,r1_vs_r0,"overlap gain vs bulk, RCCL",e2e_max_us,formal,formal,4782.8,5099.2,6.206,5,5,5/5,0.00e+00,SIG
512,2,d1_vs_ds,overlap gain vs TRUE serial (post-fix),e2e_max_us,dsfix,dsfix,8804.4,8819.0,0.165,5,5,4/5,1.77e-05,SIG
512,2,d1w_vs_ds,wait-stream overlap gain vs TRUE serial,e2e_max_us,dsfix,dsfix,8828.3,8819.0,-0.105,5,5,4/5,6.71e-05,SIG
512,2,d1_vs_d0,"release semantics flip, DUSHMEM",e2e_max_us,dsfix,formal,8804.4,12578.7,30.005,5,5,5/5,0.00e+00,SIG
512,2,d1w_vs_d0,wait-stream vs bulk fcollect,e2e_max_us,dsfix,formal,8828.3,12578.7,29.816,5,5,5/5,0.00e+00,SIG
512,2,d1w_vs_d1,wait-placement effect,e2e_max_us,dsfix,dsfix,8828.3,8804.4,-0.271,5,5,5/5,1.04e-13,SIG
512,2,ds_vs_d0,"true serial baselines, put-signal vs fcollect",e2e_max_us,dsfix,formal,8819.0,12578.7,29.889,5,5,5/5,0.00e+00,SIG
512,2,r1_vs_d1,substrate gap under overlap,e2e_max_us,formal,dsfix,4782.8,8804.4,45.678,5,5,5/5,0.00e+00,SIG
512,2,r1_vs_d1w,substrate gap under fixed overlap,e2e_max_us,formal,dsfix,4782.8,8828.3,45.825,5,5,5/5,0.00e+00,SIG
512,2,d1_stretch_vs_dc,sliced-release stretch (d1 done vs pure transport),t_done_max_us,dsfix,formal,8803.1,7458.9,-18.022,5,5,5/5,0.00e+00,SIG
512,2,d1w_stretch_vs_dc,sliced-release stretch post wait-placement fix,t_done_max_us,dsfix,formal,8826.4,7458.9,-18.334,5,5,5/5,0.00e+00,SIG
512,4,comm_C2_vs_C0,"resource axis, isolated",t_done_max_us,formal,formal,3985.4,4072.7,2.145,5,5,5/5,0.00e+00,SIG
512,4,r1_C2_vs_C0,"resource axis, e2e",e2e_max_us,formal,formal,4475.7,4556.5,1.773,5,5,5/5,0.00e+00,SIG
512,4,r1_vs_rs,"overlap gain, RCCL",e2e_max_us,formal,formal,4556.5,5335.8,14.605,5,5,5/5,0.00e+00,SIG
512,4,r1_vs_r0,"overlap gain vs bulk, RCCL",e2e_max_us,formal,formal,4556.5,5099.8,10.652,5,5,5/5,0.00e+00,SIG
512,4,d1_vs_ds,overlap gain vs TRUE serial (post-fix),e2e_max_us,dsfix,dsfix,9142.0,9123.3,-0.205,5,5,3/5,4.44e-01,NS
512,4,d1w_vs_ds,wait-stream overlap gain vs TRUE serial,e2e_max_us,dsfix,dsfix,9150.7,9123.3,-0.301,5,5,3/5,3.03e-01,NS
512,4,d1_vs_d0,"release semantics flip, DUSHMEM",e2e_max_us,dsfix,formal,9142.0,12569.3,27.267,5,5,5/5,0.00e+00,SIG
512,4,d1w_vs_d0,wait-stream vs bulk fcollect,e2e_max_us,dsfix,formal,9150.7,12569.3,27.198,5,5,5/5,0.00e+00,SIG
512,4,d1w_vs_d1,wait-placement effect,e2e_max_us,dsfix,dsfix,9150.7,9142.0,-0.095,5,5,3/5,8.01e-01,NS
512,4,ds_vs_d0,"true serial baselines, put-signal vs fcollect",e2e_max_us,dsfix,formal,9123.3,12569.3,27.416,5,5,5/5,0.00e+00,SIG
512,4,r1_vs_d1,substrate gap under overlap,e2e_max_us,formal,dsfix,4556.5,9142.0,50.158,5,5,5/5,0.00e+00,SIG
512,4,r1_vs_d1w,substrate gap under fixed overlap,e2e_max_us,formal,dsfix,4556.5,9150.7,50.205,5,5,5/5,0.00e+00,SIG
512,4,d1_stretch_vs_dc,sliced-release stretch (d1 done vs pure transport),t_done_max_us,dsfix,formal,9142.1,7578.7,-20.629,5,5,5/5,0.00e+00,SIG
512,4,d1w_stretch_vs_dc,sliced-release stretch post wait-placement fix,t_done_max_us,dsfix,formal,9151.8,7578.7,-20.757,5,5,5/5,0.00e+00,SIG
512,8,comm_C2_vs_C0,"resource axis, isolated",t_done_max_us,formal,formal,4157.0,4227.3,1.661,5,5,5/5,0.00e+00,SIG
512,8,r1_C2_vs_C0,"resource axis, e2e",e2e_max_us,formal,formal,4682.2,4690.0,0.165,5,5,5/5,1.78e-15,SIG
512,8,r1_vs_rs,"overlap gain, RCCL",e2e_max_us,formal,formal,4690.0,6212.9,24.513,5,5,5/5,0.00e+00,SIG
512,8,r1_vs_r0,"overlap gain vs bulk, RCCL",e2e_max_us,formal,formal,4690.0,5098.1,8.006,5,5,5/5,0.00e+00,SIG
512,8,d1_vs_ds,overlap gain vs TRUE serial (post-fix),e2e_max_us,dsfix,dsfix,17578.1,17804.1,1.269,5,5,4/5,2.25e-01,NS
512,8,d1w_vs_ds,wait-stream overlap gain vs TRUE serial,e2e_max_us,dsfix,dsfix,17901.7,17804.1,-0.549,5,5,4/5,2.80e-01,NS
512,8,d1_vs_d0,"release semantics flip, DUSHMEM",e2e_max_us,dsfix,formal,17578.1,12566.3,-39.883,5,5,5/5,0.00e+00,SIG
512,8,d1w_vs_d0,wait-stream vs bulk fcollect,e2e_max_us,dsfix,formal,17901.7,12566.3,-42.458,5,5,5/5,0.00e+00,SIG
512,8,d1w_vs_d1,wait-placement effect,e2e_max_us,dsfix,dsfix,17901.7,17578.1,-1.841,5,5,4/5,3.01e-02,WEAK
512,8,ds_vs_d0,"true serial baselines, put-signal vs fcollect",e2e_max_us,dsfix,formal,17804.1,12566.3,-41.680,5,5,5/5,0.00e+00,SIG
512,8,r1_vs_d1,substrate gap under overlap,e2e_max_us,formal,dsfix,4690.0,17578.1,73.319,5,5,5/5,0.00e+00,SIG
512,8,r1_vs_d1w,substrate gap under fixed overlap,e2e_max_us,formal,dsfix,4690.0,17901.7,73.801,5,5,5/5,0.00e+00,SIG
512,8,d1_stretch_vs_dc,sliced-release stretch (d1 done vs pure transport),t_done_max_us,dsfix,formal,17575.2,11096.6,-58.384,5,5,5/5,0.00e+00,SIG
512,8,d1w_stretch_vs_dc,sliced-release stretch post wait-placement fix,t_done_max_us,dsfix,formal,17898.4,11096.6,-61.297,5,5,5/5,0.00e+00,SIG
2048,2,comm_C2_vs_C0,"resource axis, isolated",t_done_max_us,formal,formal,3899.0,4019.3,2.994,5,5,5/5,0.00e+00,SIG
2048,2,r1_C2_vs_C0,"resource axis, e2e",e2e_max_us,formal,formal,5741.8,6087.4,5.677,5,5,5/5,0.00e+00,SIG
2048,2,r1_vs_rs,"overlap gain, RCCL",e2e_max_us,formal,formal,6087.4,6988.5,12.893,5,5,5/5,0.00e+00,SIG
2048,2,r1_vs_r0,"overlap gain vs bulk, RCCL",e2e_max_us,formal,formal,6087.4,6848.9,11.118,5,5,5/5,0.00e+00,SIG
2048,2,d1_vs_ds,overlap gain vs TRUE serial (post-fix),e2e_max_us,dsfix,dsfix,10209.6,10211.2,0.015,5,5,3/5,6.11e-01,NS
2048,2,d1w_vs_ds,wait-stream overlap gain vs TRUE serial,e2e_max_us,dsfix,dsfix,10217.4,10211.2,-0.061,5,5,2/5,7.21e-03,WEAK
2048,2,d1_vs_d0,"release semantics flip, DUSHMEM",e2e_max_us,dsfix,formal,10209.6,14339.4,28.800,5,5,5/5,0.00e+00,SIG
2048,2,d1w_vs_d0,wait-stream vs bulk fcollect,e2e_max_us,dsfix,formal,10217.4,14339.4,28.746,5,5,5/5,0.00e+00,SIG
2048,2,d1w_vs_d1,wait-placement effect,e2e_max_us,dsfix,dsfix,10217.4,10209.6,-0.076,5,5,3/5,2.89e-02,WEAK
2048,2,ds_vs_d0,"true serial baselines, put-signal vs fcollect",e2e_max_us,dsfix,formal,10211.2,14339.4,28.789,5,5,5/5,0.00e+00,SIG
2048,2,r1_vs_d1,substrate gap under overlap,e2e_max_us,formal,dsfix,6087.4,10209.6,40.375,5,5,5/5,0.00e+00,SIG
2048,2,r1_vs_d1w,substrate gap under fixed overlap,e2e_max_us,formal,dsfix,6087.4,10217.4,40.421,5,5,5/5,0.00e+00,SIG
