case_id,path,family,candidate,M_local,N,K,q,rep,iterations,iteration_failures,status,t_release_first_max_us_p50,t_release_first_max_us_p05,t_release_first_max_us_p95,t_release_last_max_us_p50,t_release_last_max_us_p05,t_release_last_max_us_p95,t_done_max_us_p50,t_done_max_us_p05,t_done_max_us_p95,gemm_first_start_max_us_p50,gemm_first_start_max_us_p05,gemm_first_start_max_us_p95,gemm_last_end_max_us_p50,gemm_last_end_max_us_p05,gemm_last_end_max_us_p95,gemm_interval_max_us_p50,gemm_interval_max_us_p05,gemm_interval_max_us_p95,e2e_max_us_p50,e2e_max_us_p05,e2e_max_us_p95
case001_d0_C0_DEFAULT_N4096_q16_rep1,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,4096,2048,16,1,80,0,PASS,11589.506,11388.160,11846.054,11589.506,11388.160,11846.054,11595.757,11394.239,11852.454,11606.076,11404.158,11862.532,18363.865,18157.695,18588.396,6760.739,6640.107,6857.055,18369.384,18163.135,18593.676
case002_d0_C0_DEFAULT_N4096_q16_rep2,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,4096,2048,16,2,80,0,PASS,11594.959,11447.198,11782.220,11594.959,11447.198,11782.220,11600.877,11453.438,11788.300,11610.718,11463.837,11798.061,18366.170,18192.098,18601.389,6754.900,6655.307,6843.615,18371.609,18197.697,18606.828
case003_d0_C0_DEFAULT_N4096_q16_rep3,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,4096,2048,16,3,80,0,PASS,11586.890,11362.900,11804.798,11586.890,11362.900,11804.798,11592.969,11368.820,11811.017,11603.049,11378.580,11821.257,18350.664,18142.693,20338.256,6761.712,6641.545,6833.536,18356.265,18148.133,20343.693
case004_d0_C0_DEFAULT_N4096_q16_rep4,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,4096,2048,16,4,80,0,PASS,11576.079,11440.316,11787.336,11576.079,11440.316,11787.336,11582.159,11446.234,11793.117,11592.077,11456.476,11803.357,18351.863,18130.371,18603.271,6741.781,6638.986,6832.268,18357.384,18135.812,18608.553
case005_d0_C0_DEFAULT_N4096_q16_rep5,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,4096,2048,16,5,80,0,PASS,11577.749,11415.360,11791.838,11577.749,11415.360,11791.838,11583.509,11421.601,11798.238,11593.289,11431.521,11808.478,18334.732,18163.777,18584.553,6746.587,6666.997,6828.095,18340.332,18169.217,18589.832
case006_dc_C0_DEFAULT_N4096_q16_rep1,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,4096,2048,16,1,80,0,PASS,4792.931,637.085,11385.602,14530.064,8124.037,18513.551,13374.531,7749.649,18437.875,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14538.144,8135.076,18524.432
case007_dc_C0_DEFAULT_N4096_q16_rep2,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,4096,2048,16,2,80,0,PASS,1682.705,637.725,10623.725,15543.539,7772.043,18871.256,15552.020,7781.483,18880.057,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15552.020,7782.603,18878.777
case008_dc_C0_DEFAULT_N4096_q16_rep3,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,4096,2048,16,3,80,0,PASS,4798.610,632.446,11343.045,14485.039,9038.531,18362.014,14402.254,9048.291,18272.252,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14495.439,9055.010,18372.730
case009_dc_C0_DEFAULT_N4096_q16_rep4,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,4096,2048,16,4,80,0,PASS,5692.025,637.630,11511.936,14699.897,8092.444,18830.068,14591.809,8102.685,18839.828,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14708.298,8101.405,18841.107
case010_dc_C0_DEFAULT_N4096_q16_rep5,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,4096,2048,16,5,80,0,PASS,4044.774,625.751,10508.798,14769.903,7339.790,22198.172,13829.212,7202.444,20999.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14845.665,7357.394,22207.455
