case_id,path,family,candidate,M_local,N,K,q,rep,iterations,iteration_failures,status,t_release_first_max_us_p50,t_release_first_max_us_p05,t_release_first_max_us_p95,t_release_last_max_us_p50,t_release_last_max_us_p05,t_release_last_max_us_p95,t_done_max_us_p50,t_done_max_us_p05,t_done_max_us_p95,gemm_first_start_max_us_p50,gemm_first_start_max_us_p05,gemm_first_start_max_us_p95,gemm_last_end_max_us_p50,gemm_last_end_max_us_p05,gemm_last_end_max_us_p95,gemm_interval_max_us_p50,gemm_interval_max_us_p05,gemm_interval_max_us_p95,e2e_max_us_p50,e2e_max_us_p05,e2e_max_us_p95
case001_comm_C0_DEFAULT_N2048_q8_rep1,COMM_ONLY,RCCL,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,542.770,540.131,556.769,4227.282,4222.171,4240.881,4232.722,4227.610,4246.161,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4238.242,4233.210,4251.601
case002_comm_C2_RING_SIMPLE_CH8_N2048_q8_rep1,COMM_ONLY,RCCL,C2_RING_SIMPLE_CH8,2048,2048,2048,8,1,40,0,PASS,533.250,531.970,546.050,4158.094,4153.048,4243.762,4164.331,4158.646,4249.362,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4169.850,4163.926,4254.962
case003_gemm_C0_DEFAULT_N2048_q8_rep1,GEMM_ONLY,RCCL,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,3760.592,3646.836,3783.954,119.193,113.434,127.513,3754.912,3641.396,3778.194,3638.516,3527.642,3662.520,3766.432,3652.276,3789.554
case004_r0_C0_DEFAULT_N2048_q8_rep1,R0_FULL_SERIAL,RCCL,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,4056.412,4026.814,4086.810,4056.412,4026.814,4086.810,4062.572,4032.893,4093.050,4072.731,4043.133,4103.129,6835.697,6815.297,6866.495,2776.809,2762.885,2795.048,6841.137,6820.897,6872.094
case005_rs_C0_DEFAULT_N2048_q8_rep1,RS_SLICE_SERIAL,RCCL,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,566.528,562.048,580.608,7506.539,7497.979,7551.417,7513.099,7504.698,7557.976,577.007,572.288,591.007,7950.834,7944.674,7998.112,7382.706,7374.946,7432.864,7956.274,7950.114,8003.550
case006_r1_C0_DEFAULT_N2048_q8_rep1,R1_EVENT_OVERLAP,RCCL,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,568.608,565.409,579.647,4671.662,4661.659,4696.064,4677.585,4667.738,4701.984,578.928,575.809,589.887,5390.738,5376.978,5412.184,4816.611,4804.218,4839.888,5396.257,5382.418,5417.784
case007_r1_C2_RING_SIMPLE_CH8_N2048_q8_rep1,R1_EVENT_OVERLAP,RCCL,C2_RING_SIMPLE_CH8,2048,2048,2048,8,1,40,0,PASS,556.289,552.129,576.288,4463.669,4455.270,4486.468,4469.510,4461.349,4492.548,566.769,562.368,586.367,5683.361,5668.331,5710.079,5119.633,5108.034,5137.960,5688.881,5673.771,5715.519
case008_fc_C0_DEFAULT_N2048_q8_rep1,FC_FCOLLECT_ONLY,DUSHMEM,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,11557.441,11452.798,13823.385,11557.441,11452.798,13823.385,11546.891,11442.720,13812.825,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11563.120,11458.397,13828.825
case009_dc_C0_DEFAULT_N2048_q8_rep1,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,1385.957,1227.177,8252.032,9871.521,7537.203,15796.763,9879.284,7545.846,15805.085,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9879.284,7546.967,15830.375
case010_d0_C0_DEFAULT_N2048_q8_rep1,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,11517.508,11379.522,11698.890,11517.508,11379.522,11698.890,11523.520,11385.604,11705.132,11533.683,11395.688,11715.221,14290.490,14159.077,14531.390,2765.186,2751.711,2781.806,14295.933,14164.520,14536.991
case011_ds_C0_DEFAULT_N2048_q8_rep1,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,13886.911,9699.454,19491.705,20333.594,17390.859,24792.090,20887.724,18169.217,25309.822,13892.271,9705.055,19496.982,20783.250,17859.475,25242.627,11571.838,4795.251,18313.564,20889.164,18169.377,25312.541
case012_d1_C0_DEFAULT_N2048_q8_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,14784.461,10036.876,18872.215,19568.258,17191.992,26790.496,20096.709,17972.299,27310.787,14789.981,10042.476,18877.814,20023.514,17649.883,27244.553,10545.736,5412.975,17147.838,20097.588,17974.221,27313.668
