candidate,N,q,path,family,reps,t_done_p50_us,e2e_p50_us,release_last_p50_us,e2e_p05_us,e2e_p95_us,release_gap_us,comm_compute_overlap_us,e2e_p50_stdev_us
C0_DEFAULT,2048,8,COMM_ONLY,RCCL,1,4232.722,4238.242,4227.282,4238.242,4238.242,5.520,5.520,0.000
C0_DEFAULT,2048,8,D0_FCOLLECT_SERIAL,DUSHMEM,1,11523.520,14295.933,11517.508,14295.933,14295.933,2772.414,2772.414,0.000
C0_DEFAULT,2048,8,D1_PUSHSIG_OVERLAP,DUSHMEM,1,20096.709,20097.588,19568.258,20097.588,20097.588,0.879,0.879,0.000
C0_DEFAULT,2048,8,DC_PUSHSIG_ONLY,DUSHMEM,1,9879.284,9879.284,9871.521,9879.284,9879.284,0.001,0.001,0.000
C0_DEFAULT,2048,8,DS_PUSHSIG_SERIAL,DUSHMEM,1,20887.724,20889.164,20333.594,20889.164,20889.164,1.440,1.440,0.000
C0_DEFAULT,2048,8,FC_FCOLLECT_ONLY,DUSHMEM,1,11546.891,11563.120,11557.441,11563.120,11563.120,16.228,16.228,0.000
C0_DEFAULT,2048,8,GEMM_ONLY,RCCL,1,3760.592,3766.432,0.000,3766.432,3766.432,5.840,5.840,0.000
C0_DEFAULT,2048,8,R0_FULL_SERIAL,RCCL,1,4062.572,6841.137,4056.412,6841.137,6841.137,2778.565,2778.565,0.000
C0_DEFAULT,2048,8,R1_EVENT_OVERLAP,RCCL,1,4677.585,5396.257,4671.662,5396.257,5396.257,718.672,718.672,0.000
C0_DEFAULT,2048,8,RS_SLICE_SERIAL,RCCL,1,7513.099,7956.274,7506.539,7956.274,7956.274,443.175,443.175,0.000
C2_RING_SIMPLE_CH8,2048,8,COMM_ONLY,RCCL,1,4164.331,4169.850,4158.094,4169.850,4169.850,5.519,5.519,0.000
C2_RING_SIMPLE_CH8,2048,8,R1_EVENT_OVERLAP,RCCL,1,4469.510,5688.881,4463.669,5688.881,5688.881,1219.372,1219.372,0.000
