N,q,cols,d0_us,d1_us,P_measured_pt,P_fitted_pt,residual_pt,split_loss_pt,pipeline_pt,C_ctrl_us,G_ctrl_us,G_imputed
512,2,256,12575,8799,-30.03,-25.56,-4.47,0.0,-30.03,4015.0,1144.0,
2048,2,1024,14345,10212,-28.81,-24.77,-4.04,0.0,-28.81,4015.0,3102.0,
4096,2,2048,18347,13939,-24.03,-23.72,-0.31,0.85,-24.88,4015.0,6264.0,
512,4,128,12568,9097,-27.62,-11.19,-16.43,0.17,-27.78,4091.0,1165.0,
2048,4,512,14333,10307,-28.09,-22.62,-5.47,0.87,-28.96,4091.0,3227.0,
4096,4,1024,18336,12898,-29.66,-37.87,8.21,0.0,-29.66,4091.0,6107.0,
512,8,64,12568,17598,40.02,23.66,16.36,5.41,34.62,4243.0,1823.0,
2048,8,256,14348,18580,29.5,6.12,23.38,4.69,24.81,4243.0,3775.0,
4096,8,512,18347,14487,-21.04,-17.28,-3.76,5.61,-26.65,4243.0,7137.0,
2048,16,128,14339,24361,69.89,75.81,-5.92,4.25,65.65,4548.0,3711.0,
4096,16,256,18357,25847,40.8,48.35,-7.54,6.47,34.34,4548.0,7294.0,Y
