source_log_path,case_id,phase,collective,ranks,size_label,size_bytes,datatype,repeat,requested_algo,requested_proto,requested_channels,mapping,time_us,algbw_gbps,busbw_gbps,wrong_count,status,correctness
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/transport_allgather_1M_default.log,transport_allgather_1M_default,transport,AllGather,4,1M,1048576,float,1,DEFAULT,DEFAULT,DEFAULT,"0,1,2,3",93.85,11.17,8.38,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/preflight_allgather_4K_default.log,preflight_allgather_4K_default,preflight,AllGather,4,4K,4096,float,1,DEFAULT,DEFAULT,DEFAULT,"0,1,2,3",11.68,0.35,0.26,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/preflight_allgather_1M_default.log,preflight_allgather_1M_default,preflight,AllGather,4,1M,1048576,float,1,DEFAULT,DEFAULT,DEFAULT,"0,1,2,3",94.56,11.09,8.32,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/preflight_allgather_64M_default.log,preflight_allgather_64M_default,preflight,AllGather,4,64M,67108864,float,1,DEFAULT,DEFAULT,DEFAULT,"0,1,2,3",3007.55,22.31,16.74,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/preflight_allreduce_4K_default.log,preflight_allreduce_4K_default,preflight,AllReduce,4,4K,4096,float,1,DEFAULT,DEFAULT,DEFAULT,"0,1,2,3",17.53,0.23,0.35,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/preflight_allreduce_1M_default.log,preflight_allreduce_1M_default,preflight,AllReduce,4,1M,1048576,float,1,DEFAULT,DEFAULT,DEFAULT,"0,1,2,3",168.52,6.22,9.33,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/preflight_allreduce_64M_default.log,preflight_allreduce_64M_default,preflight,AllReduce,4,64M,67108864,float,1,DEFAULT,DEFAULT,DEFAULT,"0,1,2,3",5786.53,11.60,17.40,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/preflight_reducescatter_4K_default.log,preflight_reducescatter_4K_default,preflight,ReduceScatter,4,4K,4096,float,1,DEFAULT,DEFAULT,DEFAULT,"0,1,2,3",18.51,0.22,0.17,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/preflight_reducescatter_1M_default.log,preflight_reducescatter_1M_default,preflight,ReduceScatter,4,1M,1048576,float,1,DEFAULT,DEFAULT,DEFAULT,"0,1,2,3",90.45,11.59,8.69,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/preflight_reducescatter_64M_default.log,preflight_reducescatter_64M_default,preflight,ReduceScatter,4,64M,67108864,float,1,DEFAULT,DEFAULT,DEFAULT,"0,1,2,3",3176.84,21.12,15.84,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/rep_r1_allgather_4K_default_chdefault.log,rep_r1_allgather_4K_default_chdefault,representative,AllGather,4,4K,4096,float,1,DEFAULT,DEFAULT,DEFAULT,"0,1,2,3",11.66,0.35,0.26,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/rep_r1_allgather_4K_ring_simple_chdefault.log,rep_r1_allgather_4K_ring_simple_chdefault,representative,AllGather,4,4K,4096,float,1,Ring,Simple,DEFAULT,"0,1,2,3",26.88,0.15,0.11,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/rep_r1_allgather_4K_ring_ll_chdefault.log,rep_r1_allgather_4K_ring_ll_chdefault,representative,AllGather,4,4K,4096,float,1,Ring,LL,DEFAULT,"0,1,2,3",13.58,0.30,0.23,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/rep_r1_allgather_64K_default_chdefault.log,rep_r1_allgather_64K_default_chdefault,representative,AllGather,4,64K,65536,float,1,DEFAULT,DEFAULT,DEFAULT,"0,1,2,3",19.31,3.39,2.55,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/rep_r1_allgather_64K_ring_simple_chdefault.log,rep_r1_allgather_64K_ring_simple_chdefault,representative,AllGather,4,64K,65536,float,1,Ring,Simple,DEFAULT,"0,1,2,3",41.27,1.59,1.19,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/rep_r1_allgather_64K_ring_ll_chdefault.log,rep_r1_allgather_64K_ring_ll_chdefault,representative,AllGather,4,64K,65536,float,1,Ring,LL,DEFAULT,"0,1,2,3",19.97,3.28,2.46,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/rep_r1_allgather_1M_default_chdefault.log,rep_r1_allgather_1M_default_chdefault,representative,AllGather,4,1M,1048576,float,1,DEFAULT,DEFAULT,DEFAULT,"0,1,2,3",94.30,11.12,8.34,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/rep_r1_allgather_1M_ring_simple_chdefault.log,rep_r1_allgather_1M_ring_simple_chdefault,representative,AllGather,4,1M,1048576,float,1,Ring,Simple,DEFAULT,"0,1,2,3",95.01,11.04,8.28,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/rep_r1_allgather_1M_ring_ll_chdefault.log,rep_r1_allgather_1M_ring_ll_chdefault,representative,AllGather,4,1M,1048576,float,1,Ring,LL,DEFAULT,"0,1,2,3",287.12,3.65,2.74,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/rep_r1_allgather_8M_default_chdefault.log,rep_r1_allgather_8M_default_chdefault,representative,AllGather,4,8M,8388608,float,1,DEFAULT,DEFAULT,DEFAULT,"0,1,2,3",478.38,17.54,13.15,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/rep_r1_allgather_8M_ring_simple_chdefault.log,rep_r1_allgather_8M_ring_simple_chdefault,representative,AllGather,4,8M,8388608,float,1,Ring,Simple,DEFAULT,"0,1,2,3",502.64,16.69,12.52,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/rep_r1_allgather_8M_ring_ll_chdefault.log,rep_r1_allgather_8M_ring_ll_chdefault,representative,AllGather,4,8M,8388608,float,1,Ring,LL,DEFAULT,"0,1,2,3",1414.17,5.93,4.45,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/rep_r1_allgather_64M_default_chdefault.log,rep_r1_allgather_64M_default_chdefault,representative,AllGather,4,64M,67108864,float,1,DEFAULT,DEFAULT,DEFAULT,"0,1,2,3",3006.77,22.32,16.74,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/rep_r1_allgather_64M_ring_simple_chdefault.log,rep_r1_allgather_64M_ring_simple_chdefault,representative,AllGather,4,64M,67108864,float,1,Ring,Simple,DEFAULT,"0,1,2,3",3010.26,22.29,16.72,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/rep_r1_allgather_64M_ring_ll_chdefault.log,rep_r1_allgather_64M_ring_ll_chdefault,representative,AllGather,4,64M,67108864,float,1,Ring,LL,DEFAULT,"0,1,2,3",9908.78,6.77,5.08,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/rep_r1_allgather_256M_default_chdefault.log,rep_r1_allgather_256M_default_chdefault,representative,AllGather,4,256M,268435456,float,1,DEFAULT,DEFAULT,DEFAULT,"0,1,2,3",11935.2,22.49,16.87,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/rep_r1_allgather_256M_ring_simple_chdefault.log,rep_r1_allgather_256M_ring_simple_chdefault,representative,AllGather,4,256M,268435456,float,1,Ring,Simple,DEFAULT,"0,1,2,3",11921.4,22.52,16.89,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/rep_r1_allgather_256M_ring_ll_chdefault.log,rep_r1_allgather_256M_ring_ll_chdefault,representative,AllGather,4,256M,268435456,float,1,Ring,LL,DEFAULT,"0,1,2,3",38418.4,6.99,5.24,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/rep_r1_allreduce_4K_default_chdefault.log,rep_r1_allreduce_4K_default_chdefault,representative,AllReduce,4,4K,4096,float,1,DEFAULT,DEFAULT,DEFAULT,"0,1,2,3",13.00,0.32,0.47,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/rep_r1_allreduce_4K_ring_simple_chdefault.log,rep_r1_allreduce_4K_ring_simple_chdefault,representative,AllReduce,4,4K,4096,float,1,Ring,Simple,DEFAULT,"0,1,2,3",41.27,0.10,0.15,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/rep_r1_allreduce_4K_ring_ll_chdefault.log,rep_r1_allreduce_4K_ring_ll_chdefault,representative,AllReduce,4,4K,4096,float,1,Ring,LL,DEFAULT,"0,1,2,3",16.57,0.25,0.37,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/rep_r1_allreduce_4K_tree_simple_chdefault.log,rep_r1_allreduce_4K_tree_simple_chdefault,representative,AllReduce,4,4K,4096,float,1,Tree,Simple,DEFAULT,"0,1,2,3",44.74,0.09,0.14,0,0,PASS
/data/coding/comm-study-migration-rtx4090-20260826/results/rtx4090_sm89_4gpu/20260826T222600Z_debug/logs/rep_r1_allreduce_4K_tree_ll_chdefault.log,rep_r1_allreduce_4K_tree_ll_chdefault,representative,AllReduce,4,4K,4096,float,1,Tree,LL,DEFAULT,"0,1,2,3",21.51,0.19,0.29,0,0,PASS
