case_id,collective,size_bytes,original_row_count,status_set,mean_time_us,mean_algbw_gbps,mean_busbw_gbps,min_busbw_gbps,max_busbw_gbps,busbw_span_gbps,busbw_relative_span_percent,action
allgather,AllGather,1073741824,1,0,62892.402780,17.072679,12.804509,12.804509,12.804509,0.000000,0.000000,SINGLE_VALID_RECORD
allreduce,AllReduce,1073741824,1,0,122513.341240,8.764285,13.146427,13.146427,13.146427,0.000000,0.000000,SINGLE_VALID_RECORD
channels_r1_allgather_1M_ring_ll_ch1,AllGather,1048576,2,0,1580.428220,0.663610,0.497707,0.490640,0.504775,0.014135,2.840021,AVERAGED_REPEATED_RECORDS
channels_r1_allgather_1M_ring_ll_ch2,AllGather,1048576,2,0,792.069350,1.323843,0.992883,0.992677,0.993089,0.000412,0.041495,AVERAGED_REPEATED_RECORDS
channels_r1_allgather_1M_ring_ll_ch4,AllGather,1048576,2,0,407.632300,2.572424,1.929318,1.919515,1.939120,0.019605,1.016162,AVERAGED_REPEATED_RECORDS
channels_r1_allgather_1M_ring_ll_ch8,AllGather,1048576,2,0,213.026100,4.922289,3.691717,3.691334,3.692100,0.000766,0.020749,AVERAGED_REPEATED_RECORDS
channels_r1_allgather_1M_ring_simple_ch1,AllGather,1048576,2,0,221.857620,4.726778,3.545084,3.511224,3.578943,0.067719,1.910223,AVERAGED_REPEATED_RECORDS
channels_r1_allgather_1M_ring_simple_ch2,AllGather,1048576,2,0,149.418750,7.019625,5.264718,5.177554,5.351882,0.174328,3.311250,AVERAGED_REPEATED_RECORDS
channels_r1_allgather_1M_ring_simple_ch4,AllGather,1048576,2,0,123.088520,8.519231,6.389423,6.348259,6.430587,0.082328,1.288504,AVERAGED_REPEATED_RECORDS
channels_r1_allgather_1M_ring_simple_ch8,AllGather,1048576,2,0,120.341810,8.713321,6.534991,6.529120,6.540862,0.011742,0.179679,AVERAGED_REPEATED_RECORDS
channels_r1_allgather_1M_tree_ll_ch1,AllGather,1048576,2,0,1557.058080,0.673434,0.505076,0.505045,0.505106,0.000061,0.012077,AVERAGED_REPEATED_RECORDS
channels_r1_allgather_1M_tree_ll_ch2,AllGather,1048576,2,0,791.761250,1.324361,0.993270,0.992161,0.994379,0.002218,0.223303,AVERAGED_REPEATED_RECORDS
channels_r1_allgather_1M_tree_ll_ch4,AllGather,1048576,2,0,405.676590,2.584758,1.938569,1.938538,1.938599,0.000061,0.003147,AVERAGED_REPEATED_RECORDS
