collective,size_bytes,nccl_time_us_mean,nccl_busbw_gbps_mean,nccl_raw_records,rccl_time_us_mean,rccl_busbw_gbps_mean,rccl_raw_records,nccl_over_rccl_busbw_ratio,comparison_scope
AllGather,1048576,94.116667,8.356667,3,122.104520,6.440702,3,1.297478,"Different accelerator, topology, transport, and software stacks; not a library-only comparison."
AllGather,8388608,475.273333,13.260000,3,558.840000,11.258063,3,1.177823,"Different accelerator, topology, transport, and software stacks; not a library-only comparison."
AllGather,67108864,3005.670000,16.743333,3,4112.068793,12.239997,3,1.367920,"Different accelerator, topology, transport, and software stacks; not a library-only comparison."
AllGather,268435456,11977.700000,16.810000,3,16058.093920,12.537584,3,1.340769,"Different accelerator, topology, transport, and software stacks; not a library-only comparison."
AllGather,1073741824,47945.200000,16.800000,1,62892.402780,12.804509,1,1.312038,"Different accelerator, topology, transport, and software stacks; not a library-only comparison."
AllReduce,1048576,168.213333,9.350000,3,198.042660,7.942119,3,1.177268,"Different accelerator, topology, transport, and software stacks; not a library-only comparison."
AllReduce,8388608,862.053333,14.600000,3,1048.569200,12.004818,3,1.216178,"Different accelerator, topology, transport, and software stacks; not a library-only comparison."
AllReduce,67108864,5731.713333,17.563333,3,7844.608880,12.832394,3,1.368672,"Different accelerator, topology, transport, and software stacks; not a library-only comparison."
AllReduce,268435456,22834.533333,17.633333,3,30906.324800,13.028203,3,1.353474,"Different accelerator, topology, transport, and software stacks; not a library-only comparison."
AllReduce,1073741824,90478.600000,17.800000,1,122513.341240,13.146427,1,1.353980,"Different accelerator, topology, transport, and software stacks; not a library-only comparison."
ReduceScatter,1048576,90.730000,8.670000,3,130.378660,6.031974,3,1.437340,"Different accelerator, topology, transport, and software stacks; not a library-only comparison."
ReduceScatter,8388608,536.580000,11.766667,3,581.569960,10.818057,3,1.087688,"Different accelerator, topology, transport, and software stacks; not a library-only comparison."
ReduceScatter,67108864,3171.336667,15.873333,3,4305.185513,11.691345,3,1.357699,"Different accelerator, topology, transport, and software stacks; not a library-only comparison."
ReduceScatter,268435456,12655.733333,15.910000,3,16819.263753,11.970152,3,1.329139,"Different accelerator, topology, transport, and software stacks; not a library-only comparison."
ReduceScatter,1073741824,50558.600000,15.930000,1,65891.262640,12.221747,1,1.303414,"Different accelerator, topology, transport, and software stacks; not a library-only comparison."
